,No. Topico,Palabras Clave
0,0,"['transformación', 'persona', 'honestidad', 'año', 'confianza', 'respeto', 'defensa', 'sueño', 'jalisco', 'gente']"
1,1,"['año', 'corazón', 'honestidad', 'inicio', 'respeto', 'confianza', 'transformación', 'compromiso', 'morena', 'alma']"
2,2,"['transformación', 'historia', 'claudia', 'compromiso', 'honor', 'año', 'lucha', 'esfuerzo', 'liderazgo', 'inspiración']"
3,3,"['jalisco', 'gobierno', 'motor', 'país', 'comités', 'defensa', 'transformación', 'momento', 'cariño', 'confianza']"
4,4,"['jalisco', 'bienestar', 'mano', 'vida', 'trabajo', 'conciencia', 'distrito', 'familia', 'joven', 'carencia']"
5,5,"['informe', 'mujer', 'pueblo', 'compañera', 'apoyo', 'diputada', 'esfuerzo', 'justicia', 'igualdad', 'compromiso']"
6,6,"['apoyo', 'jalisco', 'mano', 'carlosdelvallemx', 'gente', 'objetivo', 'refugio', 'esfuerzo', 'vecino', 'recibimiento']"
7,7,"['médico', 'compromiso', 'lucha', 'gracias', 'sueño', 'salud', 'valentía', 'jalisco', 'persona', 'amistad']"
