,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
81,el pueblo de jalisco estamos contigo estimado doctor no hay duda eres el único que  construir la transformación de jalisco cuenta con nosotros,"['pueblo', 'contigo', 'estimado', 'duda', 'único', 'construir', 'transformación', 'cuenta']","['pueblo', 'jalisco', 'estimado', 'doctor', 'duda', 'único', 'construir', 'transformación', 'jalisco']","[('el', 'pueblo'), ('pueblo', 'de'), ('de', 'jalisco'), ('jalisco', 'estamos'), ('estamos', 'contigo'), ('contigo', 'estimado'), ('estimado', 'doctor'), ('doctor', 'no'), ('no', 'hay'), ('hay', 'duda'), ('duda', 'eres'), ('eres', 'el'), ('el', 'único'), ('único', 'que'), ('que', ' '), (' ', 'construir'), ('construir', 'la'), ('la', 'transformación'), ('transformación', 'de'), ('de', 'jalisco'), ('jalisco', 'cuenta'), ('cuenta', 'con'), ('con', 'nosotros')]",el pueblo de jalisco estar tú estimado doctor no haber duda ser el único que   construir el transformación de jalisco contar con yo,0.00010661981767773474
83,el pueblo de jalisco estamos contigo estimado doctor no hay duda eres el único que  construir la transformación de jalisco cuenta con nosotros,"['pueblo', 'contigo', 'estimado', 'duda', 'único', 'construir', 'transformación', 'cuenta']","['pueblo', 'jalisco', 'estimado', 'doctor', 'duda', 'único', 'construir', 'transformación', 'jalisco']","[('el', 'pueblo'), ('pueblo', 'de'), ('de', 'jalisco'), ('jalisco', 'estamos'), ('estamos', 'contigo'), ('contigo', 'estimado'), ('estimado', 'doctor'), ('doctor', 'no'), ('no', 'hay'), ('hay', 'duda'), ('duda', 'eres'), ('eres', 'el'), ('el', 'único'), ('único', 'que'), ('que', ' '), (' ', 'construir'), ('construir', 'la'), ('la', 'transformación'), ('transformación', 'de'), ('de', 'jalisco'), ('jalisco', 'cuenta'), ('cuenta', 'con'), ('con', 'nosotros')]",el pueblo de jalisco estar tú estimado doctor no haber duda ser el único que   construir el transformación de jalisco contar con yo,0.00010661981767773474
84,si puede vamos a transformar jalisco estimado doctor,"['puede', 'vamos', 'transformar', 'estimado']","['transformar', 'jalisco', 'estimado', 'doctor']","[('si', 'puede'), ('puede', 'vamos'), ('vamos', 'a'), ('a', 'transformar'), ('transformar', 'jalisco'), ('jalisco', 'estimado'), ('estimado', 'doctor')]",si poder ir a transformar jalisco estimado doctor,0.003034189760263005
86,si puede vamos a transformar jalisco estimado doctor,"['puede', 'vamos', 'transformar', 'estimado']","['transformar', 'jalisco', 'estimado', 'doctor']","[('si', 'puede'), ('puede', 'vamos'), ('vamos', 'a'), ('a', 'transformar'), ('transformar', 'jalisco'), ('jalisco', 'estimado'), ('estimado', 'doctor')]",si poder ir a transformar jalisco estimado doctor,0.003034189760263005
93,con todo doctor  que los demonios andan sueltos ,"['demonios', 'andan', 'sueltos']","['doctor', 'demonio', 'andar', 'suelto']","[('con', 'todo'), ('todo', 'doctor'), ('doctor', ' '), (' ', 'que'), ('que', 'los'), ('los', 'demonios'), ('demonios', 'andan'), ('andan', 'sueltos')]",con todo doctor   que el demonio andar suelto,0.2507957975504201
95,con todo doctor  que los demonios andan sueltos ,"['demonios', 'andan', 'sueltos']","['doctor', 'demonio', 'andar', 'suelto']","[('con', 'todo'), ('todo', 'doctor'), ('doctor', ' '), (' ', 'que'), ('que', 'los'), ('los', 'demonios'), ('demonios', 'andan'), ('andan', 'sueltos')]",con todo doctor   que el demonio andar suelto,0.2507957975504201
96,,[],[],[],,0.49789225920557484
98,,[],[],[],,0.49789225920557484
99,en las calles de la uco dr,"['calles', 'uco']","['calle', 'uco', 'dr']","[('en', 'las'), ('las', 'calles'), ('calles', 'de'), ('de', 'la'), ('la', 'uco'), ('uco', 'dr')]",en el calle de el uco dr,0.9281858695310584
101,en las calles de la uco dr,"['calles', 'uco']","['calle', 'uco', 'dr']","[('en', 'las'), ('las', 'calles'), ('calles', 'de'), ('de', 'la'), ('la', 'uco'), ('uco', 'dr')]",en el calle de el uco dr,0.9281858695310584
