,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
144,sin duda dr vienen tiempos mejores ,"['duda', 'vienen', 'tiempos', 'mejores']","['duda', 'dr', 'venir', 'tiempo', 'mejor']","[('sin', 'duda'), ('duda', 'dr'), ('dr', 'vienen'), ('vienen', 'tiempos'), ('tiempos', 'mejores')]",sin duda dr venir tiempo mejor,0.8964981323906235
146,sin duda dr vienen tiempos mejores ,"['duda', 'vienen', 'tiempos', 'mejores']","['duda', 'dr', 'venir', 'tiempo', 'mejor']","[('sin', 'duda'), ('duda', 'dr'), ('dr', 'vienen'), ('vienen', 'tiempos'), ('tiempos', 'mejores')]",sin duda dr venir tiempo mejor,0.8964981323906235
147,jajajaja y que me dice de sus medicamentos que me cuenta de su pasado recluido,"['jajajaja', 'dice', 'medicamentos', 'cuenta', 'pasado', 'recluido']","['jajajaja', 'medicamento', 'recluido']","[('jajajaja', 'y'), ('y', 'que'), ('que', 'me'), ('me', 'dice'), ('dice', 'de'), ('de', 'sus'), ('sus', 'medicamentos'), ('medicamentos', 'que'), ('que', 'me'), ('me', 'cuenta'), ('cuenta', 'de'), ('de', 'su'), ('su', 'pasado'), ('pasado', 'recluido')]",jajajaja y que yo decir de su medicamento que yo contar de su pasado recluido,7.593687250052801e-06
149,jajajaja y que me dice de sus medicamentos que me cuenta de su pasado recluido,"['jajajaja', 'dice', 'medicamentos', 'cuenta', 'pasado', 'recluido']","['jajajaja', 'medicamento', 'recluido']","[('jajajaja', 'y'), ('y', 'que'), ('que', 'me'), ('me', 'dice'), ('dice', 'de'), ('de', 'sus'), ('sus', 'medicamentos'), ('medicamentos', 'que'), ('que', 'me'), ('me', 'cuenta'), ('cuenta', 'de'), ('de', 'su'), ('su', 'pasado'), ('pasado', 'recluido')]",jajajaja y que yo decir de su medicamento que yo contar de su pasado recluido,7.593687250052801e-06
150, dr por lo que viene,['viene'],"['dr', 'venir']","[(' ', 'dr'), ('dr', 'por'), ('por', 'lo'), ('lo', 'que'), ('que', 'viene')]",  dr por él que venir,0.004694179258866345
152, dr por lo que viene,['viene'],"['dr', 'venir']","[(' ', 'dr'), ('dr', 'por'), ('por', 'lo'), ('lo', 'que'), ('que', 'viene')]",  dr por él que venir,0.004694179258866345
153,vamos con buen rumbo a construir la transformación de jalisco con todo doc,"['vamos', 'buen', 'rumbo', 'construir', 'transformación']","['rumbo', 'construir', 'transformación', 'jalisco', 'doc']","[('vamos', 'con'), ('con', 'buen'), ('buen', 'rumbo'), ('rumbo', 'a'), ('a', 'construir'), ('construir', 'la'), ('la', 'transformación'), ('transformación', 'de'), ('de', 'jalisco'), ('jalisco', 'con'), ('con', 'todo'), ('todo', 'doc')]",ir con buen rumbo a construir el transformación de jalisco con todo doc,0.7940916016370325
155,vamos con buen rumbo a construir la transformación de jalisco con todo doc,"['vamos', 'buen', 'rumbo', 'construir', 'transformación']","['rumbo', 'construir', 'transformación', 'jalisco', 'doc']","[('vamos', 'con'), ('con', 'buen'), ('buen', 'rumbo'), ('rumbo', 'a'), ('a', 'construir'), ('construir', 'la'), ('la', 'transformación'), ('transformación', 'de'), ('de', 'jalisco'), ('jalisco', 'con'), ('con', 'todo'), ('todo', 'doc')]",ir con buen rumbo a construir el transformación de jalisco con todo doc,0.7940916016370325
159,es un honor estar con el dr ,['honor'],"['honor', 'dr']","[('es', 'un'), ('un', 'honor'), ('honor', 'estar'), ('estar', 'con'), ('con', 'el'), ('el', 'dr')]",ser uno honor estar con el dr,0.4870287290577342
161,es un honor estar con el dr ,['honor'],"['honor', 'dr']","[('es', 'un'), ('un', 'honor'), ('honor', 'estar'), ('estar', 'con'), ('con', 'el'), ('el', 'dr')]",ser uno honor estar con el dr,0.4870287290577342
162,dice tita que no dejo propina docno mame,"['dice', 'tita', 'dejo', 'propina', 'docno', 'mame']","['titar', 'dejar', 'propín', 'docno', 'mame']","[('dice', 'tita'), ('tita', 'que'), ('que', 'no'), ('no', 'dejo'), ('dejo', 'propina'), ('propina', 'docno'), ('docno', 'mame')]",decir titar que no dejar propín docno mame,0.0030557071398533637
164,dice tita que no dejo propina docno mame,"['dice', 'tita', 'dejo', 'propina', 'docno', 'mame']","['titar', 'dejar', 'propín', 'docno', 'mame']","[('dice', 'tita'), ('tita', 'que'), ('que', 'no'), ('no', 'dejo'), ('dejo', 'propina'), ('propina', 'docno'), ('docno', 'mame')]",decir titar que no dejar propín docno mame,0.0030557071398533637
165,el señor que hace negocios en el imss pura basura los morenistas,"['señor', 'hace', 'negocios', 'imss', 'pura', 'basura', 'morenistas']","['señor', 'negocio', 'imss', 'puro', 'basura', 'morenista']","[('el', 'señor'), ('señor', 'que'), ('que', 'hace'), ('hace', 'negocios'), ('negocios', 'en'), ('en', 'el'), ('el', 'imss'), ('imss', 'pura'), ('pura', 'basura'), ('basura', 'los'), ('los', 'morenistas')]",el señor que hacer negocio en el imss puro basura el morenista,0.0014961588249644024
167,el señor que hace negocios en el imss pura basura los morenistas,"['señor', 'hace', 'negocios', 'imss', 'pura', 'basura', 'morenistas']","['señor', 'negocio', 'imss', 'puro', 'basura', 'morenista']","[('el', 'señor'), ('señor', 'que'), ('que', 'hace'), ('hace', 'negocios'), ('negocios', 'en'), ('en', 'el'), ('el', 'imss'), ('imss', 'pura'), ('pura', 'basura'), ('basura', 'los'), ('los', 'morenistas')]",el señor que hacer negocio en el imss puro basura el morenista,0.0014961588249644024
174,señor lomeli usted va a ser candidato de morena a la gobernatura,"['señor', 'lomeli', 'candidato', 'gobernatura']","['señor', 'lomeli', 'candidato', 'morena', 'gobernatura']","[('señor', 'lomeli'), ('lomeli', 'usted'), ('usted', 'va'), ('va', 'a'), ('a', 'ser'), ('ser', 'candidato'), ('candidato', 'de'), ('de', 'morena'), ('morena', 'a'), ('a', 'la'), ('la', 'gobernatura')]",señor lomeli usted ir a ser candidato de morena a el gobernatura,0.01248654459051694
176,señor lomeli usted va a ser candidato de morena a la gobernatura,"['señor', 'lomeli', 'candidato', 'gobernatura']","['señor', 'lomeli', 'candidato', 'morena', 'gobernatura']","[('señor', 'lomeli'), ('lomeli', 'usted'), ('usted', 'va'), ('va', 'a'), ('a', 'ser'), ('ser', 'candidato'), ('candidato', 'de'), ('de', 'morena'), ('morena', 'a'), ('a', 'la'), ('la', 'gobernatura')]",señor lomeli usted ir a ser candidato de morena a el gobernatura,0.01248654459051694
