,No. Topico,Palabras Clave
0,0,"['medicina', 'foto', 'apoyo', 'naso', 'elde', 'luz', 'roña', 'medicamento', 'jajajaja', 'recluido']"
1,1,"['colonia', 'presidente', 'campaña', 'mano', 'cierre', 'época', 'sembrinagracia', 'tradición', 'cita', 'posada']"
2,2,"['dr', 'morena', 'tiempo', 'salud', 'señor', 'gobernatura', 'candidato', 'uco', 'duda', 'calle']"
3,3,"['distrito', 'frase', 'lema', 'pri', 'defensa', 'coordinación', 'amigo', 'liderazgo', 'transformación', 'doctor']"
4,4,"['jalisco', 'doctor', 'transformación', 'pueblo', 'imss', 'basura', 'morenista', 'negocio', 'señor', 'demonio']"
