"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-41hm0z src 2","video-count","tiktok-j2a19r-SpanText","tiktok-j2a19r-SpanText 2","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","ejg0rhn6 href 7","tiktok-1p6dp51-StrongText 7"
"https://www.tiktok.com/@sasildeleon/video/7272418532263005445","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oQ4NiBQH7DYO3SekAKARI0EsbCEbKBBJHnAR7e~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=mKri674MQC%2BSOT49RB1RwkcbWIo%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oQ4NiBQH7DYO3SekAKARI0EsbCEbKBBJHnAR7e?x-expires=1695898800&x-signature=pOASgYJULy0iHoCusCa90wyE58c%3D","791","Si aún no han ido a darle un abrazo a sus abuelitas, háganlo, son un gran tesoro🥰","Día Nacional de las Personas Mayores","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/sasildeleon","#sasildeleon","https://www.tiktok.com/tag/sasil","#sasil","","","",""
"https://www.tiktok.com/@sasildeleon/video/7267261349976083718","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/8ed5dd5c907a4388b4db8a9e6d4be1a5_1692041144~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=jNPn8ittHV74aDIcIdHO%2B8GjMjk%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/8ed5dd5c907a4388b4db8a9e6d4be1a5_1692041144?x-expires=1695898800&x-signature=wkoGP6dv4x0XMseMEzzb7Ro4Ddk%3D","7254","Desde el mirador del Cerrillo en San Cristóbal","con la Dra.","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo","https://www.tiktok.com/tag/claudiasheinbaum","#ClaudiaSheinbaum","https://www.tiktok.com/tag/sasil","#Sasil","https://www.tiktok.com/tag/sasildeleon","#SasildeLeon","","","",""
"https://www.tiktok.com/@sasildeleon/video/7265832002828406022","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/cdefe403c3c44e208855d447f076de2d_1691708347~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=YiDD0SSxL8yRwR%2BJJfWSEaY8Yes%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/cdefe403c3c44e208855d447f076de2d_1691708347?x-expires=1695898800&x-signature=n0VkvwJEMfdn25Ehv0AuhprGALo%3D","1853","¿Y tú te las sabes?","","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/tuxtla","#Tuxtla","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","","","",""
"https://www.tiktok.com/@sasildeleon/video/7262089145852366086","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/841669e94584493c8e740256bf3fcc8a_1690837521~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=8Om0wfO8ds5EKU3Csv%2FB3A5q%2FK0%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/841669e94584493c8e740256bf3fcc8a_1690837521?x-expires=1695898800&x-signature=UbzsbMYyAfbxzCiOrHRG9RZSHLo%3D","9752","¡Gracias, Majosik! Son ustedes el ejemplo de resiliencia y de lucha.","¡Sigamos haciendo historia! 🙌🏻","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/tenejapa","#Tenejapa","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/visitam%C3%A9xico","#VisitaMéxico","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","",""
"https://www.tiktok.com/@sasildeleon/video/7260144673493159174","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/c1817a962c6c48cead561e396e219b0a_1690384162~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=JiJIsI4Im5qaVPa0LDl7BQza7LQ%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/c1817a962c6c48cead561e396e219b0a_1690384162?x-expires=1695898800&x-signature=%2BxViku8ayNT%2Fqcirkxz9xCZuyAI%3D","1379","El futuro que ellas sueñan y merecen, sí es posible. ¡Hagámoslo juntas!","🙋🏻‍♀️👧🏻👱🏼‍♀️👩🏽","https://www.tiktok.com/tag/mujereslibresyseguras","#mujereslibresyseguras","https://www.tiktok.com/tag/empoderamiento","#empoderamiento","https://www.tiktok.com/tag/fyp","#fyp","","","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7258386396807728389","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/dd7234db339949dd9e37bf71b41612ab_1689974783~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=keTSs3vh9rjQjPBWj82w4PcnDpk%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/dd7234db339949dd9e37bf71b41612ab_1689974783?x-expires=1695898800&x-signature=NuovaLyvZMHsgFKjDepbXwWNtqU%3D","1176","¡Hoy es día mundial del perro! 🐶","","https://www.tiktok.com/tag/rocky","#Rocky","https://www.tiktok.com/tag/goldenretriever","#goldenretriever","https://www.tiktok.com/tag/goldensoftiktok","#goldensoftiktok","https://www.tiktok.com/tag/peludito","#peludito","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon"
"https://www.tiktok.com/@sasildeleon/video/7256501482898328838","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/4d1732fbd74849a8a7b9202dda5523f5_1689535917~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=KiqtWJzrr%2BclBel%2BJrzENgTYfRY%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/4d1732fbd74849a8a7b9202dda5523f5_1689535917?x-expires=1695898800&x-signature=4zysoN6296zu76Kf8%2BrhuBuF89I%3D","1404","","","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/tuxtla","#Tuxtla","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/visitam%C3%A9xico","#VisitaMéxico","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","",""
"https://www.tiktok.com/@sasildeleon/video/7255436273639230725","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/16d5b1013136468db22814a187ae7e21_1689289338~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=%2BN6PU9TRxYemYO9i94wfub2esp0%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/16d5b1013136468db22814a187ae7e21_1689289338?x-expires=1695898800&x-signature=E8jdEskLbOwZdlQFauvRzRtdjq0%3D","2128","de mi corazón ♥️","","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7254372192727649542","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/969441145cc94894ab8c8588c73b4149_1689535575~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=uve2uNy9XGjVb8tjz5%2ByuJQM0yM%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/969441145cc94894ab8c8588c73b4149_1689535575?x-expires=1695898800&x-signature=7eIvWMWuY%2BDm3MC0Hl%2B4iWe%2F%2FZ8%3D","2468","¡Es tiempo de mujeres!","","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/sasildeleon","#SasildeLeon","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/lodescubr%C3%ADentiktok","#LoDescubríEnTiktok","","","",""
"https://www.tiktok.com/@sasildeleon/video/7253182376459717894","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/a88bc5ffdf794f64b89cd4c786b14fbb_1688763128~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=65M0JqlYyGlkVnAinENW2VM4en8%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/a88bc5ffdf794f64b89cd4c786b14fbb_1688763128?x-expires=1695898800&x-signature=wJX%2FV4%2BlARGKg9DA9Yy5dfIvCgg%3D","1089","Un rico pozol para celebrar el","🍫","https://www.tiktok.com/tag/d%C3%ADamundialdelcacao","#DíaMundialDelCacao","https://www.tiktok.com/tag/foryou","#foryou","https://www.tiktok.com/tag/chiapas","#Chiapas","","","","","","","",""
