x1lliihq,x1lliihq 3,x1lliihq 4,x1i10hfl href,x193iq5w,html-span,xpdipgo src,x1i10hfl,_aacl,x1i10hfl 2,x1i10hfl href 2,_a9ze,_aaqe,x1i10hfl href 5,xpdipgo src 2,x1i10hfl 5,x1i10hfl href 6,_aacl 2,x1i10hfl href 7,_a9ze 2,x193iq5w 2,x193iq5w 3,x193iq5w 4,_a9yi,x1i10hfl href 8,xpdipgo src 3,x1i10hfl 6,x1i10hfl href 9,_aacl 3,x1i10hfl href 10,_a9ze 3,x1lliihq 6,x1lliihq 7
,,,https://www.instagram.com/p/CyOsR8UOrbw/?hl=es,,230,,,,,,,Hace 6 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyOpJ0YxBLu/liked_by/?hl=es,Me gusta,644,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,267,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Hoy estamos de manteles largos en la Presidencia Municipal de Guadalajara con la visita de 170 niñas, niños y jóvenes de diferentes escuelas primarias y secundarias, tanto públicas como privadas del interior de Jalisco, para participar en el torneo de ajedrez regional “Día de la Raza”.Un torneo que realizamos en coordinación con la Secretaría de Educación del  y con el que queremos promover la sana competencia, así como la participación entre las y los estudiantes de educación básica. Nos alegra recibir en la casa de las y los tapatíos a tantas niñas, niños y jóvenes amantes del ajedrez. ¡Ánimo! Mucho éxito a todas y todos los participantes.",,,6 d,,https://www.instagram.com/chava_asc3ncio/?hl=es,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/385197484_350502717399155_2538302775890656577_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=111&_nc_ohc=bA1Y9YAee8QAX_ecsDx&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCKFzdJrEF0FcUC6W3xL9My_8taA_2AwBkKQdtzB6U8Jg&oe=65327928&_nc_sid=f5838a,chava_asc3ncio,https://www.instagram.com/chava_asc3ncio/,Gratamente sorprendido por la habilidad de los chavitos. Excelentes tiempos ⌛ para mover su estrategia. ♟️✌🏼,https://www.instagram.com/p/CyOpJ0YxBLu/c/18000185579132412/?hl=es,5 d,1 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/m_morenoo/?hl=es,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=BUXN0zBVqAIAX9Gog4u&edm=AAAAAAABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfCUntGLxfFrL1VZhut8h_MrK5RefR_zKMGEao5cUp7b8g&oe=6531E28F&_nc_sid=000000,m_morenoo,https://www.instagram.com/m_morenoo/,👏🙌,https://www.instagram.com/p/CyOpJ0YxBLu/c/17978089730596043/?hl=es,5 d,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyOpJ0YxBLu/?hl=es,,89,,,,,,,Hace 6 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyOfOG_OaCI/liked_by/?hl=es,Me gusta,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/difgdl/,Ver traducción,103,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/250919146_877783616462381_3046230409423527948_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=105&_nc_ohc=ZqsBiTsiyIkAX9HZH-V&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfD0dI-0OmKc16XExzVXxtsqPcPrJVHrUa2_lQ1cJnJnMw&oe=65325EE8&_nc_sid=b41fef,difgdl,"Seguimos trabajando en equipo 🤝🏻 para que nuestras infancias tapatías se sigan desarrollando en un ambiente de respeto, confianza y con mejores oportunidades. ✨Acompañamos a nuestra Presidenta,  a la inauguración de Recrea Familia 2023, la cual tiene como objetivo motivar a las familias a participar activamente en la educación de las niñas y niños tapatíos. 👧🏻🧒🏻Promotores, madres, padres, tutores y aliados estratégicos, formarán parte de la Red de Actores que, a través de asesoramientos, herramientas y estrategias, buscarán que nuestras infancias tengan una completa formación ciudadana y así también podrán tener un mayor acercamiento con los contenidos académicos de sus hijos y pupilos, así como a los programas de formación y actividades que contribuyan en su desarrollo. 🧮✏️Nos emociona saber que, a través de talleres y conferencias en línea, las familias tapatías podrán desarrollar habilidades para lograr que sus hijas e hijos adquieran mayor confianza, aprendan a manejar sus emociones, sean responsables y tomen las mejores decisiones. 🙌🏻",#AccionesQueNosUnen,https://www.instagram.com/explore/tags/accionesquenosunen/?hl=es,6 d,,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyOfOG_OaCI/?hl=es,,93,,,,,,,Hace 6 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyOblbhrqNa/liked_by/?hl=es,Me gusta,471,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,383,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"La fiesta de la Fórmula 1  🏎🏁🏁🏁 tenía que salir de la Ciudad de México, por eso, es un gusto compartirles que, por primera vez en su historia, el Fanzone  2023 se realizará en Guadalajara el próximo viernes 27, sábado 28 y domingo 29 de octubre, para cerrar con broche de oro las .La Fan Zone en Plaza Liberación y Plaza de Armas será un evento totalmente gratuito, a diferencia de las ediciones anteriores en la capital que tenía un costo de acceso de hasta 500 pesos por persona. Habrá coches de carrera en exhibición, simuladores de coches, cascos, trajes, trofeos e indumentaria de reconocidos pilotos de la Fórmula 1, así como pantallas para poder disfrutar del Gran Premio de México todo el fin de semana.Este evento es posible gracias a la coordinación y al trabajo en equipo entre la empresa , la embotelladora AGA, el , y el .¡Ánimo! Les esperamos.",#F1,https://www.instagram.com/explore/tags/f1/?hl=es,6 d,,https://www.instagram.com/madridistaatodopoder1/?hl=es,https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/242127195_2907409662855262_7584145720160901797_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=7gvGVBq3ubcAX8Aka3Y&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBCHk-uhLL4iJSjm5qBw5w3NsZojZ8XNt5CGEBT9BSR0Q&oe=65326A85&_nc_sid=f5838a,madridistaatodopoder1,https://www.instagram.com/madridistaatodopoder1/,Venga mi próximo GOBERNADOR!!!!! Tu serás nuestro candidato!!!!!! Ya lo verás!!!!!!!,https://www.instagram.com/p/CyOblbhrqNa/c/18046033333511338/?hl=es,5 d,1 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/xpectrumlatam/?hl=es,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/279942675_384439020282719_1565487058339753077_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Sop6iTAoZxQAX8KO0Pb&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCybwjnSUvCXn8_TQCpduWTPOEXNICukpOam8i6JPzesw&oe=653278FA&_nc_sid=f5838a,xpectrumlatam,https://www.instagram.com/xpectrumlatam/,"Excelente iniciativa  !Sin duda Guadalajara es el epicentro de los motores en México. Para el show de drift contamos con el mejor piloto de México, orgullosamente tapatío  Animo!",https://www.instagram.com/p/CyOblbhrqNa/c/18064525774405657/?hl=es,6 d,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyOblbhrqNa/?hl=es,,159,,,,,,,Hace 6 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyOW3jeueI1/liked_by/?hl=es,Me gusta,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opciones del comentario,Me gusta,https://www.instagram.com/fontiveros76/,Ver traducción,56,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/310691550_2935473816756529_8774502403936716082_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=4lUpC5b_HuAAX8_I2FT&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfA5t9XYelElyZIvw7vpUZ_zMZav0HgEHAG-I0Iw6IjcAw&oe=65330A43&_nc_sid=b41fef,fontiveros76,"Transformamos la Calle Constancia en una vialidad segura, con concreto hidráulico e iluminación con sentido peatonal. ¡Enhorabuena!",,,6 d,,https://www.instagram.com/esaliorne/?hl=es,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/271517829_1219381738587505_4288658661820599352_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=QUqg9bhS88QAX941LQd&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfB-lcNiMGzYJQzzq4WXV_Kzu5ZCPC2VRIB8t07b4jBxfQ&oe=6532851F&_nc_sid=f5838a,esaliorne,https://www.instagram.com/esaliorne/,Buen balizamiento,https://www.instagram.com/p/CyOW3jeueI1/c/17944683185613975/?hl=es,4 d,Responder,Responder,Ver traducción,,https://www.instagram.com/weaselcustom/?hl=es,https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/376784691_689679222550320_9158565992073768594_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Rt_BArWlzWYAX9RkBtr&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDXOR5zfR-nZvZ_nIAmqohi2lgWYepLz03Ou2QnDBr-ag&oe=65339A16&_nc_sid=f5838a,weaselcustom,https://www.instagram.com/weaselcustom/,Quedo de lujo,https://www.instagram.com/p/CyOW3jeueI1/c/17924372297785967/?hl=es,6 d,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyOW3jeueI1/?hl=es,,110,,,,,,,Hace 6 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyMy33LrWB3/liked_by/?hl=es,Me gusta,673,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,137,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Hoy visité a Don Adrián en su casa de la colonia Monumental, un tapatío de corazón, muchas gracias🫶 por sus palabras y buenos deseos para lo que viene. Le mando un abrazo con saludos a toda la familia Espinoza y vecinos de la colonia Monumental. ¡Ánimo, !",#Guadalajara,https://www.instagram.com/explore/tags/guadalajara/?hl=es,6 d,,https://www.instagram.com/bethprietoruiz/?hl=es,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/361316021_578137637867331_6152438807050129237_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=avVxV0kwQKoAX_kjxy4&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBhW6JfiXXFM1G1cwtoaEVAiV1O5O-HYMn26XNZSg4bXw&oe=6532A97A&_nc_sid=f5838a,bethprietoruiz,https://www.instagram.com/bethprietoruiz/,❤️,https://www.instagram.com/p/CyMy33LrWB3/c/18022506754692171/?hl=es,6 d,1 Me gusta,Responder,,Ver respuestas (1),https://www.instagram.com/albertobistango/?hl=es,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/271170368_933549860614773_1136729198170044509_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=S5JMVSNsLdgAX86KvQE&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBbVYEfYvyNudRTft5xxBYSrgo718MfdIpjZwOSG4EqZQ&oe=65334621&_nc_sid=f5838a,albertobistango,https://www.instagram.com/albertobistango/,👏👏👏👏👏,https://www.instagram.com/p/CyMy33LrWB3/c/18278664112159028/?hl=es,6 d,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyMy33LrWB3/?hl=es,,210,,,,,,,Hace 6 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyMr_pfivwI/liked_by/?hl=es,Me gusta,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,469,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Hoy es cumpleaños 🥳 de , uno de los tapatíos que ha puesto el nombre de México en alto con su cine, talento e impulso que da a la industria cinematográfica local y nacional.Muchas felicidades 👏 ¿Cuál es su película o personaje favorito del Mundo Fantástico de Guillermo del Toro?",,,6 d,,https://www.instagram.com/albertobistango/?hl=es,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/271170368_933549860614773_1136729198170044509_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=S5JMVSNsLdgAX86KvQE&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBbVYEfYvyNudRTft5xxBYSrgo718MfdIpjZwOSG4EqZQ&oe=65334621&_nc_sid=f5838a,albertobistango,https://www.instagram.com/albertobistango/,👏👏👏👏👏,https://www.instagram.com/p/CyMr_pfivwI/c/17928783692772373/?hl=es,6 d,1 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/bethprietoruiz/?hl=es,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/361316021_578137637867331_6152438807050129237_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=avVxV0kwQKoAX_kjxy4&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBhW6JfiXXFM1G1cwtoaEVAiV1O5O-HYMn26XNZSg4bXw&oe=6532A97A&_nc_sid=f5838a,bethprietoruiz,https://www.instagram.com/bethprietoruiz/,👏🙌EXCELENTE,https://www.instagram.com/p/CyMr_pfivwI/c/18012816289903606/?hl=es,6 d,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyMr_pfivwI/?hl=es,,156,,,,,,,Hace 6 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyMa5T-KUuo/liked_by/?hl=es,Me gusta,327,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,349,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Así de bonitas quedaron las calles Montes Pirineos y Monte Carmelo en la colonia Monumental con la rehabilitación que les hicimos.Quedaron con una infraestructura de calidad con:📌 Bacheo superficial y renivelaciones.📌 Carpeta asfáltica.📌 Suministro y colocación de adoquín podotáctil.📌 Colocación de bolardos.📌 Construcción de banquetas en accesibilidad universal 🧑‍🦽👩‍🦽👨‍🦯.📌 Guarnición lineal tipo I.📌 Balizamiento vial.📌 Colocación de luminarias 💡.Agradezco 🙏 a las y los vecinos por hacer equipo 💪 para construir una ciudad más segura y digna para todas y todos. ¡Ánimo, !",#Guadalajara,https://www.instagram.com/explore/tags/guadalajara/?hl=es,1 sem,,https://www.instagram.com/apaxco1/?hl=es,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/320199379_553383766641885_5896371999808060275_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=a2vcLD8SQL0AX87DpSq&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBeuC-rYON-ipms_LBGebUjGlNkIF_C8FONm1-ytgUV7w&oe=65326C26&_nc_sid=f5838a,apaxco1,https://www.instagram.com/apaxco1/,Javier mina también quedó muy bonita,https://www.instagram.com/p/CyMa5T-KUuo/c/17953158488676567/?hl=es,1 sem,2 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/albertobistango/?hl=es,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/271170368_933549860614773_1136729198170044509_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=S5JMVSNsLdgAX86KvQE&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBbVYEfYvyNudRTft5xxBYSrgo718MfdIpjZwOSG4EqZQ&oe=65334621&_nc_sid=f5838a,albertobistango,https://www.instagram.com/albertobistango/,👏👏👏👏👏👏👏,https://www.instagram.com/p/CyMa5T-KUuo/c/18059388520460274/?hl=es,6 d,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyMa5T-KUuo/?hl=es,,249,,,,,,,Hace 7 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyME24rKjBA/liked_by/?hl=es,Me gusta,647,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,140,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfBdU5ce23o2Ch6SIW_9Do425aYjMRSuEnRdWE7JFiaECw&oe=6533369B&_nc_sid=b41fef,pablolemusn,"Muchas gracias, Don Adrián, por abrirme las puertas de su casa, por sus palabras y sobre todo por la confianza🫶. Ustedes son un gran motor y no les vamos a fallar🫡.Saludos a la familia Espinoza, vecinos de la colonia Monumental. ¡Ánimo, Guadalajara!",,,1 sem,,https://www.instagram.com/emiliapugagildo/?hl=es,https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/271971325_933097370933746_8620368683187766768_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=E3xZth1IStoAX-NjCq7&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAwrBZqdHU3rs_FDsQcFIJQLI44Zs8KPLR9ciFRu8VkOQ&oe=65329DF3&_nc_sid=f5838a,emiliapugagildo,https://www.instagram.com/emiliapugagildo/,"Así es pablo lemus  gobernador  de guadalajara  así va hacer ,le guste ,ho pese a hotros partidos. Si señor. ❤️.",https://www.instagram.com/p/CyME24rKjBA/c/17952808550678464/?hl=es,1 sem,1 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/_cesarcasta/?hl=es,https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/319536469_1266440380583712_2415090764581412922_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=MFclyyTwR48AX-gcBl7&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDM4oGQIDmmCBH3NFq57NtmkRa9Kb0oSM7njAraovbqPg&oe=653254C8&_nc_sid=f5838a,_cesarcasta,https://www.instagram.com/_cesarcasta/,"Sería bueno comentar lo que Don Adrian hizo por los camellones de Uxmal, una gran persona!",https://www.instagram.com/p/CyME24rKjBA/c/17986192313453195/?hl=es,6 d,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyME24rKjBA/?hl=es,,124,,,,,,,Hace 7 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyL_giUqLf9/liked_by/?hl=es,Me gusta,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,353,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Iniciamos la semana con la inauguración de las calles Montes Pirineos y Monte Carmelo en la colonia Monumental.Les entregamos estas calles, a las y los vecinos, completamente renovadas con la construcción de banquetas con accesibilidad universal 👨‍🦯👩‍🦽🧑‍🦽, iluminación 💡, balizamiento entre otras mejoras de gran calidad 👌.En este video les compartimos más detalles sobre lo que hicimos.",#ObraPública,https://www.instagram.com/explore/tags/obrap%C3%BAblica/?hl=es,1 sem,,https://www.instagram.com/esparzalorenaguzman/?hl=es,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/345340505_601612381913031_4412400816399486418_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=woc_Byruc4YAX8xI8gv&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDoregd3gm5ZGaxU0VWkvAZ8h7gbSghxqIVu85vyvseXA&oe=65337AB5&_nc_sid=f5838a,esparzalorenaguzman,https://www.instagram.com/esparzalorenaguzman/,"Que padre felicidades 😍 no se a quien le corresponda , le deberían de dar una manita de gato también a la @ Monumental Plaza de Toros “ principalmente en las gradas 🥰☺️🤗",https://www.instagram.com/p/CyL_giUqLf9/c/17895324338825432/?hl=es,1 sem,1 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/lizz__lu/?hl=es,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/387697460_653857509900807_9082482041724733166_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=vnJ893UE1GMAX8NiSKW&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfD5Kbbjt5OXonhYPPnQWtZ2QscyzM35P7r2KNdVfYOMCQ&oe=6531F970&_nc_sid=f5838a,lizz__lu,https://www.instagram.com/lizz__lu/,"👏 Muy bien, también sería excelente una manita de gato a la calle Fidel Velazquez que está muy deteriorada ni balizada está. Ya lo hemos comentado antes. Que le dé una mejor imagen a las colonias aledañas. Que se haga una avenida bonita. Ya hace falta. 🙌",https://www.instagram.com/p/CyL_giUqLf9/c/17954682311675156/?hl=es,1 sem,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyL_giUqLf9/?hl=es,,243,,,,,,,Hace 7 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyL23lFuJh7/liked_by/?hl=es,Me gusta,347,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opciones del comentario,Me gusta,https://www.instagram.com/felixgastelum20/,Ver traducción,1235,https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/253570576_597148861634112_5464019277276134468_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=afAsLjXo0TUAX_FM8nN&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfCdYtws-xEKjk-_5ZExvMYn7dO7oXrfDa-E2GeKTGyl1A&oe=653374BB&_nc_sid=b41fef,felixgastelum20,"Los jardines polinizadores🌻🌾 del programa De Flor en Flor del Gobierno de Guadalajara ayudan a las especies polinizadoras como colibríes🐦, abejas🐝, insectos🪲, etc. Ya llevamos 49 por toda la ciudad, ayúdanos a cuidarlos.🫶🏻",,,1 sem,,https://www.instagram.com/jupags/?hl=es,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/106492818_1654310821412601_1355068822809417660_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=91ETZGNSe1cAX-tEl-P&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCiq5TY0Ww8hutq_ElGqSXIqjqMJ39nntSQDEBjGpu1EQ&oe=6533A03C&_nc_sid=f5838a,jupags,https://www.instagram.com/jupags/,Bssss 🐝🐝🐝,https://www.instagram.com/p/CyL23lFuJh7/c/17893425068833655/?hl=es,1 sem,1 Me gusta,Responder,Ver traducción,,https://www.instagram.com/tazianopirozzi/?hl=es,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/372728683_1334386717284409_4080681502348008363_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=L4QHl7Xu4fYAX-TbBv6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfD-Gr9YDCjW2MUC9zugAIxJ0NTuG2DnJEMcQv8QCuOZ7g&oe=6532DCBD&_nc_sid=f5838a,tazianopirozzi,https://www.instagram.com/tazianopirozzi/,"¡Qué gran perspectiva! La vida puede ser desafiante a veces, pero con la mentalidad y la actitud adecuadas, podemos aprender a navegarla como un juego. Se trata de entender las reglas y jugar para ganar. Mantén esta perspectiva y serás imparable.",https://www.instagram.com/p/CyL23lFuJh7/c/18278268358154506/?hl=es,1 sem,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyL23lFuJh7/?hl=es,,145,,,,,,,Hace 7 días,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyLoblHrh2A/liked_by/?hl=es,Me gusta,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
