,texto,tokens,views
36,uno nunca se puede negar a una rica torta ahogada,"['uno', 'nunca', 'se', 'puede', 'negar', 'a', 'una', 'rica', 'torta', 'ahogada']",3297
37,gracias,['gracias'],4485
38,gracias por proteger y alegrar a la comunidad al mismo tiempo con la música que nos distingue como la capital de la mexicanidad,"['gracias', 'por', 'proteger', 'y', 'alegrar', 'a', 'la', 'comunidad', 'al', 'mismo', 'tiempo', 'con', 'la', 'música', 'que', 'nos', 'distingue', 'como', 'la', 'capital', 'de', 'la', 'mexicanidad']",3419
39,,[],3923
40,todo en orden con el en,"['todo', 'en', 'orden', 'con', 'el', 'en']",15.8K
41,ya conocen el corredor gastronómico torres bodet vengan a darse una vuelta les va a gustar,"['ya', 'conocen', 'el', 'corredor', 'gastronómico', 'torres', 'bodet', 'vengan', 'a', 'darse', 'una', 'vuelta', 'les', 'va', 'a', 'gustar']",8452
42,gritamos con orgullo y de todo corazón viva méxico viva jalisco,"['gritamos', 'con', 'orgullo', 'y', 'de', 'todo', 'corazón', 'viva', 'méxico', 'viva', 'jalisco']",7304
43,buenas noches miren qué bonito se ve el centro lleno de gente,"['buenas', 'noches', 'miren', 'qué', 'bonito', 'se', 've', 'el', 'centro', 'lleno', 'de', 'gente']",10.6K
44,gracias por su apoyo ánimo jalisco,"['gracias', 'por', 'su', 'apoyo', 'ánimo', 'jalisco']",10.4K
45,dos años trabajando bien y de buenas por una mejor ciudad ánimo guadalajara vamos bien y se pondrá mejor,"['dos', 'años', 'trabajando', 'bien', 'y', 'de', 'buenas', 'por', 'una', 'mejor', 'ciudad', 'ánimo', 'guadalajara', 'vamos', 'bien', 'y', 'se', 'pondrá', 'mejor']",2865
46,que nunca llegue el rumor de la discordia querido gobernador sigamos trabajando en equipo unidos y haciendo buenos gobiernos,"['que', 'nunca', 'llegue', 'el', 'rumor', 'de', 'la', 'discordia', 'querido', 'gobernador', 'sigamos', 'trabajando', 'en', 'equipo', 'unidos', 'y', 'haciendo', 'buenos', 'gobiernos']",10.5K
47,la unidad desde mi visión comienza con un ejercicio de introspección si queremos construir en colectivo debemos sacudirnos todo lo que nos estorba y nos separa el ego la soberbia la intriga la discordia tenemos que andar ligeros y con humildad,"['la', 'unidad', 'desde', 'mi', 'visión', 'comienza', 'con', 'un', 'ejercicio', 'de', 'introspección', 'si', 'queremos', 'construir', 'en', 'colectivo', 'debemos', 'sacudirnos', 'todo', 'lo', 'que', 'nos', 'estorba', 'y', 'nos', 'separa', 'el', 'ego', 'la', 'soberbia', 'la', 'intriga', 'la', 'discordia', 'tenemos', 'que', 'andar', 'ligeros', 'y', 'con', 'humildad']",9303
48,gracias a todos y todas,"['gracias', 'a', 'todos', 'y', 'todas']",20.2K
49,estoy listo para informar a las y los tapatíos las acciones que hemos llevado a cabo en el último año en el,"['estoy', 'listo', 'para', 'informar', 'a', 'las', 'y', 'los', 'tapatíos', 'las', 'acciones', 'que', 'hemos', 'llevado', 'a', 'cabo', 'en', 'el', 'último', 'año', 'en', 'el']",4962
50,10 minutos del centro de al centro de,"['10', 'minutos', 'del', 'centro', 'de', 'al', 'centro', 'de']",22.6K
51,en estos dos años gobernando la capital de hemos comprobado que trabajar bien y de buenas y haciendo equipo con la gente da mejores resultados para tener una mejor ciudad,"['en', 'estos', 'dos', 'años', 'gobernando', 'la', 'capital', 'de', 'hemos', 'comprobado', 'que', 'trabajar', 'bien', 'y', 'de', 'buenas', 'y', 'haciendo', 'equipo', 'con', 'la', 'gente', 'da', 'mejores', 'resultados', 'para', 'tener', 'una', 'mejor', 'ciudad']",4704
52,el cariño de la gente es hermoso,"['el', 'cariño', 'de', 'la', 'gente', 'es', 'hermoso']",60.3K
53,así estamos disfrutando del día municipal de la torta ahogada están buenísimas,"['así', 'estamos', 'disfrutando', 'del', 'día', 'municipal', 'de', 'la', 'torta', 'ahogada', 'están', 'buenísimas']",42K
54,a partir de las 930 en el centro histórico de,"['a', 'partir', 'de', 'las', '930', 'en', 'el', 'centro', 'histórico', 'de']",23.1K
55,ya están listos para el día municipal de la torta ahogada este domingo 10 de septiembre vengan con toda la familia al,"['ya', 'están', 'listos', 'para', 'el', 'día', 'municipal', 'de', 'la', 'torta', 'ahogada', 'este', 'domingo', '10', 'de', 'septiembre', 'vengan', 'con', 'toda', 'la', 'familia', 'al']",40.7K
56,un saludo al centro médico de occidente y a mi amigo alex que esperemos que ya no vuelva a llegar tarde ánimo guadalajara,"['un', 'saludo', 'al', 'centro', 'médico', 'de', 'occidente', 'y', 'a', 'mi', 'amigo', 'alex', 'que', 'esperemos', 'que', 'ya', 'no', 'vuelva', 'a', 'llegar', 'tarde', 'ánimo', 'guadalajara']",33.1K
57,quedó increíble la ciclovía de javier mina desde tetlán hasta la minerva se harán 35 minutos aproximadamente una verdadera chulada,"['quedó', 'increíble', 'la', 'ciclovía', 'de', 'javier', 'mina', 'desde', 'tetlán', 'hasta', 'la', 'minerva', 'se', 'harán', '35', 'minutos', 'aproximadamente', 'una', 'verdadera', 'chulada']",20.9K
58,así comemos los verdaderos rojiblancos arrrrrrrrrrrrrrriba las chiiiiiiiiivas,"['así', 'comemos', 'los', 'verdaderos', 'rojiblancos', 'arrrrrrrrrrrrrrriba', 'las', 'chiiiiiiiiivas']",3532
59,los invito a seguir la cuenta de para que estes informado de lo que sucede en guadalajara,"['los', 'invito', 'a', 'seguir', 'la', 'cuenta', 'de', 'para', 'que', 'estes', 'informado', 'de', 'lo', 'que', 'sucede', 'en', 'guadalajara']",3813
60,así como lo hicimos en zapopan en guadalajara nos propusimos ser un gobierno de resultados y cercano con las y los tapatíos y hoy hemos cumplido hemos trabajado bien y de buenas para tener una ciudad con mejores calles unidades deportivas renovadas atractivos culturales y espacios públicos de primera calidad con una inversión de 4000 mdp en infraestructura,"['así', 'como', 'lo', 'hicimos', 'en', 'zapopan', 'en', 'guadalajara', 'nos', 'propusimos', 'ser', 'un', 'gobierno', 'de', 'resultados', 'y', 'cercano', 'con', 'las', 'y', 'los', 'tapatíos', 'y', 'hoy', 'hemos', 'cumplido', 'hemos', 'trabajado', 'bien', 'y', 'de', 'buenas', 'para', 'tener', 'una', 'ciudad', 'con', 'mejores', 'calles', 'unidades', 'deportivas', 'renovadas', 'atractivos', 'culturales', 'y', 'espacios', 'públicos', 'de', 'primera', 'calidad', 'con', 'una', 'inversión', 'de', '4000', 'mdp', 'en', 'infraestructura']",7141
61,rehabilitamos la gran puerta una escultura icónica en el parque amarillo de la colonia jardines alcalde,"['rehabilitamos', 'la', 'gran', 'puerta', 'una', 'escultura', 'icónica', 'en', 'el', 'parque', 'amarillo', 'de', 'la', 'colonia', 'jardines', 'alcalde']",4557
62,durante nuestra visita a tepatitlán pasamos a comernos unos ricos tacos en la taquería los cuñados en la zona de cristo rey están buenísimos,"['durante', 'nuestra', 'visita', 'a', 'tepatitlán', 'pasamos', 'a', 'comernos', 'unos', 'ricos', 'tacos', 'en', 'la', 'taquería', 'los', 'cuñados', 'en', 'la', 'zona', 'de', 'cristo', 'rey', 'están', 'buenísimos']",8997
63,el cariño de los niños,"['el', 'cariño', 'de', 'los', 'niños']",4749
64,a zapopan lo llevo en el corazón,"['a', 'zapopan', 'lo', 'llevo', 'en', 'el', 'corazón']",2985
65,este día nacional de las personas adultas mayores recordemos la importancia de compartir nuestro tiempo con esas personas de quienes tenemos mucho que aprender,"['este', 'día', 'nacional', 'de', 'las', 'personas', 'adultas', 'mayores', 'recordemos', 'la', 'importancia', 'de', 'compartir', 'nuestro', 'tiempo', 'con', 'esas', 'personas', 'de', 'quienes', 'tenemos', 'mucho', 'que', 'aprender']",1899
66,recordemos la carrera del siglo 10k para festejar los 100 años de,"['recordemos', 'la', 'carrera', 'del', 'siglo', '10k', 'para', 'festejar', 'los', '100', 'años', 'de']",1527
67,,[],1317
68,hermoso,['hermoso'],6154
69,recuerda que personal de servicios públicos puede acudir a tu domicilio para retirar tus cacharros y muebles viejos sin costo alguno sólo tienes que llamar al 070 o al 33 36 10 10 10,"['recuerda', 'que', 'personal', 'de', 'servicios', 'públicos', 'puede', 'acudir', 'a', 'tu', 'domicilio', 'para', 'retirar', 'tus', 'cacharros', 'y', 'muebles', 'viejos', 'sin', 'costo', 'alguno', 'sólo', 'tienes', 'que', 'llamar', 'al', '070', 'o', 'al', '33', '36', '10', '10', '10']",2210
70,me alegra saber que se está preparando para ayudar a las personas es un ejemplo para las nuevas generaciones ánimo,"['me', 'alegra', 'saber', 'que', 'se', 'está', 'preparando', 'para', 'ayudar', 'a', 'las', 'personas', 'es', 'un', 'ejemplo', 'para', 'las', 'nuevas', 'generaciones', 'ánimo']",9694
71,estamos trabajando para dejar calles y vialidades de primera calidad,"['estamos', 'trabajando', 'para', 'dejar', 'calles', 'y', 'vialidades', 'de', 'primera', 'calidad']",7203
72,rompimos el récord histórico de participación en una competencia atlética en con 20 mil participantes fue un honor acompañar a las y los bomberos en la,"['rompimos', 'el', 'récord', 'histórico', 'de', 'participación', 'en', 'una', 'competencia', 'atlética', 'en', 'con', '20', 'mil', 'participantes', 'fue', 'un', 'honor', 'acompañar', 'a', 'las', 'y', 'los', 'bomberos', 'en', 'la']",3743
73,muy buenos días de estamos a punto de comenzar la,"['muy', 'buenos', 'días', 'de', 'estamos', 'a', 'punto', 'de', 'comenzar', 'la']",5151
74,muy buenos días desde la ciudad más bonita y más mexicana guadalajara,"['muy', 'buenos', 'días', 'desde', 'la', 'ciudad', 'más', 'bonita', 'y', 'más', 'mexicana', 'guadalajara']",8815
75,recuerden que mañana es el festival de las juventudes tapatías en el parque extremo les esperamos a partir de las 1500 horas,"['recuerden', 'que', 'mañana', 'es', 'el', 'festival', 'de', 'las', 'juventudes', 'tapatías', 'en', 'el', 'parque', 'extremo', 'les', 'esperamos', 'a', 'partir', 'de', 'las', '1500', 'horas']",2742
76,el ingenio mexicano buenos días,"['el', 'ingenio', 'mexicano', 'buenos', 'días']",24.7K
77,la cita es el próximo viernes 11 de agosto en el parque extremo no faltes,"['la', 'cita', 'es', 'el', 'próximo', 'viernes', '11', 'de', 'agosto', 'en', 'el', 'parque', 'extremo', 'no', 'faltes']",8700
78,buenos días y feliz lunes estamos en san juan de dios supervisando la construcción de la colmena,"['buenos', 'días', 'y', 'feliz', 'lunes', 'estamos', 'en', 'san', 'juan', 'de', 'dios', 'supervisando', 'la', 'construcción', 'de', 'la', 'colmena']",39K
79,ya vieron la nueva imagen del andador chapu si no lo han hecho vengan y aprovechen para tomarse la foto,"['ya', 'vieron', 'la', 'nueva', 'imagen', 'del', 'andador', 'chapu', 'si', 'no', 'lo', 'han', 'hecho', 'vengan', 'y', 'aprovechen', 'para', 'tomarse', 'la', 'foto']",2276
80,vengan a disfrutar del centro histórico de guadalajara estas vacaciones de verano,"['vengan', 'a', 'disfrutar', 'del', 'centro', 'histórico', 'de', 'guadalajara', 'estas', 'vacaciones', 'de', 'verano']",2910
81,fanny pasándome buena energía para trabajar con más ánimo,"['fanny', 'pasándome', 'buena', 'energía', 'para', 'trabajar', 'con', 'más', 'ánimo']",2359
82,vean el increíble pastel rockero con el que me sorprendieron en la inauguración de la colmena balcones del 4,"['vean', 'el', 'increíble', 'pastel', 'rockero', 'con', 'el', 'que', 'me', 'sorprendieron', 'en', 'la', 'inauguración', 'de', 'la', 'colmena', 'balcones', 'del', '4']",10.7K
83,cumplimos nuestro compromiso con las y los vecinos de la colonia la federacha y les entregamos al cien la unidad deportiva 33 juan de dios robledo,"['cumplimos', 'nuestro', 'compromiso', 'con', 'las', 'y', 'los', 'vecinos', 'de', 'la', 'colonia', 'la', 'federacha', 'y', 'les', 'entregamos', 'al', 'cien', 'la', 'unidad', 'deportiva', '33', 'juan', 'de', 'dios', 'robledo']",8151
84,vengan al centro histórico por sus gardenias,"['vengan', 'al', 'centro', 'histórico', 'por', 'sus', 'gardenias']",10.8K
85,etzatlán está presente en el centro histórico de guadalajara,"['etzatlán', 'está', 'presente', 'en', 'el', 'centro', 'histórico', 'de', 'guadalajara']",7403
86,miren nada más el maravilloso regalo que me dio mi amigo,"['miren', 'nada', 'más', 'el', 'maravilloso', 'regalo', 'que', 'me', 'dio', 'mi', 'amigo']",34.4K
87,se prendió el cerro en la inauguración de la colmena balcones del 4 ánimo,"['se', 'prendió', 'el', 'cerro', 'en', 'la', 'inauguración', 'de', 'la', 'colmena', 'balcones', 'del', '4', 'ánimo']",6486
88,nuestro centro histórico emana belleza en cada rincón,"['nuestro', 'centro', 'histórico', 'emana', 'belleza', 'en', 'cada', 'rincón']",5246
89,ánimo ya es viernes y el cuerpo lo sabe,"['ánimo', 'ya', 'es', 'viernes', 'y', 'el', 'cuerpo', 'lo', 'sabe']",49.4K
90,,[],5609
91,diego y yo compartimos el mismo sueño y aspiración,"['diego', 'y', 'yo', 'compartimos', 'el', 'mismo', 'sueño', 'y', 'aspiración']",7475
92,en la expo centros históricos de jalisco jalisco al centro me compré una pulsera hecha por artesanos de tlaquepaque,"['en', 'la', 'expo', 'centros', 'históricos', 'de', 'jalisco', 'jalisco', 'al', 'centro', 'me', 'compré', 'una', 'pulsera', 'hecha', 'por', 'artesanos', 'de', 'tlaquepaque']",7594
93,los invito a ver el el trailer del segundo capítulo de la docuserie un corazón bien tapatío,"['los', 'invito', 'a', 'ver', 'el', 'el', 'trailer', 'del', 'segundo', 'capítulo', 'de', 'la', 'docuserie', 'un', 'corazón', 'bien', 'tapatío']",9588
94,siempre que regreso a late mi corazón de emoción,"['siempre', 'que', 'regreso', 'a', 'late', 'mi', 'corazón', 'de', 'emoción']",6900
95,gracias por todo su cariño somos un gran equipo,"['gracias', 'por', 'todo', 'su', 'cariño', 'somos', 'un', 'gran', 'equipo']",3810
96,así es estimado gobernador podemos tener estilos distintos pero nos une nuestro amor por el trabajo y por dar resultados a la gente somos amigos y somos compañeros de lucha,"['así', 'es', 'estimado', 'gobernador', 'podemos', 'tener', 'estilos', 'distintos', 'pero', 'nos', 'une', 'nuestro', 'amor', 'por', 'el', 'trabajo', 'y', 'por', 'dar', 'resultados', 'a', 'la', 'gente', 'somos', 'amigos', 'y', 'somos', 'compañeros', 'de', 'lucha']",6861
97,chavita me llevo de la mano a conocer a su mamá en el parque san jacinto muchas gracias por el cariño,"['chavita', 'me', 'llevo', 'de', 'la', 'mano', 'a', 'conocer', 'a', 'su', 'mamá', 'en', 'el', 'parque', 'san', 'jacinto', 'muchas', 'gracias', 'por', 'el', 'cariño']",7200
98,arriba las chivas saludos a toda la banda chivahermana,"['arriba', 'las', 'chivas', 'saludos', 'a', 'toda', 'la', 'banda', 'chivahermana']",22K
99,mi reconocimiento a los elementos de por salvar la vida de este perrito que se encontraba dentro de una vivienda en llamas en la colonia atlas,"['mi', 'reconocimiento', 'a', 'los', 'elementos', 'de', 'por', 'salvar', 'la', 'vida', 'de', 'este', 'perrito', 'que', 'se', 'encontraba', 'dentro', 'de', 'una', 'vivienda', 'en', 'llamas', 'en', 'la', 'colonia', 'atlas']",3477
100,hoy jueves desde puerto vallarta estamos promocionando la tan esperada carrera del siglo 10k de,"['hoy', 'jueves', 'desde', 'puerto', 'vallarta', 'estamos', 'promocionando', 'la', 'tan', 'esperada', 'carrera', 'del', 'siglo', '10k', 'de']",3816
101,el próximo viernes,"['el', 'próximo', 'viernes']",8128
102,un gustazo saludar a,"['un', 'gustazo', 'saludar', 'a']",8761
103,vean nada más lo que me envió mi amigo amaury vergara la nueva playera de las,"['vean', 'nada', 'más', 'lo', 'que', 'me', 'envió', 'mi', 'amigo', 'amaury', 'vergara', 'la', 'nueva', 'playera', 'de', 'las']",48.5K
104,miren nada más que chula se ve la glorieta colón con su nueva iluminación,"['miren', 'nada', 'más', 'que', 'chula', 'se', 've', 'la', 'glorieta', 'colón', 'con', 'su', 'nueva', 'iluminación']",282.5K
105,operativo de en la colonia,"['operativo', 'de', 'en', 'la', 'colonia']",36.3K
106,ya se armo la carnita asada y los tacos de barbacoa,"['ya', 'se', 'armo', 'la', 'carnita', 'asada', 'y', 'los', 'tacos', 'de', 'barbacoa']",8317
107,servir es mi pasión,"['servir', 'es', 'mi', 'pasión']",11.8K
108,junto a mi carnal,"['junto', 'a', 'mi', 'carnal']",9820
109,recordé mis años en la escuela,"['recordé', 'mis', 'años', 'en', 'la', 'escuela']",4651
110,respuesta a los invito a ver el capítulo completo en el canal de youtube de,"['respuesta', 'a', 'los', 'invito', 'a', 'ver', 'el', 'capítulo', 'completo', 'en', 'el', 'canal', 'de', 'youtube', 'de']",4999
111,tiempo detente muchos años,"['tiempo', 'detente', 'muchos', 'años']",23.2K
112,nos vemos mañana para rockear al ritmo de los caifanes ya voy preparado con mi chida camisa de caifanes que se la compre a gothic_shop,"['nos', 'vemos', 'mañana', 'para', 'rockear', 'al', 'ritmo', 'de', 'los', 'caifanes', 'ya', 'voy', 'preparado', 'con', 'mi', 'chida', 'camisa', 'de', 'caifanes', 'que', 'se', 'la', 'compre', 'a', 'gothic_shop']",28.3K
113,agradecido por el cariño de la gente,"['agradecido', 'por', 'el', 'cariño', 'de', 'la', 'gente']",10.8K
114,,[],4632
115,muchas gracias por tanto cariño,"['muchas', 'gracias', 'por', 'tanto', 'cariño']",7464
116,te amo gorda,"['te', 'amo', 'gorda']",12.9K
117,y arriba jalisco lleno total para festejar los 200 años de la fundación de nuestro estado ánimo jalisco,"['y', 'arriba', 'jalisco', 'lleno', 'total', 'para', 'festejar', 'los', '200', 'años', 'de', 'la', 'fundación', 'de', 'nuestro', 'estado', 'ánimo', 'jalisco']",20.7K
118,guadalajara,['guadalajara'],206.8K
119,piénsalo,['piénsalo'],3799
120,que increíble es el cariño de la gente gracias por el ánimo y este freestyle directo de la colonia circunvalación belisario,"['que', 'increíble', 'es', 'el', 'cariño', 'de', 'la', 'gente', 'gracias', 'por', 'el', 'ánimo', 'y', 'este', 'freestyle', 'directo', 'de', 'la', 'colonia', 'circunvalación', 'belisario']",12.5K
121,saludos a unión de san antonio,"['saludos', 'a', 'unión', 'de', 'san', 'antonio']",3512
122,gracias por tanto cariño,"['gracias', 'por', 'tanto', 'cariño']",3336
123,,[],6491
124,guadalajara,['guadalajara'],3992
125,agradecido y bien mucho por el cariño de la gente,"['agradecido', 'y', 'bien', 'mucho', 'por', 'el', 'cariño', 'de', 'la', 'gente']",11K
126,piénsalo,['piénsalo'],8392
127,a zapopan y su gente los llevo siempre en el corazón,"['a', 'zapopan', 'y', 'su', 'gente', 'los', 'llevo', 'siempre', 'en', 'el', 'corazón']",5794
128,hoy es el día mundial de la bicicleta,"['hoy', 'es', 'el', 'día', 'mundial', 'de', 'la', 'bicicleta']",1997
129,a quién más le encantaba jugar pacman,"['a', 'quién', 'más', 'le', 'encantaba', 'jugar', 'pacman']",2594
130,hace un par de meses visité a don rafa para entregarle la renovación de su licencia municipal,"['hace', 'un', 'par', 'de', 'meses', 'visité', 'a', 'don', 'rafa', 'para', 'entregarle', 'la', 'renovación', 'de', 'su', 'licencia', 'municipal']",23.6K
131,tenemos 10 mesas de ajedrez en los portales de la presidencia municipal de guadalajara,"['tenemos', '10', 'mesas', 'de', 'ajedrez', 'en', 'los', 'portales', 'de', 'la', 'presidencia', 'municipal', 'de', 'guadalajara']",3525
132,así se vivió la transmisión del partido en el de,"['así', 'se', 'vivió', 'la', 'transmisión', 'del', 'partido', 'en', 'el', 'de']",3113
133,este próximo 23 de junio volverá a vibrar al ritmo de caifanes,"['este', 'próximo', '23', 'de', 'junio', 'volverá', 'a', 'vibrar', 'al', 'ritmo', 'de', 'caifanes']",83.3K
134,guadalajara es tierra de campeones vamos por la 13,"['guadalajara', 'es', 'tierra', 'de', 'campeones', 'vamos', 'por', 'la', '13']",2984
135,como en el 2017 va a salir campeón,"['como', 'en', 'el', '2017', 'va', 'a', 'salir', 'campeón']",5395
136,así festejé el pase a la final,"['así', 'festejé', 'el', 'pase', 'a', 'la', 'final']",5995
137,el a la final arrrrriba las,"['el', 'a', 'la', 'final', 'arrrrriba', 'las']",3266
138,me encontré con un chivahermano en la plaza luis barragán saludos al buen eduardo muchas gracias por el apoyo y el buen ánimo,"['me', 'encontré', 'con', 'un', 'chivahermano', 'en', 'la', 'plaza', 'luis', 'barragán', 'saludos', 'al', 'buen', 'eduardo', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'el', 'buen', 'ánimo']",3754
139,qué les parece un buen plato de espinazo los invitamos a disfrutar de uno delicioso que hace doña angélica en el mercado mexicaltzingo,"['qué', 'les', 'parece', 'un', 'buen', 'plato', 'de', 'espinazo', 'los', 'invitamos', 'a', 'disfrutar', 'de', 'uno', 'delicioso', 'que', 'hace', 'doña', 'angélica', 'en', 'el', 'mercado', 'mexicaltzingo']",15.3K
140,hoy nos fuimos en la línea 3 del tren ligero a una reunión en,"['hoy', 'nos', 'fuimos', 'en', 'la', 'línea', '3', 'del', 'tren', 'ligero', 'a', 'una', 'reunión', 'en']",46.7K
141,vean qué bonita sorpresa me dieron las y los alumnos de la recién inaugurada escuela de música clemente aguirre,"['vean', 'qué', 'bonita', 'sorpresa', 'me', 'dieron', 'las', 'y', 'los', 'alumnos', 'de', 'la', 'recién', 'inaugurada', 'escuela', 'de', 'música', 'clemente', 'aguirre']",16.8K
142,deliciosa,['deliciosa'],15.2K
143,inauguración de la primera edición de los juegos deportivos de bomberos en el marco de los 100 años de,"['inauguración', 'de', 'la', 'primera', 'edición', 'de', 'los', 'juegos', 'deportivos', 'de', 'bomberos', 'en', 'el', 'marco', 'de', 'los', '100', 'años', 'de']",6305
144,y arrrrrrriba las,"['y', 'arrrrrrriba', 'las']",2924
145,tracy es veladora de la obra que estamos realizando en la unidad deportiva en la colonia federacha,"['tracy', 'es', 'veladora', 'de', 'la', 'obra', 'que', 'estamos', 'realizando', 'en', 'la', 'unidad', 'deportiva', 'en', 'la', 'colonia', 'federacha']",2976
146,se pasan,"['se', 'pasan']",2408
147,thank you for your visit to guadalajara,"['thank', 'you', 'for', 'your', 'visit', 'to', 'guadalajara']",16.2K
148,desde el comienzo de la administración nos propusimos impulsar la reactivación del centro histórico,"['desde', 'el', 'comienzo', 'de', 'la', 'administración', 'nos', 'propusimos', 'impulsar', 'la', 'reactivación', 'del', 'centro', 'histórico']",6070
149,qué increíble es la energía de las y jóvenes no tengo palabras para agradecer todo su cariño y su apoyo,"['qué', 'increíble', 'es', 'la', 'energía', 'de', 'las', 'y', 'jóvenes', 'no', 'tengo', 'palabras', 'para', 'agradecer', 'todo', 'su', 'cariño', 'y', 'su', 'apoyo']",2690
150,el rey lo volvió a hacer ganó en casa y con toda su gente,"['el', 'rey', 'lo', 'volvió', 'a', 'hacer', 'ganó', 'en', 'casa', 'y', 'con', 'toda', 'su', 'gente']",2427
151,se llegó el día mucho éxito canelo,"['se', 'llegó', 'el', 'día', 'mucho', 'éxito', 'canelo']",19.3K
152,el rey regresa a su casa para dar una pelea espectacular,"['el', 'rey', 'regresa', 'a', 'su', 'casa', 'para', 'dar', 'una', 'pelea', 'espectacular']",49.7K
153,todas y todos podemos poner nuestro granito de arena para mantener a guadalajara limpia y bonita,"['todas', 'y', 'todos', 'podemos', 'poner', 'nuestro', 'granito', 'de', 'arena', 'para', 'mantener', 'a', 'guadalajara', 'limpia', 'y', 'bonita']",10.9K
154,de corazón muchas gracias por el detalle,"['de', 'corazón', 'muchas', 'gracias', 'por', 'el', 'detalle']",2397
155,traemos mucho entusiasmo y buen tino,"['traemos', 'mucho', 'entusiasmo', 'y', 'buen', 'tino']",2936
156,por ese niño que algún día fuimos y que aún llevamos dentro,"['por', 'ese', 'niño', 'que', 'algún', 'día', 'fuimos', 'y', 'que', 'aún', 'llevamos', 'dentro']",3848
157,vean qué chulada las familias disfrutando del monumental carrusel,"['vean', 'qué', 'chulada', 'las', 'familias', 'disfrutando', 'del', 'monumental', 'carrusel']",4898
158,me dio mucho conocer al señor lorenzo y a su esposa originarios de tuxpan jalisco ánimo,"['me', 'dio', 'mucho', 'conocer', 'al', 'señor', 'lorenzo', 'y', 'a', 'su', 'esposa', 'originarios', 'de', 'tuxpan', 'jalisco', 'ánimo']",3592
159,qué orgullo que la primera mexicana campeona de la es tapatía,"['qué', 'orgullo', 'que', 'la', 'primera', 'mexicana', 'campeona', 'de', 'la', 'es', 'tapatía']",9756
160,los esperamos,"['los', 'esperamos']",5531
161,deliciosos,['deliciosos'],8110
162,miren nada más qué chulada este cuadro de la memoria futbolera del club oro,"['miren', 'nada', 'más', 'qué', 'chulada', 'este', 'cuadro', 'de', 'la', 'memoria', 'futbolera', 'del', 'club', 'oro']",3469
163,ya visitaste la feria de la pitaya,"['ya', 'visitaste', 'la', 'feria', 'de', 'la', 'pitaya']",8600
164,ya se subieron,"['ya', 'se', 'subieron']",4879
165,,[],8897
166,te invitamos a sumergirte en el mundo de las historias y leyendas del museo panteón de belén,"['te', 'invitamos', 'a', 'sumergirte', 'en', 'el', 'mundo', 'de', 'las', 'historias', 'y', 'leyendas', 'del', 'museo', 'panteón', 'de', 'belén']",2575
167,la señora logró chivearme ustedes ya se tomaron una en la plaza luis barragán,"['la', 'señora', 'logró', 'chivearme', 'ustedes', 'ya', 'se', 'tomaron', 'una', 'en', 'la', 'plaza', 'luis', 'barragán']",5020
168,sacando los pasos prohibidos con la marimba en la plaza tapatía de guadalajara,"['sacando', 'los', 'pasos', 'prohibidos', 'con', 'la', 'marimba', 'en', 'la', 'plaza', 'tapatía', 'de', 'guadalajara']",10.4K
169,,[],5125
170,no tengo duda que juntas y juntos lo vamos a lograr ánimo a darle,"['no', 'tengo', 'duda', 'que', 'juntas', 'y', 'juntos', 'lo', 'vamos', 'a', 'lograr', 'ánimo', 'a', 'darle']",7431
171,me dio mucho gusto conocer a don ramón ánimo,"['me', 'dio', 'mucho', 'gusto', 'conocer', 'a', 'don', 'ramón', 'ánimo']",21.6K
172,hace unos días mientras caminábamos por el me dio mucho gusto saludar a las alumnas y alumnos del centro escolar mexicaltzingo urbana 33,"['hace', 'unos', 'días', 'mientras', 'caminábamos', 'por', 'el', 'me', 'dio', 'mucho', 'gusto', 'saludar', 'a', 'las', 'alumnas', 'y', 'alumnos', 'del', 'centro', 'escolar', 'mexicaltzingo', 'urbana', '33']",3198
173,vengan a conocer el carrusel de guadalajara en estas vacaciones,"['vengan', 'a', 'conocer', 'el', 'carrusel', 'de', 'guadalajara', 'en', 'estas', 'vacaciones']",3516
174,una delicia las tortas lokas don chava,"['una', 'delicia', 'las', 'tortas', 'lokas', 'don', 'chava']",13K
175,guadalajara es la ciudad más bonita,"['guadalajara', 'es', 'la', 'ciudad', 'más', 'bonita']",10.2K
176,me da mucho gusto ver que vienen de visita a nuestra hermosa ciudad de guadalajara,"['me', 'da', 'mucho', 'gusto', 'ver', 'que', 'vienen', 'de', 'visita', 'a', 'nuestra', 'hermosa', 'ciudad', 'de', 'guadalajara']",16.6K
177,vean qué chidas están mis botas de las chivas son trabajo de un gran zapatero zapopano a quien le agradezco este detalle y aquí las tengo de amuleto para la buena suerte porque hoy juega el rebaño sagrado en el,"['vean', 'qué', 'chidas', 'están', 'mis', 'botas', 'de', 'las', 'chivas', 'son', 'trabajo', 'de', 'un', 'gran', 'zapatero', 'zapopano', 'a', 'quien', 'le', 'agradezco', 'este', 'detalle', 'y', 'aquí', 'las', 'tengo', 'de', 'amuleto', 'para', 'la', 'buena', 'suerte', 'porque', 'hoy', 'juega', 'el', 'rebaño', 'sagrado', 'en', 'el']",8768
178,qué tal me veo,"['qué', 'tal', 'me', 'veo']",6702
179,quedo muy chida la plaza,"['quedo', 'muy', 'chida', 'la', 'plaza']",4159
180,aquí preparándonos vamos a ganar golear y gustar ánimo,"['aquí', 'preparándonos', 'vamos', 'a', 'ganar', 'golear', 'y', 'gustar', 'ánimo']",3419
