,texto,tokens,views
255,ya se subieron al carrusel,"['ya', 'se', 'subieron', 'al', 'carrusel']",6593
256,el carrusel de guadalajara en el,"['el', 'carrusel', 'de', 'guadalajara', 'en', 'el']",7422
257,aniversario 481 años,"['aniversario', '481', 'años']",24.6K
258,celebremos juntos a la ciudad más bonita,"['celebremos', 'juntos', 'a', 'la', 'ciudad', 'más', 'bonita']",30.9K
259,hoy inauguramos el carrusel en jardín reforma,"['hoy', 'inauguramos', 'el', 'carrusel', 'en', 'jardín', 'reforma']",14.9K
260,ya estamos listos,"['ya', 'estamos', 'listos']",7909
261,respuesta a nos vemos el 14 de febrero,"['respuesta', 'a', 'nos', 'vemos', 'el', '14', 'de', 'febrero']",15.2K
262,,[],8568
263,ya están listos para,"['ya', 'están', 'listos', 'para']",12.1K
264,muchas gracias por el gran recibimiento en la secundaria mixta no 69 teresa de calcuta,"['muchas', 'gracias', 'por', 'el', 'gran', 'recibimiento', 'en', 'la', 'secundaria', 'mixta', 'no', '69', 'teresa', 'de', 'calcuta']",7612
265,programa creakids,"['programa', 'creakids']",6597
266,ya conocen los bibliorefri,"['ya', 'conocen', 'los', 'bibliorefri']",4237
267,estamos sembrando rosales para recuperar nuestra identidad somos la ciudad de las rosas y pronto lo seremos en todo su esplendor,"['estamos', 'sembrando', 'rosales', 'para', 'recuperar', 'nuestra', 'identidad', 'somos', 'la', 'ciudad', 'de', 'las', 'rosas', 'y', 'pronto', 'lo', 'seremos', 'en', 'todo', 'su', 'esplendor']",4732
268,guadalajara,['guadalajara'],4942
269,siempre trabajando por guadalajara,"['siempre', 'trabajando', 'por', 'guadalajara']",3818
270,las tradiciones son para disfrutarse,"['las', 'tradiciones', 'son', 'para', 'disfrutarse']",5249
271,este 2023 se vienen grandes cosas para las juventudes de la perla tapatía,"['este', '2023', 'se', 'vienen', 'grandes', 'cosas', 'para', 'las', 'juventudes', 'de', 'la', 'perla', 'tapatía']",8071
272,aluzinante un espectáculo de luces,"['aluzinante', 'un', 'espectáculo', 'de', 'luces']",5498
273,quién es,"['quién', 'es']",4591
274,saben deliciosos,"['saben', 'deliciosos']",12.3K
275,bien y de buenas,"['bien', 'y', 'de', 'buenas']",3840
276,,[],4814
277,,[],18.1K
278,apoco no se les antojó un cuernito alfredo,"['apoco', 'no', 'se', 'les', 'antojó', 'un', 'cuernito', 'alfredo']",6580
279,,[],5536
280,dense una vuelta a los tacos paco en calle sol esquina con arcos en la colonia jardines del bosque la verdad están riquísimos,"['dense', 'una', 'vuelta', 'a', 'los', 'tacos', 'paco', 'en', 'calle', 'sol', 'esquina', 'con', 'arcos', 'en', 'la', 'colonia', 'jardines', 'del', 'bosque', 'la', 'verdad', 'están', 'riquísimos']",6605
281,chequen los autos eléctricos que le entregamos al personal de la coordinación de servicios públicos municipales ánimo,"['chequen', 'los', 'autos', 'eléctricos', 'que', 'le', 'entregamos', 'al', 'personal', 'de', 'la', 'coordinación', 'de', 'servicios', 'públicos', 'municipales', 'ánimo']",6100
282,mira hasta el final,"['mira', 'hasta', 'el', 'final']",4408
283,qué orgullo que en jalisco exista talento como el de katya echazarreta la primera mujer mexicana y además tapatía en viajar al espacio,"['qué', 'orgullo', 'que', 'en', 'jalisco', 'exista', 'talento', 'como', 'el', 'de', 'katya', 'echazarreta', 'la', 'primera', 'mujer', 'mexicana', 'y', 'además', 'tapatía', 'en', 'viajar', 'al', 'espacio']",3796
284,qué tal la armo de karateca,"['qué', 'tal', 'la', 'armo', 'de', 'karateca']",6745
285,recuerda que puedes disfrutar de este increíble espectáculo de jueves a domingo en la catedral de guadalajara en uno de sus tres horarios 1945 2045 y 2130 ánimo,"['recuerda', 'que', 'puedes', 'disfrutar', 'de', 'este', 'increíble', 'espectáculo', 'de', 'jueves', 'a', 'domingo', 'en', 'la', 'catedral', 'de', 'guadalajara', 'en', 'uno', 'de', 'sus', 'tres', 'horarios', '1945', '2045', 'y', '2130', 'ánimo']",4081
286,queremos que guadalajara se vea cada vez más chula,"['queremos', 'que', 'guadalajara', 'se', 'vea', 'cada', 'vez', 'más', 'chula']",8316
287,apoco no se les antojó,"['apoco', 'no', 'se', 'les', 'antojó']",5780
288,queremos que nuestros servicios públicos municipales brinden un excelente servicio es por eso que realizamos la entrega de 102 vehículos nuevos para poder atender mejor a las tapatías y los tapatíos ánimo,"['queremos', 'que', 'nuestros', 'servicios', 'públicos', 'municipales', 'brinden', 'un', 'excelente', 'servicio', 'es', 'por', 'eso', 'que', 'realizamos', 'la', 'entrega', 'de', '102', 'vehículos', 'nuevos', 'para', 'poder', 'atender', 'mejor', 'a', 'las', 'tapatías', 'y', 'los', 'tapatíos', 'ánimo']",3989
289,de corazón muchas gracias por la confianza y las muestras de cariño es una gran motivación para chambear todos los días,"['de', 'corazón', 'muchas', 'gracias', 'por', 'la', 'confianza', 'y', 'las', 'muestras', 'de', 'cariño', 'es', 'una', 'gran', 'motivación', 'para', 'chambear', 'todos', 'los', 'días']",2935
290,mi bici,"['mi', 'bici']",3800
291,buenas noches,"['buenas', 'noches']",4507
292,me dio mucho gusto conocer a romina una danzante que practicó durante un año además de hacer sus vestuarios,"['me', 'dio', 'mucho', 'gusto', 'conocer', 'a', 'romina', 'una', 'danzante', 'que', 'practicó', 'durante', 'un', 'año', 'además', 'de', 'hacer', 'sus', 'vestuarios']",2030
293,me dio mucho gusto disfrutar juntos y juntas de una de las tradiciones más bonitas de nuestro país,"['me', 'dio', 'mucho', 'gusto', 'disfrutar', 'juntos', 'y', 'juntas', 'de', 'una', 'de', 'las', 'tradiciones', 'más', 'bonitas', 'de', 'nuestro', 'país']",7110
294,los esperamos este próximo viernes 6 de enero para partir la rosca de reyes la cita es a las 1800 horas en plaza guadalajara,"['los', 'esperamos', 'este', 'próximo', 'viernes', '6', 'de', 'enero', 'para', 'partir', 'la', 'rosca', 'de', 'reyes', 'la', 'cita', 'es', 'a', 'las', '1800', 'horas', 'en', 'plaza', 'guadalajara']",3666
295,que este los llene de alegría dicha y salud feliz,"['que', 'este', 'los', 'llene', 'de', 'alegría', 'dicha', 'y', 'salud', 'feliz']",11.3K
296,hoy guadalajara tiene un con un rostro distinto y en el 2023 vamos por más eventos para seguirlo llenándolo de atractivosánimo guadalajara,"['hoy', 'guadalajara', 'tiene', 'un', 'con', 'un', 'rostro', 'distinto', 'y', 'en', 'el', '2023', 'vamos', 'por', 'más', 'eventos', 'para', 'seguirlo', 'llenándolo', 'de', 'atractivosánimo', 'guadalajara']",3327
297,los invito a darse una vuelta al café peregrino,"['los', 'invito', 'a', 'darse', 'una', 'vuelta', 'al', 'café', 'peregrino']",6430
298,échense una vuelta el parque de la solidaridad el horario de la pista es de 0930 a 2130 horas,"['échense', 'una', 'vuelta', 'el', 'parque', 'de', 'la', 'solidaridad', 'el', 'horario', 'de', 'la', 'pista', 'es', 'de', '0930', 'a', '2130', 'horas']",3378
299,de la navidad cobra vida en cada espacio del,"['de', 'la', 'navidad', 'cobra', 'vida', 'en', 'cada', 'espacio', 'del']",5800
300,el suertudo soy yo,"['el', 'suertudo', 'soy', 'yo']",4907
301,las niñas y los niños de guadalajara y yo les deseamos feliz navidad felices fiestas a todas y todos ánimo guadalajara,"['las', 'niñas', 'y', 'los', 'niños', 'de', 'guadalajara', 'y', 'yo', 'les', 'deseamos', 'feliz', 'navidad', 'felices', 'fiestas', 'a', 'todas', 'y', 'todos', 'ánimo', 'guadalajara']",1983
302,les deseo una muy feliz navidad y les envío un fuerte abrazo ánimo,"['les', 'deseo', 'una', 'muy', 'feliz', 'navidad', 'y', 'les', 'envío', 'un', 'fuerte', 'abrazo', 'ánimo']",4086
303,aproveché la visita a la casa de santa para dejarle mi cartita de deseo ustedes ya le llevaron la suya ánimo guadalajara y que pasen muy felices fiestas en compañía de su familia y seres queridos,"['aproveché', 'la', 'visita', 'a', 'la', 'casa', 'de', 'santa', 'para', 'dejarle', 'mi', 'cartita', 'de', 'deseo', 'ustedes', 'ya', 'le', 'llevaron', 'la', 'suya', 'ánimo', 'guadalajara', 'y', 'que', 'pasen', 'muy', 'felices', 'fiestas', 'en', 'compañía', 'de', 'su', 'familia', 'y', 'seres', 'queridos']",3701
304,la fábrica de santa está abierta de 1730 a 2130 horas y la encuentran en paseo alcalde frente a plaza de armas,"['la', 'fábrica', 'de', 'santa', 'está', 'abierta', 'de', '1730', 'a', '2130', 'horas', 'y', 'la', 'encuentran', 'en', 'paseo', 'alcalde', 'frente', 'a', 'plaza', 'de', 'armas']",7576
305,ilusionante,['ilusionante'],3748
306,rescatando a un amigo,"['rescatando', 'a', 'un', 'amigo']",5279
307,ilusionante,['ilusionante'],68K
308,,[],3829
309,de miren lo bonito que se ve,"['de', 'miren', 'lo', 'bonito', 'que', 'se', 've']",5628
310,qué belleza ayer se engalanó con la presencia de más de 3 mil tapatíos y tapatíos para escuchar a la filarmónica de jalisco,"['qué', 'belleza', 'ayer', 'se', 'engalanó', 'con', 'la', 'presencia', 'de', 'más', 'de', '3', 'mil', 'tapatíos', 'y', 'tapatíos', 'para', 'escuchar', 'a', 'la', 'filarmónica', 'de', 'jalisco']",83.4K
311,martes por la noche y seguimos chambeando en unos minutos más la orquesta filarmónica de jalisco engalanará nos vemos en punto de las 8pm para un concierto,"['martes', 'por', 'la', 'noche', 'y', 'seguimos', 'chambeando', 'en', 'unos', 'minutos', 'más', 'la', 'orquesta', 'filarmónica', 'de', 'jalisco', 'engalanará', 'nos', 'vemos', 'en', 'punto', 'de', 'las', '8pm', 'para', 'un', 'concierto']",4455
312,chequen como quedaron de primera las canchas de fútbol de isla raza,"['chequen', 'como', 'quedaron', 'de', 'primera', 'las', 'canchas', 'de', 'fútbol', 'de', 'isla', 'raza']",4374
313,vean con que detalle me sorprendieron en el tianguis navideño en el parque el refugio ánimo,"['vean', 'con', 'que', 'detalle', 'me', 'sorprendieron', 'en', 'el', 'tianguis', 'navideño', 'en', 'el', 'parque', 'el', 'refugio', 'ánimo']",3769
314,siempre me llena de mucha alegría el convivir con las juventudes agradezco su buena vibra y el buen ánimo que me transmiten para seguir adelante,"['siempre', 'me', 'llena', 'de', 'mucha', 'alegría', 'el', 'convivir', 'con', 'las', 'juventudes', 'agradezco', 'su', 'buena', 'vibra', 'y', 'el', 'buen', 'ánimo', 'que', 'me', 'transmiten', 'para', 'seguir', 'adelante']",3186
315,sofi venció al cáncer y tocó la campana,"['sofi', 'venció', 'al', 'cáncer', 'y', 'tocó', 'la', 'campana']",4138
316,después de inaugurar el festival ilusionante en el parque de la solidaridad junto con el gobernador nos pusimos los patines para estrenar la pista de hielo y echar una patinada ánimo a disfrutar de este increíble festival navideño,"['después', 'de', 'inaugurar', 'el', 'festival', 'ilusionante', 'en', 'el', 'parque', 'de', 'la', 'solidaridad', 'junto', 'con', 'el', 'gobernador', 'nos', 'pusimos', 'los', 'patines', 'para', 'estrenar', 'la', 'pista', 'de', 'hielo', 'y', 'echar', 'una', 'patinada', 'ánimo', 'a', 'disfrutar', 'de', 'este', 'increíble', 'festival', 'navideño']",52.2K
317,cuando llegué a guadalajara nos comprometimos a invertir fuerte y en serio en materia de infraestructura por eso el día de hoy estamos entregando el reencarpertado y obras adicionales hechas en la calle gabriela mistral en la colonia alcalde barranquitas ánimo,"['cuando', 'llegué', 'a', 'guadalajara', 'nos', 'comprometimos', 'a', 'invertir', 'fuerte', 'y', 'en', 'serio', 'en', 'materia', 'de', 'infraestructura', 'por', 'eso', 'el', 'día', 'de', 'hoy', 'estamos', 'entregando', 'el', 'reencarpertado', 'y', 'obras', 'adicionales', 'hechas', 'en', 'la', 'calle', 'gabriela', 'mistral', 'en', 'la', 'colonia', 'alcalde', 'barranquitas', 'ánimo']",3634
318,chequen qué bonito se ve el centro histórico,"['chequen', 'qué', 'bonito', 'se', 've', 'el', 'centro', 'histórico']",4988
