,texto,tokens,sentimiento
24,gracias por todo el cariño  cariño pablolemus ,"['gracias', 'por', 'todo', 'el', 'cariño', 'cariño', 'pablolemus']",0.0
25,transformación mercado reforma  transformacion mercadoreforma ,"['transformación', 'mercado', 'reforma', 'transformacion', 'mercadoreforma']",0.0
26,fue un gusto celebrar el 65 aniversario  de la escuela primaria manuel m diéguez una de las escuelas más antiguas de la ciudad  ánimo muchas felicidades emocionante aniversario ,"['fue', 'un', 'gusto', 'celebrar', 'el', '65', 'aniversario', 'de', 'la', 'escuela', 'primaria', 'manuel', 'm', 'diéguez', 'una', 'de', 'las', 'escuelas', 'más', 'antiguas', 'de', 'la', 'ciudad', 'ánimo', 'muchas', 'felicidades', 'emocionante', 'aniversario']",0.0
27,entregamos un merecido reconocimiento a 338 servidores públicos jubilados y pensionados durante el 2023 del gobierno de guadalajara reconocimientos ,"['entregamos', 'un', 'merecido', 'reconocimiento', 'a', '338', 'servidores', 'públicos', 'jubilados', 'y', 'pensionados', 'durante', 'el', '2023', 'del', 'gobierno', 'de', 'guadalajara', 'reconocimientos']",0.0
28, catedral guadalajara ,"['catedral', 'guadalajara']",0.0
29,sabemos que para tener una sociedad igualitaria y respetuosa debemos fomentar la inclusión y la empatía por eso en este día mundial del turismo inauguramos los recorridos turísticos guadalajara bien incluyente  turismo inclusion ,"['sabemos', 'que', 'para', 'tener', 'una', 'sociedad', 'igualitaria', 'y', 'respetuosa', 'debemos', 'fomentar', 'la', 'inclusión', 'y', 'la', 'empatía', 'por', 'eso', 'en', 'este', 'día', 'mundial', 'del', 'turismo', 'inauguramos', 'los', 'recorridos', 'turísticos', 'guadalajara', 'bien', 'incluyente', 'turismo', 'inclusion']",0.0
30,muchas gracias  brainchemistry trend ,"['muchas', 'gracias', 'brainchemistry', 'trend']",0.0
31,guadalajara  turismo visitanos ,"['guadalajara', 'turismo', 'visitanos']",0.0
32,autoart   está de regreso estamos muy emocionados de volver a ser anfitriones de este evento único y que fusiona el trabajo y talento de 14 artistas locales con el mundo de los autos deportivos de algunas de las marcas más reconocidas autoart ferrari este  año autoart será un evento con causa ya que apoyaremos a la asociación civil nariz roja ac con la colocación de un buzón para realizar donaciones a favor de nuestras niñas y niños con cáncer,"['autoart', 'está', 'de', 'regreso', 'estamos', 'muy', 'emocionados', 'de', 'volver', 'a', 'ser', 'anfitriones', 'de', 'este', 'evento', 'único', 'y', 'que', 'fusiona', 'el', 'trabajo', 'y', 'talento', 'de', '14', 'artistas', 'locales', 'con', 'el', 'mundo', 'de', 'los', 'autos', 'deportivos', 'de', 'algunas', 'de', 'las', 'marcas', 'más', 'reconocidas', 'autoart', 'ferrari', 'este', 'año', 'autoart', 'será', 'un', 'evento', 'con', 'causa', 'ya', 'que', 'apoyaremos', 'a', 'la', 'asociación', 'civil', 'nariz', 'roja', 'a', 'c', 'con', 'la', 'colocación', 'de', 'un', 'buzón', 'para', 'realizar', 'donaciones', 'a', 'favor', 'de', 'nuestras', 'niñas', 'y', 'niños', 'con', 'cáncer']",0.4019
33,nada como un pan tradicional de guadalajara  visitemos nuestros mercados y apoyemos el comercio local mercados mercadoreforma ,"['nada', 'como', 'un', 'pan', 'tradicional', 'de', 'guadalajara', 'visitemos', 'nuestros', 'mercados', 'y', 'apoyemos', 'el', 'comercio', 'local', 'mercados', 'mercadoreforma']",0.0
34,venimos a disfrutar en familia de la gran final del gdl open akron  wta 1000 2023 un evento deportivo de talla internacional que llegó a la ciudad para quedarse ánimo sabado findesemana ,"['venimos', 'a', 'disfrutar', 'en', 'familia', 'de', 'la', 'gran', 'final', 'del', 'gdl', 'open', 'akron', 'wta', '1000', '2023', 'un', 'evento', 'deportivo', 'de', 'talla', 'internacional', 'que', 'llegó', 'a', 'la', 'ciudad', 'para', 'quedarse', 'ánimo', 'sabado', 'findesemana']",0.0
35,los invito a visitar la expo emprende joven a partir de las 10 am  emprendimiento emprendedores ,"['los', 'invito', 'a', 'visitar', 'la', 'expo', 'emprende', 'joven', 'a', 'partir', 'de', 'las', '10', 'am', 'emprendimiento', 'emprendedores']",0.0
36,uno nunca se puede negar a una rica torta ahogada  delicious tortaahogada ,"['uno', 'nunca', 'se', 'puede', 'negar', 'a', 'una', 'rica', 'torta', 'ahogada', 'delicious', 'tortaahogada']",0.5719
37,gracias  agradecido amor ,"['gracias', 'agradecido', 'amor']",0.6124
38,gracias por proteger y alegrar a la comunidad al mismo tiempo con la música que nos distingue como la capital de la mexicanidad policia_gdl trabajoduro ,"['gracias', 'por', 'proteger', 'y', 'alegrar', 'a', 'la', 'comunidad', 'al', 'mismo', 'tiempo', 'con', 'la', 'música', 'que', 'nos', 'distingue', 'como', 'la', 'capital', 'de', 'la', 'mexicanidad', 'policia_gdl', 'trabajoduro']",0.0
39, jalisco pablolemus ,"['jalisco', 'pablolemus']",0.0
40,todo en orden con el macrosimulacro guadalajara en,"['todo', 'en', 'orden', 'con', 'el', 'macrosimulacro', 'guadalajara', 'en']",0.0
41,ya conocen el corredor gastronómico torres bodet  delicious comida vengan a darse una vuelta les va a gustar,"['ya', 'conocen', 'el', 'corredor', 'gastronómico', 'torres', 'bodet', 'delicious', 'comida', 'vengan', 'a', 'darse', 'una', 'vuelta', 'les', 'va', 'a', 'gustar']",0.5719
42,gritamos con orgullo y de todo corazón viva méxico viva jalisco  asifue vivamexico ,"['gritamos', 'con', 'orgullo', 'y', 'de', 'todo', 'corazón', 'viva', 'méxico', 'viva', 'jalisco', 'asifue', 'vivamexico']",0.0
43,buenas noches  miren qué bonito se ve el centro lleno de gente diadelaindependencia mexico ,"['buenas', 'noches', 'miren', 'qué', 'bonito', 'se', 've', 'el', 'centro', 'lleno', 'de', 'gente', 'diadelaindependencia', 'mexico']",0.0
44,gracias por su apoyo ánimo jalisco  pablolemus jalisco ,"['gracias', 'por', 'su', 'apoyo', 'ánimo', 'jalisco', 'pablolemus', 'jalisco']",0.0
45,dos años trabajando bien y de buenas por una mejor ciudad ánimo guadalajara vamos bien y se pondrá mejor  pablolemus informedegobierno ,"['dos', 'años', 'trabajando', 'bien', 'y', 'de', 'buenas', 'por', 'una', 'mejor', 'ciudad', 'ánimo', 'guadalajara', 'vamos', 'bien', 'y', 'se', 'pondrá', 'mejor', 'pablolemus', 'informedegobierno']",0.0
46,que nunca llegue el rumor de la discordia querido gobernador enriquealfaror pablolemus sigamos trabajando en equipo unidos y haciendo buenos gobiernos,"['que', 'nunca', 'llegue', 'el', 'rumor', 'de', 'la', 'discordia', 'querido', 'gobernador', 'enriquealfaror', 'pablolemus', 'sigamos', 'trabajando', 'en', 'equipo', 'unidos', 'y', 'haciendo', 'buenos', 'gobiernos']",0.0
47,la unidad  desde mi visión comienza con un ejercicio de introspección ánimojalisco ánimoguadalajara si queremos construir en colectivo debemos sacudirnos todo lo que nos estorba y nos separa el ego la soberbia la intriga la discordia tenemos que andar ligeros y con humildad,"['la', 'unidad', 'desde', 'mi', 'visión', 'comienza', 'con', 'un', 'ejercicio', 'de', 'introspección', 'ánimojalisco', 'ánimoguadalajara', 'si', 'queremos', 'construir', 'en', 'colectivo', 'debemos', 'sacudirnos', 'todo', 'lo', 'que', 'nos', 'estorba', 'y', 'nos', 'separa', 'el', 'ego', 'la', 'soberbia', 'la', 'intriga', 'la', 'discordia', 'tenemos', 'que', 'andar', 'ligeros', 'y', 'con', 'humildad']",0.0
48,gracias a todos y todas  informegdl pablolemus ,"['gracias', 'a', 'todos', 'y', 'todas', 'informegdl', 'pablolemus']",0.0
49,estoy listo para informar a las y los tapatíos las acciones que hemos llevado a cabo en el último año en el gobierno de guadalajara informegdl ,"['estoy', 'listo', 'para', 'informar', 'a', 'las', 'y', 'los', 'tapatíos', 'las', 'acciones', 'que', 'hemos', 'llevado', 'a', 'cabo', 'en', 'el', 'último', 'año', 'en', 'el', 'gobierno', 'de', 'guadalajara', 'informegdl']",0.0
50,10 minutos del centro de zapopan guadalajara al centro de,"['10', 'minutos', 'del', 'centro', 'de', 'zapopan', 'guadalajara', 'al', 'centro', 'de']",0.0
51,en estos dos años gobernando la capital de jalisco guadalajara  hemos comprobado que trabajar bien y de buenas y haciendo equipo con la gente  da mejores resultados para tener una mejor ciudad,"['en', 'estos', 'dos', 'años', 'gobernando', 'la', 'capital', 'de', 'jalisco', 'guadalajara', 'hemos', 'comprobado', 'que', 'trabajar', 'bien', 'y', 'de', 'buenas', 'y', 'haciendo', 'equipo', 'con', 'la', 'gente', 'da', 'mejores', 'resultados', 'para', 'tener', 'una', 'mejor', 'ciudad']",0.0
52,el cariño de la gente es hermoso  díamunicipaldelatortaahogada tortaahogada ,"['el', 'cariño', 'de', 'la', 'gente', 'es', 'hermoso', 'díamunicipaldelatortaahogada', 'tortaahogada']",0.0
53,así estamos disfrutando del día municipal de la torta ahogada díamunicipaldelatortaahogada tortaahogada están buenísimas ,"['así', 'estamos', 'disfrutando', 'del', 'día', 'municipal', 'de', 'la', 'torta', 'ahogada', 'díamunicipaldelatortaahogada', 'tortaahogada', 'están', 'buenísimas']",0.0
54,a partir de las 930 en el centro histórico de guadalajara diadelatortaahogada  ,"['a', 'partir', 'de', 'las', '9', '30', 'en', 'el', 'centro', 'histórico', 'de', 'guadalajara', 'diadelatortaahogada']",0.0
55,ya están listos para el día municipal de la torta ahogada  este domingo 10 de septiembre vengan con toda la familia al centrohistórico jalisco  ,"['ya', 'están', 'listos', 'para', 'el', 'día', 'municipal', 'de', 'la', 'torta', 'ahogada', 'este', 'domingo', '10', 'de', 'septiembre', 'vengan', 'con', 'toda', 'la', 'familia', 'al', 'centrohistórico', 'jalisco']",0.0
56,un saludo al centro médico de occidente y a mi amigo alex que esperemos que ya no vuelva a llegar tarde  ciclovia bikelove ánimo guadalajara ,"['un', 'saludo', 'al', 'centro', 'médico', 'de', 'occidente', 'y', 'a', 'mi', 'amigo', 'alex', 'que', 'esperemos', 'que', 'ya', 'no', 'vuelva', 'a', 'llegar', 'tarde', 'ciclovia', 'bikelove', 'ánimo', 'guadalajara']",-0.296
57,quedó increíble la ciclovía de javier mina desde tetlán hasta la minerva se harán 35 minutos aproximadamente una verdadera chulada  cilovia jalisco ,"['quedó', 'increíble', 'la', 'ciclovía', 'de', 'javier', 'mina', 'desde', 'tetlán', 'hasta', 'la', 'minerva', 'se', 'harán', '35', 'minutos', 'aproximadamente', 'una', 'verdadera', 'chulada', 'cilovia', 'jalisco']",0.0
58,así comemos los verdaderos rojiblancos chivas chivasdelguadalajara arrrrrrrrrrrrrrriba las chiiiiiiiiivas,"['así', 'comemos', 'los', 'verdaderos', 'rojiblancos', 'chivas', 'chivasdelguadalajara', 'arrrrrrrrrrrrrrriba', 'las', 'chiiiiiiiiivas']",0.0
59,los invito a seguir la cuenta de servicios públicos guadalajara serviciospublicos para que estes informado de lo que sucede en guadalajara,"['los', 'invito', 'a', 'seguir', 'la', 'cuenta', 'de', 'servicios', 'públicos', 'guadalajara', 'serviciospublicos', 'para', 'que', 'estes', 'informado', 'de', 'lo', 'que', 'sucede', 'en', 'guadalajara']",0.0
60,así como lo hicimos en zapopan en guadalajara nos propusimos ser un gobierno de resultados y cercano con las y los tapatíos y hoy hemos cumplido informegdl ánimoguadalajara hemos trabajado bien y de buenas para tener una ciudad con mejores calles unidades deportivas renovadas atractivos culturales y espacios públicos de primera calidad con una inversión de 4000 mdp en infraestructura,"['así', 'como', 'lo', 'hicimos', 'en', 'zapopan', 'en', 'guadalajara', 'nos', 'propusimos', 'ser', 'un', 'gobierno', 'de', 'resultados', 'y', 'cercano', 'con', 'las', 'y', 'los', 'tapatíos', 'y', 'hoy', 'hemos', 'cumplido', 'informegdl', 'ánimoguadalajara', 'hemos', 'trabajado', 'bien', 'y', 'de', 'buenas', 'para', 'tener', 'una', 'ciudad', 'con', 'mejores', 'calles', 'unidades', 'deportivas', 'renovadas', 'atractivos', 'culturales', 'y', 'espacios', 'públicos', 'de', 'primera', 'calidad', 'con', 'una', 'inversión', 'de', '4', '000', 'mdp', 'en', 'infraestructura']",0.0
61,rehabilitamos la gran puerta una escultura icónica en el parque amarillo de la colonia jardines alcalde escultura lomejorestallegando ,"['rehabilitamos', 'la', 'gran', 'puerta', 'una', 'escultura', 'icónica', 'en', 'el', 'parque', 'amarillo', 'de', 'la', 'colonia', 'jardines', 'alcalde', 'escultura', 'lomejorestallegando']",0.0
62,durante nuestra visita a tepatitlán pasamos a comernos unos ricos tacos  en la taquería los cuñados en la zona de cristo rey están buenísimos  domingodeborradores findesemana ,"['durante', 'nuestra', 'visita', 'a', 'tepatitlán', 'pasamos', 'a', 'comernos', 'unos', 'ricos', 'tacos', 'en', 'la', 'taquería', 'los', 'cuñados', 'en', 'la', 'zona', 'de', 'cristo', 'rey', 'están', 'buenísimos', 'domingodeborradores', 'findesemana']",0.0
63, el cariño de los niños  love amor ,"['el', 'cariño', 'de', 'los', 'niños', 'love', 'amor']",0.8481
64,a zapopan lo llevo en el corazón  agradecido amor ,"['a', 'zapopan', 'lo', 'llevo', 'en', 'el', 'corazón', 'agradecido', 'amor']",0.6124
65,este día nacional de las personas adultas mayores recordemos la importancia de compartir nuestro tiempo con esas personas de quienes tenemos mucho que aprender  lomejordelomejor cariño ,"['este', 'día', 'nacional', 'de', 'las', 'personas', 'adultas', 'mayores', 'recordemos', 'la', 'importancia', 'de', 'compartir', 'nuestro', 'tiempo', 'con', 'esas', 'personas', 'de', 'quienes', 'tenemos', 'mucho', 'que', 'aprender', 'lomejordelomejor', 'cariño']",0.0
66,recordemos la carrera del siglo 10k para festejar los 100 años de bomberos_gdl lomejordelomejor ,"['recordemos', 'la', 'carrera', 'del', 'siglo', '10k', 'para', 'festejar', 'los', '100', 'años', 'de', 'bomberos_gdl', 'lomejordelomejor']",0.0
67, trabajando bienydebuenas ,"['trabajando', 'bienydebuenas']",0.0
68,hermoso barrancadehuentitan jalisco ,"['hermoso', 'barrancadehuentitan', 'jalisco']",0.0
69,recuerda que personal de servicios públicos puede acudir a tu domicilio para retirar tus cacharros y muebles viejos sin costo alguno sólo tienes que llamar  al 070 o al guazap servicios públicos guadalajara  33 36 10 10 10,"['recuerda', 'que', 'personal', 'de', 'servicios', 'públicos', 'puede', 'acudir', 'a', 'tu', 'domicilio', 'para', 'retirar', 'tus', 'cacharros', 'y', 'muebles', 'viejos', 'sin', 'costo', 'alguno', 'sólo', 'tienes', 'que', 'llamar', 'al', '070', 'o', 'al', 'guazap', 'servicios', 'públicos', 'guadalajara', '33', '36', '10', '10', '10']",-0.5574
70,me alegra saber que se está preparando para ayudar a las personas es un ejemplo para las nuevas generaciones ánimo viernes trabajandoando ,"['me', 'alegra', 'saber', 'que', 'se', 'está', 'preparando', 'para', 'ayudar', 'a', 'las', 'personas', 'es', 'un', 'ejemplo', 'para', 'las', 'nuevas', 'generaciones', 'ánimo', 'viernes', 'trabajandoando']",0.0
71,estamos trabajando para dejar calles y vialidades de primera calidad  jalisco pablolemus ,"['estamos', 'trabajando', 'para', 'dejar', 'calles', 'y', 'vialidades', 'de', 'primera', 'calidad', 'jalisco', 'pablolemus']",0.0
72,rompimos el récord histórico de participación en una competencia atlética en jalisco carreradelsiglo10k con 20 mil participantes fue un honor acompañar a las y los bomberos en la,"['rompimos', 'el', 'récord', 'histórico', 'de', 'participación', 'en', 'una', 'competencia', 'atlética', 'en', 'jalisco', 'carreradelsiglo10k', 'con', '20', 'mil', 'participantes', 'fue', 'un', 'honor', 'acompañar', 'a', 'las', 'y', 'los', 'bomberos', 'en', 'la']",0.4939
73,muy buenos días de domingo carreradelsiglo  estamos a punto de comenzar la,"['muy', 'buenos', 'días', 'de', 'domingo', 'carreradelsiglo', 'estamos', 'a', 'punto', 'de', 'comenzar', 'la']",0.0
74,muy buenos días desde la ciudad más bonita y más mexicana guadalajara  buenosdias bienydebuenas ,"['muy', 'buenos', 'días', 'desde', 'la', 'ciudad', 'más', 'bonita', 'y', 'más', 'mexicana', 'guadalajara', 'buenosdias', 'bienydebuenas']",0.0
75,recuerden que mañana es el festival de las juventudes tapatías en el parque extremo les esperamos a partir de las 1500 horas bienydebuenas pablolemus ,"['recuerden', 'que', 'mañana', 'es', 'el', 'festival', 'de', 'las', 'juventudes', 'tapatías', 'en', 'el', 'parque', 'extremo', 'les', 'esperamos', 'a', 'partir', 'de', 'las', '15', '00', 'horas', 'bienydebuenas', 'pablolemus']",0.4939
76, el ingenio mexicano pablolemus buenosdias buenos días,"['el', 'ingenio', 'mexicano', 'pablolemus', 'buenosdias', 'buenos', 'días']",0.0
77,la cita es el próximo viernes 11 de agosto en el parque extremo no faltes pablolemus juventudes ,"['la', 'cita', 'es', 'el', 'próximo', 'viernes', '11', 'de', 'agosto', 'en', 'el', 'parque', 'extremo', 'no', 'faltes', 'pablolemus', 'juventudes']",-0.296
78,buenos días y feliz lunes estamos en san juan de dios supervisando  la construcción de la colmena  trabajandoduro felizinicodesemana ,"['buenos', 'días', 'y', 'feliz', 'lunes', 'estamos', 'en', 'san', 'juan', 'de', 'dios', 'supervisando', 'la', 'construcción', 'de', 'la', 'colmena', 'trabajandoduro', 'felizinicodesemana']",0.0
79,ya vieron la nueva imagen del andador chapu si no lo han hecho vengan y aprovechen para tomarse la foto  pablolemus verano ,"['ya', 'vieron', 'la', 'nueva', 'imagen', 'del', 'andador', 'chapu', 'si', 'no', 'lo', 'han', 'hecho', 'vengan', 'y', 'aprovechen', 'para', 'tomarse', 'la', 'foto', 'pablolemus', 'verano']",-0.296
80,vengan a disfrutar del centro histórico de guadalajara estas vacaciones de verano  verano vacaciones ,"['vengan', 'a', 'disfrutar', 'del', 'centro', 'histórico', 'de', 'guadalajara', 'estas', 'vacaciones', 'de', 'verano', 'verano', 'vacaciones']",0.0
81,fanny pasándome buena energía para trabajar con más ánimo agradecido trabajando ,"['fanny', 'pasándome', 'buena', 'energía', 'para', 'trabajar', 'con', 'más', 'ánimo', 'agradecido', 'trabajando']",0.0
82,vean el increíble pastel rockero con el que me sorprendieron en la inauguración de la colmena  balcones del 4 ledzeppelin rock ,"['vean', 'el', 'increíble', 'pastel', 'rockero', 'con', 'el', 'que', 'me', 'sorprendieron', 'en', 'la', 'inauguración', 'de', 'la', 'colmena', 'balcones', 'del', '4', 'ledzeppelin', 'rock']",0.0
83,cumplimos nuestro compromiso con las y los vecinos de la colonia la federacha y les entregamos al cien  la unidad deportiva 33 juan de dios robledo trabajandoduro work ,"['cumplimos', 'nuestro', 'compromiso', 'con', 'las', 'y', 'los', 'vecinos', 'de', 'la', 'colonia', 'la', 'federacha', 'y', 'les', 'entregamos', 'al', 'cien', 'la', 'unidad', 'deportiva', '33', 'juan', 'de', 'dios', 'robledo', 'trabajandoduro', 'work']",0.0
84,vengan al centro histórico por sus gardenias jalisco gardenias ,"['vengan', 'al', 'centro', 'histórico', 'por', 'sus', 'gardenias', 'jalisco', 'gardenias']",0.0
