"css-4rbku5 href","css-9pa8cd src","css-901oao","css-901oao 2","css-901oao 3","css-4rbku5 href 4","css-4rbku5","css-901oao 4","css-4rbku5 2","css-4rbku5 href 5","css-901oao 5","css-4rbku5 3","css-4rbku5 href 6","css-901oao 6","css-4rbku5 href 7","css-9pa8cd src 2","css-901oao 8","css-4rbku5 href 12","css-901oao 9","css-901oao 10","css-4rbku5 href 13","css-901oao 11","r-4qtqp9 src","css-901oao 12","css-901oao 13","css-4rbku5 href 17","css-901oao 14","css-901oao 15","css-901oao 19"
"https://twitter.com/EnriqueAlfaroR","https://pbs.twimg.com/profile_images/1663372143902482435/ElKbAlix_normal.jpg","Enrique Alfaro","@EnriqueAlfaroR","·","https://twitter.com/EnriqueAlfaroR/status/1714057522976621045","1h","De corazón, mi reconocimiento a","@PabloLemusN","https://twitter.com/PabloLemusN",", con quien inició este proyecto, a","@JuanJoseFrangie","https://twitter.com/JuanJoseFrangie","y al Gobierno de Zapopan, a la SIOP y David Zamora Bueno, a todas y todos detrás de este nuevo legado para Jalisco y nuestra ciudad.","https://twitter.com/EnriqueAlfaroR/status/1714057522976621045/photo/1","https://pbs.twimg.com/media/F8mN6XHbMAAIaZE?format=jpg&name=small","1","https://twitter.com/EnriqueAlfaroR/status/1714057522976621045/analytics","1.662","En respuesta a","https://twitter.com/EnriqueAlfaroR","@EnriqueAlfaroR","","2","9","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714053494078877911","2h","Muchas gracias, Martín. ¡Ánimo!","","","","","","","","","1","https://twitter.com/PabloLemusN/status/1714053494078877911/analytics","14","Respondiendo a","https://twitter.com/M_Magallon33","@M_Magallon33","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","1","","https://twitter.com/ExpoGanaderaJal","@ExpoGanaderaJal","y 2 más",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714053099042558124","2h","¡Ánimo Jorge!","","","","","","","","","","https://twitter.com/PabloLemusN/status/1714053099042558124/analytics","3","En respuesta a","https://twitter.com/j_jprge","@j_jprge","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714053001038504214","2h","","","","","","","","","","","https://twitter.com/PabloLemusN/status/1714053001038504214/analytics","4","En respuesta a","https://twitter.com/chavaasencioR","@chavaasencioR","https://abs-0.twimg.com/emoji/v2/svg/1f64f-1f3fd.svg","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714052634225615073","2h","¡Ánimo Jalisco!","","","","","","","","","1","https://twitter.com/PabloLemusN/status/1714052634225615073/analytics","4","En respuesta a","https://twitter.com/Gerardo89764507","@Gerardo89764507","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","1","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714052523986735177","2h","Gracias, seguiremos trabajando para transformar la movilidad de la ciudad","","",".","","","","","","","https://twitter.com/PabloLemusN/status/1714052523986735177/analytics","3","En respuesta a","https://twitter.com/Carlos917463087","@Carlos917463087","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714052415249428522","2h","Muchas gracias por el apoyo, Martín. A seguir trabajando bien y de buenas por la ciudad que queremos. ¡Ánimo!","","","","","","","","","1","https://twitter.com/PabloLemusN/status/1714052415249428522/analytics","7","Respondiendo a","https://twitter.com/M_Magallon33","@M_Magallon33","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","1","","https://twitter.com/kolorina4","@kolorina4","y 3 más",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714052073237491963","2h","Muchas gracias por el apoyo, a seguir chambeando por la ciudad que queremos. ¡Ánimo!","","","","","","","","","","https://twitter.com/PabloLemusN/status/1714052073237491963/analytics","6","En respuesta a","https://twitter.com/SergioR19556838","@SergioR19556838","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714051617962475605","2h","Gracias por todo el apoyo y confianza. ¡Ánimo Abraham!","","","","","","","","","1","https://twitter.com/PabloLemusN/status/1714051617962475605/analytics","25","En respuesta a","https://twitter.com/CamaAbraham","@CamaAbraham","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714051337808122318","2h","Muchas gracias por todo el apoyo, a seguir trabajando bien y de buenas por la ciudad que queremos. ¡Ánimo!","","","","","","","","","","https://twitter.com/PabloLemusN/status/1714051337808122318/analytics","6","En respuesta a","https://twitter.com/fitosimpson","@fitosimpson","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","","","","","",""
