,No. Topico,Palabras Clave
0,0,"['colimo', 'doc', 'dr', 'like', 'lipo', 'respuesta', 'movimiento', 'morena', 'humour', 'jalisco']"
1,1,"['maxilofacial', 'ortodoncia', 'campaña', 'favor', 'mc', 'dr', 'doc', 'like', 'lipo', 'colimo']"
2,2,"['persona', 'decisión', 'listón', 'tranquilidad', 'gracia', 'creencia', 'embarazo', 'publicación', 'pendiente', 'desarrollo']"
3,3,"['symposium', 'entrevista', 'maziel', 'jalisco2024', 'respuesta', 'like', 'dr', 'doc', 'lipo', 'morena']"
4,4,"['mito', 'verruga', 'antiaging', 'medicina', 'video', 'realidad', 'urologo', 'vph', 'bebé', 'laringomalacia']"
5,5,"['lipo', 'hamaca', 'movimientociudadano', 'maxilofacial', 'ortodoncia', 'dr', 'doc', 'like', 'colimo', 'respuesta']"
6,6,"['doc', 'like', 'candidatura', 'predicción', 'gobernador', 'dr', 'lipo', 'movimiento', 'colimo', 'morena']"
7,7,"['dr', 'morena', 'doc', 'mujer', 'jaramillo', 'respuesta', 'tussibaby', 'xóchitl', 'latinu', 'personaje']"
8,8,"['movimiento', 'cofepris', 'circunsición', 'grapadora', 'httpurologocarlosguerracom', 'juro', 'jalisco', 'banda', 'nacota', 'deliciosa']"
