"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","video-count","tiktok-1wrhn5c-AMetaCaptionLine href","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","tiktok-j2a19r-SpanText 2","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","tiktok-41hm0z src 2"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owxsnbd2EDZJISDVtAkQeBkwE9RAASNtSBYnfu?x-expires=1697670000&x-signature=R0rfrOEHKgpSB0CeNrZgXJkL9Ug%3D","752","https://www.tiktok.com/@drcarloslomeli/video/7255313449708981509","Gracias Erika, por esta plática. Deseo compartir contigo y con tu familia muchas anécdotas más.","https://www.tiktok.com/tag/doccast","#DocCast","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owtKQrnBVQksee2sBJbBRPHxxL1JaWEoADBOOI?x-expires=1697670000&x-signature=fTTTtStJa89P%2FKqLEoqbmVYr%2Bp4%3D","9961","https://www.tiktok.com/@drcarloslomeli/video/7254572297225243909","Movimiento Ciudadano será recordado por lastimar dolosamente la economía de las familias, con sus multas, sus impuestos y sus programas recaudatorios.","","","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oEhEEbAY0QeRnrAQCFLDA9BJHBreIJSkkI70jt?x-expires=1697670000&x-signature=P0ZrD1xkWzdF8YMet62wkb0BiKg%3D","858","https://www.tiktok.com/@drcarloslomeli/video/7254189649608838406","Jalisco necesita un gobierno que garantice a las mujeres acceder a cargos de liderazgo y tener una representación equitativa en la toma de decisiones.","","","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oUyy6MXloAVPAIatoEf9VakzmNrpg9bhgCAOrI?x-expires=1697670000&x-signature=s8xWY7XioW%2FNl2GbE0FiCQVU1oo%3D","1586","https://www.tiktok.com/@drcarloslomeli/video/7254010209155304710","Les comparto algo de lo que verán en el próximo episodio del","https://www.tiktok.com/tag/doccast","#DocCast",", donde tuve la oportunidad de platicar con una gran compañera de lucha.","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/71af1ba288874028b3bcfb181776cf0c_1688743961?x-expires=1697670000&x-signature=GE1n7Em9sOnVEHCbCKrUxDSeXRI%3D","942","https://www.tiktok.com/@drcarloslomeli/video/7253100055312289029","Cada abrazo, cada sonrisa, cada muestra de cariño, son la fuerza que me motiva a seguir.","https://www.tiktok.com/tag/drcarloslomeli","#drcarloslomeli","","https://www.tiktok.com/tag/guadalajara","#guadalajara","https://www.tiktok.com/tag/jalisco","#jalisco","https://www.tiktok.com/tag/mexico","#mexico","https://www.tiktok.com/tag/politica","#politica","https://www.tiktok.com/tag/morena","#morena",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/osJIQhABRz2EkALtmkYp2iQbl2qzEBfeJYkBB6?x-expires=1697670000&x-signature=Nc%2BqdgyKLD7FrUizRhfIjHcjBs8%3D","1270","https://www.tiktok.com/@drcarloslomeli/video/7252533760116264197","Un honor ser aliado de lucha de grandes mujeres. ¡Adelante compañeras!","https://www.tiktok.com/tag/drcarloslomeli","#drcarloslomeli","","https://www.tiktok.com/tag/guadalajara","#guadalajara","https://www.tiktok.com/tag/jalisco","#jalisco","https://www.tiktok.com/tag/mexico","#mexico","https://www.tiktok.com/tag/politica","#politica","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/osJIQhABRz2EkALtmkYp2iQbl2qzEBfeJYkBB6~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=JVSWRVn7DYXyucb%2F2u1YbCXIpns%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/68742301c94a4135b637b3d218671d9c_1688142195?x-expires=1697670000&x-signature=P1Ch0oK2JNzvV7RSwmh80z4nLfo%3D","1632","https://www.tiktok.com/@drcarloslomeli/video/7250515492421537030","","","","","","","","","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/68742301c94a4135b637b3d218671d9c_1688142195~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=GY%2Bl0ErWP4PEKLUjm6xvRDjCIl0%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/okWAmBSiJsCi7ZbeCMeDgSnfIPAjOXsQI3bqSA?x-expires=1697670000&x-signature=XpFdUIQN%2FMRCU6cqhCDxUlSP27o%3D","2071","https://www.tiktok.com/@drcarloslomeli/video/7250235073058901254","Lo dijo nuestro presidente Andrés Manuel López Obrador hoy en la mañanera, con la voluntad del pueblo, la  transformación de Jalisco avanza a paso firme y nadie podrá detenerla.","https://www.tiktok.com/tag/morenava","#morenava","","https://www.tiktok.com/tag/transformacion","#transformacion","https://www.tiktok.com/tag/amlo","#amlo","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/okWAmBSiJsCi7ZbeCMeDgSnfIPAjOXsQI3bqSA~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=nJMoHfqyBh5%2FJ04aTmnQmlqeTjA%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oktEBnHJWIAOdsjfra77cbATCQDdpBnmkEjRMe?x-expires=1697670000&x-signature=8PqYNB0HQMm8By32AqpgrC%2F596w%3D","2886","https://www.tiktok.com/@drcarloslomeli/video/7249932088810507526","¡Es una delicia de nuestro estado!","https://www.tiktok.com/tag/drcarloslomeli","#drcarloslomeli","","https://www.tiktok.com/tag/guadalajara","#guadalajara","https://www.tiktok.com/tag/jalisco","#jalisco","https://www.tiktok.com/tag/mexico","#mexico","https://www.tiktok.com/tag/politica","#politica","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oktEBnHJWIAOdsjfra77cbATCQDdpBnmkEjRMe~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=o%2BJe01A7H4gXQxziwBg8tTq0i24%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYcAjIjtUNyAhDkYU3h5AfSCIguztoFkUEt6GI?x-expires=1697670000&x-signature=%2F5X9btoEQ3mwGfqY9X7eiENgxMI%3D","741","https://www.tiktok.com/@drcarloslomeli/video/7247526442194521350","Gracias por tantos momentos juntos, Pato. Siempre contarás conmigo.","https://www.tiktok.com/tag/doccast","#DocCast","","","","","","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oYcAjIjtUNyAhDkYU3h5AfSCIguztoFkUEt6GI~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=w4XSXMn5Wb8HFVYNDN0QoFzAUDs%3D"
