,texto,tokens,Coments,RT’s,Likes,Views
18,"lo dijo nuestro presidente andrés manuel lópez obrador hoy en la mañanera, con la voluntad del pueblo, la  transformación de jalisco avanza a paso firme y nadie podrá detenerla. #morenava ","['lo', 'dijo', 'nuestro', 'presidente', 'andrés', 'manuel', 'lópez', 'obrador', 'hoy', 'en', 'la', 'mañanera', 'con', 'la', 'voluntad', 'del', 'pueblo', 'la', 'transformación', 'de', 'jalisco', 'avanza', 'a', 'paso', 'firme', 'y', 'nadie', 'podrá', 'detenerla', 'morenava']",215,19,6,2071
19,¡es una delicia de nuestro estado! #drcarloslomeli ,"['es', 'una', 'delicia', 'de', 'nuestro', 'estado', 'drcarloslomeli']",115,0,4,2886
20,"gracias por tantos momentos juntos, pato. siempre contarás conmigo. #doccast ","['gracias', 'por', 'tantos', 'momentos', 'juntos', 'pato', 'siempre', 'contarás', 'conmigo', 'doccast']",41,5,1,741
21,"para realmente celebrar a jalisco, necesitamos que llegue la cuarta transformación, con un gobierno que vea por el pueblo, y vivamos en una tierra donde la dignidad se haga costumbre.  ","['para', 'realmente', 'celebrar', 'a', 'jalisco', 'necesitamos', 'que', 'llegue', 'la', 'cuarta', 'transformación', 'con', 'un', 'gobierno', 'que', 'vea', 'por', 'el', 'pueblo', 'y', 'vivamos', 'en', 'una', 'tierra', 'donde', 'la', 'dignidad', 'se', 'haga', 'costumbre']",52,12,2,907
22,feliz #díadelpadre2023 para todos quienes tienen la dicha de serlo. ¡un abrazo!,"['feliz', 'díadelpadre2023', 'para', 'todos', 'quienes', 'tienen', 'la', 'dicha', 'de', 'serlo', 'un', 'abrazo']",72,7,1,985
23,"en jalisco, al igual que la maestra @delfina gómez álvarez estamos listos para el gran reto de aterrizar la cuarta transformación.","['en', 'jalisco', 'al', 'igual', 'que', 'la', 'maestra', 'delfina', 'gómez', 'álvarez', 'estamos', 'listos', 'para', 'el', 'gran', 'reto', 'de', 'aterrizar', 'la', 'cuarta', 'transformación']",66,8,4,927
24,"en esta batalla, no hay tiempo que perder. les comparto un resumen semanal de mis actividades.  ","['en', 'esta', 'batalla', 'no', 'hay', 'tiempo', 'que', 'perder', 'les', 'comparto', 'un', 'resumen', 'semanal', 'de', 'mis', 'actividades']",91,13,0,1267
25,"la falta de transparencia en el programa de verificación y la criminalización del parque vehicular viejo, tiene muy enojados a las y los ciudadanos, por eso piden #verificacióngratuita ","['la', 'falta', 'de', 'transparencia', 'en', 'el', 'programa', 'de', 'verificación', 'y', 'la', 'criminalización', 'del', 'parque', 'vehicular', 'viejo', 'tiene', 'muy', 'enojados', 'a', 'las', 'y', 'los', 'ciudadanos', 'por', 'eso', 'piden', 'verificacióngratuita']",491,72,18,7401
26,no a la verificación recaudatoria de movimiento ciudadano.  ,"['no', 'a', 'la', 'verificación', 'recaudatoria', 'de', 'movimiento', 'ciudadano']",604,118,8,9547
27,"vamos a seguir denunciando lo que pasa en nuestra ciudad. cuentan con nosotros, en guadalajara hay oposición.  ","['vamos', 'a', 'seguir', 'denunciando', 'lo', 'que', 'pasa', 'en', 'nuestra', 'ciudad', 'cuentan', 'con', 'nosotros', 'en', 'guadalajara', 'hay', 'oposición']",3592,806,129,65700
28,la lealtad y la honestidad son los valores más significativos que aprendí de mi mamá y de mi papá. #doccast ,"['la', 'lealtad', 'y', 'la', 'honestidad', 'son', 'los', 'valores', 'más', 'significativos', 'que', 'aprendí', 'de', 'mi', 'mamá', 'y', 'de', 'mi', 'papá', 'doccast']",60,4,0,1440
29,"nos oponemos a la verificación recaudatoria que movimiento ciudadano está imponiendo a las y los jaliscienses.  ¡afinación sí, verificación recaudatoria no!","['nos', 'oponemos', 'a', 'la', 'verificación', 'recaudatoria', 'que', 'movimiento', 'ciudadano', 'está', 'imponiendo', 'a', 'las', 'y', 'los', 'jaliscienses', 'afinación', 'sí', 'verificación', 'recaudatoria', 'no']",12900,1114,654,375300
30,spoiler de lo que verán próximamente en el #doccast 😎 ¡no se lo pierdn!,"['spoiler', 'de', 'lo', 'que', 'verán', 'próximamente', 'en', 'el', 'doccast', 'no', 'se', 'lo', 'pierdn']",162,13,6,3060
