"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-dennn6-DivTimeTag","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","tiktok-22xkqc-StyledLink href","tiktok-1zpj2q-ImgAvatar src","tiktok-2zn17v-PUniqueId","tiktok-ws4x78-StrongVideoCount","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6"
"https://www.tiktok.com/@nain_luquinr/video/7287704958563208454","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","10-8","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","452","",""
"https://www.tiktok.com/@nain_luquinr/video/7287319431284411653","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","10-7","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","250","",""
"https://www.tiktok.com/@biozule/video/7158692094792436998","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/c8c9c944e2884c15b8a7781f8d7478eb?x-expires=1697673600&x-signature=vM3K4smglz2Fx1F8a1DHleSDaG0%3D","2022-10-26","Entrevista en","https://www.tiktok.com/tag/symposium","#symposium","https://www.tiktok.com/tag/biotechnology","#biotechnology","https://www.tiktok.com/tag/bacteriofagos","#bacteriofagos","https://www.tiktok.com/tag/cibnor","#cibnor","https://www.tiktok.com/tag/cicimar","#cicimar","https://www.tiktok.com/@biozule","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ea06e225ddbee9b39a04c64fb33f0c1b~c5_100x100.jpeg?x-expires=1697673600&x-signature=4hXUrkmh0WvKRPpY8T8808GMiPA%3D","biozule","579","",""
"https://www.tiktok.com/@nain_luquinr/video/7287704958563208454","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owFj8ySQh5hYAfloOBkEpogIZtXkAlzCCIQtIv?x-expires=1697673600&x-signature=gBjXkp4gfUzhzKrn6XEBQdLd21Y%3D","10-8","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","452","",""
"https://www.tiktok.com/@nain_luquinr/video/7287319431284411653","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ooWjdQDMEfqy2hSmILEewPgInbA8eCBBXCrK4Q?x-expires=1697673600&x-signature=TwcYsAxHrYUFzpkc7hyA23V%2FoHs%3D","10-7","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","250","",""
"https://www.tiktok.com/@mel4t_/video/7289074195147918597","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYIAoR7fNAfCkccgy8ChLffEgNk1eAwfYf6Dk7I?x-expires=1697673600&x-signature=1OcFbGLX3vvxWYGP0iPSqeXGiv0%3D","hace 4 día(s)","Un hombre de hechos, no palabras: así es el doctor Carlos Lomelí.","","","","","","","","","","","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","195","",""
"https://www.tiktok.com/@mel4t_/video/7287281397457521925","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/55b9146f07d4428388e9aa21db3d7f65_1696702423?x-expires=1697673600&x-signature=brBXUIGobIwFeqW07rB5UScyejI%3D","10-7","Yo sí creo que el Dr. Carlos Lomelí es la solución. ¿Y tú? 💪🏻","","","","","","","","","","","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","306","",""
"https://www.tiktok.com/@nain_luquinr/video/7287583999126441222","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oUJzInpRfESREsZBDlrQ2Enf8HbAABw74IKi2T?x-expires=1697673600&x-signature=pKy0kyIw3KvfdFPgx8p2GQpQ9LM%3D","10-8","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","228","",""
"https://www.tiktok.com/@mel4t_/video/7288752371486838021","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d9f04a96e5d44dc2adbc5725cbe1e54f_1697044910?x-expires=1697673600&x-signature=U4gpFpi635DWSr8l4xknZVmTwic%3D","hace 5 día(s)","Queremos políticos que sí protejan los derechos de las mujeres, como el Dr. Carlos Lomelí","","","","","","","","","","","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","214","",""
"https://www.tiktok.com/@lacuatrot_oficial/video/7283353889984859398","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oIzKZhDAWIqikfmCwkkN0Ov80QnCAIo2TyEdAg?x-expires=1697673600&x-signature=Gk79S4wVEosvie5vOccmTBizbCc%3D","9-26","","https://www.tiktok.com/tag/amlo","#amlo","https://www.tiktok.com/tag/mexico","#mexico","https://www.tiktok.com/tag/viral","#viral","https://www.tiktok.com/tag/paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii","#paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii","https://www.tiktok.com/tag/4t","#4t","https://www.tiktok.com/@lacuatrot_oficial","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c9759b31b8e8bc2be04856c97a46083f~c5_100x100.jpeg?x-expires=1697673600&x-signature=kcGrjo0tC4wAF4ejJWqS%2FqOZGKA%3D","lacuatrot_oficial","327","https://www.tiktok.com/tag/drlomeli","#drlomeli"
