,No. Topico,Palabras Clave
0,0,"['corazón', 'centro', 'corrupción', 'principio', 'causa', 'amigo', 'compromiso', 'sueño', 'fuerza', 'familia']"
1,1,"['transformación', 'lucha', 'compromiso', 'médico', 'méxico', 'independencia', 'morena', 'valentía', 'salud', 'presidente']"
2,2,"['jalisco', 'transformación', 'compañera', 'esfuerzo', 'lucha', 'tranquilidad', 'camino', 'persona', 'compromiso', 'dedicación']"
3,3,"['jalisco', 'defensa', 'violencia', 'mujer', 'presidente', 'comités', 'pueblo', 'inspiración', 'vida', 'lopezobrador']"
4,4,"['año', 'jalisco', 'sueño', 'transformación', 'gobierno', 'oportunidad', 'corrupción', 'mujer', 'administración', 'amigo']"
5,5,"['jalisco', 'honestidad', 'realidad', 'pueblo', 'apoyo', 'gente', 'transformación', 'amor', 'defensa', 'persona']"
6,6,"['jalisco', 'agua', 'confianza', 'apoyo', 'crisis', 'lugar', 'dinero', 'cariño', 'motor', 'falta']"
7,7,"['palabra', 'compromiso', 'movimiento', 'cariño', 'inicio', 'éxito', 'compañero', 'partidomorenamx', 'año', 'lucha']"
8,8,"['mano', 'familia', 'amigo', 'jalisco', 'persona', 'millón', 'pesos', 'acto', 'apoyo', 'amiga']"
