texto,comentarios,repost,likes,views
"Hoy conmemoramos el 2 de octubre, un día que no se olvida, y en 2011, se fundó  
@PartidoMorenaMx
 como asociación civil. Un paso crucial en nuestro camino hacia la democracia y la justicia de Mexico y de nuestro estado . 

En 2018, logramos un cambio. Hoy, tenemos un Presidente que ama al pueblo de México.",3,5,42,1000
"El inversor y empresario Warren Buffett acuñó  la frase: ""La honestidad es un regalo costoso,  no lo esperes de personas baratas"". Y sin duda,  en la vida, la integridad es la base de una  sociedad fuerte y próspera. ¡Tengan un buen  arranque de semana!",10,3,56,1000
"Por este medio manifiesto que desconozco quien o quienes han pintado las diversas bardas que han aparecido en la ciudad, así como colocado las lonas de apoyo hacia mi persona, me deslindo de la realización de los actos referidos y exhorto a mis simpatizantes a que se conduzcan con apego a la convocatoria y a las leyes electorales aplicables al caso. Sigamos en unidad para defender los ideales del partido. ",116,25,109,17000
"En 2017, mi amigo y maestro Andrés Manuel López Obrador escribió este libro, poniendo claro su proyecto alternativo de nación.
A seis años, y listos para la siguiente transformación, sólo puedo decir:
Misión cumplida, Presidente.",5,6,58,1000
"Los quioscos de Jalisco están llenos de historia y recuerdos.
A ver, ¿cuáles reconocen de estas fotos?",2,2,37,742
"Con el pueblo todo, por el pueblo todo.",10,7,71,1000
No podemos cerrar los ojos ante la injusticia. La brecha salarial de género persiste y no podemos permitir que eso siga pasando.,6,4,46,1000
"Hoy estamos ante un proyecto que arrancamos hace 19 años; que ha soportado innumerables ataques y descalificaciones.   Pero nada nos ha detenido, y aquí estoy con la cabeza en alto y el corazón encendido a punto de alcanzar el sueño.  

La esperanza es lo que nos ha mantenido en  todos estos años, luchando, trabajando y construyendo este gran movimiento de transformación que hoy exigen los jaliscienses. Estamos preparados, estamos listos, y estamos deseosos de arrancar porque Jalisco nos está llamando.    

Hoy les anuncio que me he registrado para ser el Coordinador de la Defensa de la Cuarta Transformación en Jalisco.",42,30,113,12000
A las 12:00 p.m compartiré con todas y todos ustedes un mensaje que marcará el rumbo de nuestro estado. ¡Nos vemos!,11,3,66,3000
"La honestidad es la mejor virtud que podemos heredar a
nuestras hijas e hijos. ¡La verdad nos hará libres!",5,2,29,1000
"Estoy de todo corazón con mis amigas y amigos de Autlán de Navarro que están sufriendo por el desborde del arroyo El Cangrejo, que ya ha causado fallecimientos y familias damnificadas.

En estos momentos, la fuerza y solidaridad de los jaliscienses hará la diferencia.",3,6,47,1000
"Hoy quiero felicitar por motivo de su cumpleaños a @adan_augusto
, amigo y compañero de lucha, Desde los inicios en 
@PartidoMorenaMx
, su compromiso y trabajo han sido piezas fundamentales para transformar a México. 

Enhorabuena y que vengan muchos años más, llenos de éxito y triunfos.",8,8,48,2000
