"css-901oao","css-4rbku5 href","css-9pa8cd src","css-901oao 2","css-901oao 3","css-901oao 4","css-4rbku5 href 4","css-4rbku5","css-901oao 5","css-4rbku5 href 5","r-1p0dtai src","css-901oao 7","css-901oao 8","css-901oao 9","css-4rbku5 href 6","css-901oao 10","css-4rbku5 href 7","css-9pa8cd src 2","css-4rbku5 href 8","css-9pa8cd src 3","css-4rbku5 href 9","css-9pa8cd src 4","css-4rbku5 href 10","css-9pa8cd src 5","css-901oao 12","css-901oao 13","css-4rbku5 4","css-4rbku5 href 11","css-4rbku5 href 12","css-901oao 18","css-901oao 19"
"Mostrar más","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1711419914605449537","9 oct.","Uno de los temas a tratar en nuestra","https://twitter.com/hashtag/ma%C3%B1aneraGDL?src=hashtag_click","","8","10","63","https://twitter.com/DrCarlosLomeli/status/1711419914605449537/analytics","1.589","https://twitter.com/DrCarlosLomeli/status/1711419914605449537/photo/1","https://pbs.twimg.com/media/F8AvVlEWUAUKpk8?format=jpg&name=small","","","","","","","",", es la denuncia de cómo el","@GuadalajaraGob","https://twitter.com/GuadalajaraGob","https://twitter.com/DrCarlosLomeli/status/1711419914605449537/media_tags","y 2 más","Mariana Fernández"
"","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1711415213914816738","9 oct.","Iniciamos nuestra tradicional conferencia de prensa, en este día nublado, tan nublado como la administración del gobierno municipal de Guadalajara.","","","21","16","87","https://twitter.com/DrCarlosLomeli/status/1711415213914816738/analytics","3.855","https://twitter.com/DrCarlosLomeli/status/1711415213914816738/photo/1","https://pbs.twimg.com/media/F8ArD9rWIAAUb-r?format=jpg&name=small","","","","","","","","","","","https://twitter.com/DrCarlosLomeli/status/1711415213914816738/media_tags","y 2 más","Mariana Fernández"
"","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1711199803345134011","8 oct.","Para cerrar la semana, es bueno recordar que el liderazgo se gana con amor y compromiso. Tengan un feliz domingo.","","","7","9","61","https://twitter.com/DrCarlosLomeli/status/1711199803345134011/analytics","1.793","","","","","","","","","","","","","","",""
"Morena","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1710845726287188106","7 oct.","Hoy tuvimos el honor de recibir a la Dra.","","","3","9","57","https://twitter.com/DrCarlosLomeli/status/1710845726287188106/analytics","1.100","https://twitter.com/DrCarlosLomeli/status/1710845726287188106/photo/1","https://pbs.twimg.com/media/F74lHQBW4AA18vG?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710845726287188106/photo/2","https://pbs.twimg.com/media/F74lHQFWEAAhCwL?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710845726287188106/photo/3","https://pbs.twimg.com/media/F74lHQCXsAAg8C-?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710845726287188106/photo/4","https://pbs.twimg.com/media/F74lHQBXcAADvVi?format=jpg&name=360x360","","en Jalisco. Su compromiso con la Cuarta Transformación nos llena de inspiración. 

¡Apoyamos su liderazgo como Coordinadora de Defensa de la 4T!","@Claudiashein","https://twitter.com/Claudiashein","https://twitter.com/DrCarlosLomeli/status/1710845726287188106/media_tags","y","Mario Delgado"
"","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1710814536758874314","7 oct.","Agradecido con todas sus muestras de cariño y sus palabras de aliento.","","","1","1","33","https://twitter.com/DrCarlosLomeli/status/1710814536758874314/analytics","418","https://twitter.com/DrCarlosLomeli/status/1710814536758874314/photo/1","https://pbs.twimg.com/media/F74Iv7XXAAEffQP?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710814536758874314/photo/2","https://pbs.twimg.com/media/F74Iv7TXYAAw2kY?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710814536758874314/photo/3","https://pbs.twimg.com/media/F74Iv7WXcAAhe1r?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710814536758874314/photo/4","https://pbs.twimg.com/media/F74Iv7WWQAA5oPq?format=jpg&name=360x360","","","","","","",""
"","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1710757445788684482","7 oct.","Saludando a una amiga de verdad, la primera mujer en ocupar la mas alta responsabilidad en México: la Dra.","","","4","15","77","https://twitter.com/DrCarlosLomeli/status/1710757445788684482/analytics","1.230","https://twitter.com/DrCarlosLomeli/status/1710757445788684482/photo/1","https://pbs.twimg.com/media/F73UU2CbMAAyzxf?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710757445788684482/photo/2","https://pbs.twimg.com/media/F73UU19aAAAd-xp?format=jpg&name=small","https://twitter.com/DrCarlosLomeli/status/1710757445788684482/photo/3","https://pbs.twimg.com/media/F73U1DxbIAAGtDZ?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710757445788684482/photo/4","https://pbs.twimg.com/media/F73U1DvbIAAvaBv?format=jpg&name=360x360","·","¡Ella es!","@Claudiashein","https://twitter.com/Claudiashein","","",""
"","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1710732575155822791","7 oct.","¡Bienvenida a Jalisco,","","blob:https://twitter.com/94ac7343-4772-4e6c-8c1e-7790735daeea","41","45","183","https://twitter.com/DrCarlosLomeli/status/1710732575155822791/analytics","7.893","","https://pbs.twimg.com/amplify_video_thumb/1710732522576072704/img/AhhY02V4Pk28Q4dk.jpg","","","","","","","","!","@Claudiashein","https://twitter.com/Claudiashein","","",""
"","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1710716625509380152","7 oct.","Hoy, mientras compartía con mi esposa e hijas, reflexionaba sobre cómo he tenido la bendición de conocer cada rincón de Jalisco y, en cada comunidad, he tenido al menos una amiga o amigo. ¡Qué hermoso regalo me ha dado Dios!","","","14","7","60","https://twitter.com/DrCarlosLomeli/status/1710716625509380152/analytics","2.412","","","","","","","","","","","","","","",""
"Mostrar más","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1710495741246832857","6 oct.","El día de hoy, tuve el gusto de compartir un momento muy especial con las y los vecinos de Tonalá, quienes me invitaron a conversar sobre mi deseo de coordinar los Comités de Defensa de la Cuarta Transformación en Jalisco. 

Todavía falta mucho por hacer en Jalisco. Sigamos…","","","3","6","46","https://twitter.com/DrCarlosLomeli/status/1710495741246832857/analytics","1.023","https://twitter.com/DrCarlosLomeli/status/1710495741246832857/photo/1","https://pbs.twimg.com/media/F7zmzwlXEAE7Pqy?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710495741246832857/photo/2","https://pbs.twimg.com/media/F7zmzwjWAAArOi1?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710495741246832857/photo/3","https://pbs.twimg.com/media/F7zmzwhXwAA6vtj?format=jpg&name=360x360","https://twitter.com/DrCarlosLomeli/status/1710495741246832857/photo/4","https://pbs.twimg.com/media/F7zmzwhWYAAlxEX?format=jpg&name=360x360","","","","","","",""
"Mostrar más","https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1710369476439429397","6 oct.","¿Cómo están? Cuando leo sus comentarios en las redes sociales y escucho a la gente en mis recorridos, no solo los comprendo, sino que también encuentro el camino para trabajar incansablemente por un futuro mejor para el estado. La vida me ha enseñado a tener el compromiso de…","","","4","5","49","https://twitter.com/DrCarlosLomeli/status/1710369476439429397/analytics","963","","","","","","","","","","","","","","",""
