words,count
chiapas,9
parati,4
hoy,4
mujeres,3
palenque,3
transformación,3
comparto,3
méxico,3
movimiento,2
tiempo,2
sasildeleon,2
corazón,2
mexicano,2
claudia,2
ustedes,2
siempre,2
día,2
gracias,2
república,2
visitamos,1
