,texto,tokens,emociones,sentimiento
67,no vas a ganar en todo caso chiapas no te quiere,"['no', 'vas', 'a', 'ganar', 'en', 'todo', 'caso', 'chiapas', 'no', 'te', 'quiere']","{'Felicidad': 71.80778384208679, 'Tristeza': 28.192216157913208}",-0.5267
68,considero que deberías de tener tantita dignidad si es que la conoces y no estar colgando tus lonitas con dinero que es de los chiapanecos estás haciendo mal uso de ese recurso chiapas no merece más pisoteos se fueron los malos y llegaron otros peores,"['considero', 'que', 'deberías', 'de', 'tener', 'tantita', 'dignidad', 'si', 'es', 'que', 'la', 'conoces', 'y', 'no', 'estar', 'colgando', 'tus', 'lonitas', 'con', 'dinero', 'que', 'es', 'de', 'los', 'chiapanecos', 'estás', 'haciendo', 'mal', 'uso', 'de', 'ese', 'recurso', 'chiapas', 'no', 'merece', 'más', 'pisoteos', 'se', 'fueron', 'los', 'malos', 'y', 'llegaron', 'otros', 'peores']","{'Felicidad': 43.83552670478821, 'Tristeza': 56.16447329521179}",-0.5267
69,saludos desde palenque chiapas senadora sasil de león próxima gobernadora de chiapas dios la bendiga,"['saludos', 'desde', 'palenque', 'chiapas', 'senadora', 'sasil', 'de', 'león', 'próxima', 'gobernadora', 'de', 'chiapas', 'dios', 'la', 'bendiga']","{'Felicidad': 48.70566129684448, 'Tristeza': 51.29433870315552}",0.0
70,lifestylelatinocom,"['lifestylelatino', 'com']","{'Felicidad': 60.230785608291626, 'Tristeza': 39.769211411476135}",0.0
71,no merecemos a este tipo de seres para la gubernatura,"['no', 'merecemos', 'a', 'este', 'tipo', 'de', 'seres', 'para', 'la', 'gubernatura']","{'Felicidad': 37.63689696788788, 'Tristeza': 62.36310005187988}",-0.296
72,"amigas y amigos de chiapas 

estamos muy contentos porque nos encontramos en la asamblea nacional de morena donde en unos momentos más la dra claudia sheinbaum tomará protesta como coordinadora de los comités de defensa de la cuarta transformación 

este es un momento histórico pues por primera vez una mujer encabezará este movimiento de transformación que iniciamos junto al presidente lópez obrador en el 2018 

en esta nueva etapa bajo el liderazgo de la dra sheinbaum es necesario continuar fortaleciendo los valores de nuestro movimiento así como mantener la unidad para que la transformación continúe y pueda llegar a todos los rincones del país 

es tiempo de unidad 
es tiempo de mujeres 

qué viva la cuarta transformación 
qué viva morena","['amigas', 'y', 'amigos', 'de', 'chiapas', 'estamos', 'muy', 'contentos', 'porque', 'nos', 'encontramos', 'en', 'la', 'asamblea', 'nacional', 'de', 'morena', 'donde', 'en', 'unos', 'momentos', 'más', 'la', 'dra', 'claudia', 'sheinbaum', 'tomará', 'protesta', 'como', 'coordinadora', 'de', 'los', 'comités', 'de', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'este', 'es', 'un', 'momento', 'histórico', 'pues', 'por', 'primera', 'vez', 'una', 'mujer', 'encabezará', 'este', 'movimiento', 'de', 'transformación', 'que', 'iniciamos', 'junto', 'al', 'presidente', 'lópez', 'obrador', 'en', 'el', '2018', 'en', 'esta', 'nueva', 'etapa', 'bajo', 'el', 'liderazgo', 'de', 'la', 'dra', 'sheinbaum', 'es', 'necesario', 'continuar', 'fortaleciendo', 'los', 'valores', 'de', 'nuestro', 'movimiento', 'así', 'como', 'mantener', 'la', 'unidad', 'para', 'que', 'la', 'transformación', 'continúe', 'y', 'pueda', 'llegar', 'a', 'todos', 'los', 'rincones', 'del', 'país', 'es', 'tiempo', 'de', 'unidad', 'es', 'tiempo', 'de', 'mujeres', 'qué', 'viva', 'la', 'cuarta', 'transformación', 'qué', 'viva', 'morena']","{'Felicidad': 52.552783489227295, 'Tristeza': 47.447219491004944}",0.0
73,saludos desde motozintla mi senadora,"['saludos', 'desde', 'motozintla', 'mi', 'senadora']","{'Felicidad': 47.0734179019928, 'Tristeza': 52.9265820980072}",0.0
74,saludos,['saludos'],"{'Felicidad': 58.408910036087036, 'Tristeza': 41.5910929441452}",0.0
75,usted senadora vestida asi  si siempre que viene a su amado chiapas no suelta la ropa artesanal que paso pues no que mucho amor a las raices indigenas,"['usted', 'senadora', 'vestida', 'asi', 'si', 'siempre', 'que', 'viene', 'a', 'su', 'amado', 'chiapas', 'no', 'suelta', 'la', 'ropa', 'artesanal', 'que', 'paso', 'pues', 'no', 'que', 'mucho', 'amor', 'a', 'las', 'raices', 'indigenas']","{'Felicidad': 59.00261402130127, 'Tristeza': 40.99738895893097}",0.1531
76,para de lenguetear,"['para', 'de', 'lenguetear']","{'Felicidad': 52.14437246322632, 'Tristeza': 47.85562753677368}",0.0
77,ojalá en las elecciones te manden alv arrastrada,"['ojalá', 'en', 'las', 'elecciones', 'te', 'manden', 'alv', 'arrastrada']","{'Felicidad': 46.28445208072662, 'Tristeza': 53.71554493904114}",0.0
78,traidores,['traidores'],"{'Felicidad': 59.78406071662903, 'Tristeza': 40.21594226360321}",0.0
79,xd,['xd'],"{'Felicidad': 38.82342875003815, 'Tristeza': 61.176568269729614}",0.5859
80,lifestylelatinocom,"['lifestylelatino', 'com']","{'Felicidad': 24.644720554351807, 'Tristeza': 75.35527348518372}",0.0
81,tu eres verde ,"['tu', 'eres', 'verde']","{'Felicidad': 51.66981220245361, 'Tristeza': 48.330190777778625}",0.0
82,desgraciada corrupta los chiapanecos te conocemos a ti y a tu familia,"['desgraciada', 'corrupta', 'los', 'chiapanecos', 'te', 'conocemos', 'a', 'ti', 'y', 'a', 'tu', 'familia']","{'Felicidad': 36.985188722610474, 'Tristeza': 63.014817237854004}",0.0
