,texto,tokens,emociones,sentimiento
23,no sasil tu no perteneces a ese proyecto tu te colgaste junto con lalo ramirez cuando vieron que todo apuntaba por ese lado y vieron el hartazgo del pueblo jugaron bien pero no estamos tan pendejos regresa al verde desde donde apedreaste este proyecto,"['no', 'sasil', 'tu', 'no', 'perteneces', 'a', 'ese', 'proyecto', 'tu', 'te', 'colgaste', 'junto', 'con', 'lalo', 'ramirez', 'cuando', 'vieron', 'que', 'todo', 'apuntaba', 'por', 'ese', 'lado', 'y', 'vieron', 'el', 'hartazgo', 'del', 'pueblo', 'jugaron', 'bien', 'pero', 'no', 'estamos', 'tan', 'pendejos', 'regresa', 'al', 'verde', 'desde', 'donde', 'apedreaste', 'este', 'proyecto']","{'Felicidad': 51.5533447265625, 'Tristeza': 48.4466552734375}",-0.6808
24,un parásito que ha vivido de la política usted no representa la transformación más que la de su propio bolsillo,"['un', 'parásito', 'que', 'ha', 'vivido', 'de', 'la', 'política', 'usted', 'no', 'representa', 'la', 'transformación', 'más', 'que', 'la', 'de', 'su', 'propio', 'bolsillo']","{'Felicidad': 58.313703536987305, 'Tristeza': 41.686299443244934}",0.0516
25,no gracias y aparte también fue complice del exgobernador corrupto ladron,"['no', 'gracias', 'y', 'aparte', 'también', 'fue', 'complice', 'del', 'ex', 'gobernador', 'corrupto', 'ladron']","{'Felicidad': 45.15054523944855, 'Tristeza': 54.849451780319214}",-0.296
26,,[],"{'Felicidad': 52.92375087738037, 'Tristeza': 47.07624614238739}",0.0
27,el pueblo d chiapas ha sufrido durante mucho tiempo las injusticias d anteriores gobiernos corruptos y abusivos pero con,"['el', 'pueblo', 'd', 'chiapas', 'ha', 'sufrido', 'durante', 'mucho', 'tiempo', 'las', 'injusticias', 'd', 'anteriores', 'gobiernos', 'corruptos', 'y', 'abusivos', 'pero', 'con']","{'Felicidad': 44.196900725364685, 'Tristeza': 55.803102254867554}",0.34
28,la corrupta quiere seguir robando pero a manos llenas algo que decir de los acontecimientos en chiapas señaladas directamente al gobernador o al presidente por la estrategia fallida inepta,"['la', 'corrupta', 'quiere', 'seguir', 'robando', 'pero', 'a', 'manos', 'llenas', 'algo', 'que', 'decir', 'de', 'los', 'acontecimientos', 'en', 'chiapas', 'señaladas', 'directamente', 'al', 'gobernador', 'o', 'al', 'presidente', 'por', 'la', 'estrategia', 'fallida', 'inepta']","{'Felicidad': 57.686543464660645, 'Tristeza': 42.313459515571594}",0.0
29,eres una basura,"['eres', 'una', 'basura']","{'Felicidad': 48.495492339134216, 'Tristeza': 51.504504680633545}",0.0
30,cita,['cita'],"{'Felicidad': 63.43762278556824, 'Tristeza': 36.56238317489624}",0.0
31,política supuestamente de izquierda con ideología de extrema derecha,"['política', 'supuestamente', 'de', 'izquierda', 'con', 'ideología', 'de', 'extrema', 'derecha']","{'Felicidad': 37.515220046043396, 'Tristeza': 62.48478293418884}",0.0
32,x no te vas en físico o en persona a la frontera con guatemala para q demuestre obrador q realmente su gobierno y su persona es la victima del conservadurismo y no el pueblo si sales viva ya me avisas,"['x', 'no', 'te', 'vas', 'en', 'físico', 'o', 'en', 'persona', 'a', 'la', 'frontera', 'con', 'guatemala', 'para', 'q', 'demuestre', 'obrador', 'q', 'realmente', 'su', 'gobierno', 'y', 'su', 'persona', 'es', 'la', 'victima', 'del', 'conservadurismo', 'y', 'no', 'el', 'pueblo', 'si', 'sales', 'viva', 'ya', 'me', 'avisas']","{'Felicidad': 32.820624113082886, 'Tristeza': 67.17937588691711}",-0.5267
33,darle continuidad al proceso de transformación del país o sea que el narco siga avanzando sin ningún problema,"['darle', 'continuidad', 'al', 'proceso', 'de', 'transformación', 'del', 'país', 'o', 'sea', 'que', 'el', 'narco', 'siga', 'avanzando', 'sin', 'ningún', 'problema']","{'Felicidad': 64.11327719688416, 'Tristeza': 35.886719822883606}",-0.5574
34,,[],"{'Felicidad': 42.03034043312073, 'Tristeza': 57.96965956687927}",0.0
35,cita,['cita'],"{'Felicidad': 53.32596302032471, 'Tristeza': 46.67403697967529}",0.0
36,"en chiapas la unidad seguirá haciendo historia

recibimos la visita de la dra claudia sheinbaum para celebrar la firma del acuerdo de unidad por la transformación el pueblo chiapaneco está de fiesta porque tenemos coordinadora nacional y será nuestra futura presidenta 

el tiempo de las mujeres se siente en chiapas y todo méxico","['en', 'chiapas', 'la', 'unidad', 'seguirá', 'haciendo', 'historia', 'recibimos', 'la', 'visita', 'de', 'la', 'dra', 'claudia', 'sheinbaum', 'para', 'celebrar', 'la', 'firma', 'del', 'acuerdo', 'de', 'unidad', 'por', 'la', 'transformación', 'el', 'pueblo', 'chiapaneco', 'está', 'de', 'fiesta', 'porque', 'tenemos', 'coordinadora', 'nacional', 'y', 'será', 'nuestra', 'futura', 'presidenta', 'el', 'tiempo', 'de', 'las', 'mujeres', 'se', 'siente', 'en', 'chiapas', 'y', 'todo', 'méxico']","{'Felicidad': 57.906389236450195, 'Tristeza': 42.093610763549805}",0.4767
37,hay mucho trabajo por hacer es bueno buscar la unidad es tiempo de buenos cambios ,"['hay', 'mucho', 'trabajo', 'por', 'hacer', 'es', 'bueno', 'buscar', 'la', 'unidad', 'es', 'tiempo', 'de', 'buenos', 'cambios']","{'Felicidad': 57.39771127700806, 'Tristeza': 42.602285742759705}",0.0
38,es tiempo de las mujeres,"['es', 'tiempo', 'de', 'las', 'mujeres']","{'Felicidad': 53.20860743522644, 'Tristeza': 46.7913955450058}",0.0
39,lifestylelatinocom,"['lifestylelatino', 'com']","{'Felicidad': 42.04084277153015, 'Tristeza': 57.95915722846985}",0.0
40,seguimos avanzando,"['seguimos', 'avanzando']","{'Felicidad': 32.73206651210785, 'Tristeza': 67.26793646812439}",0.0
41,,[],"{'Felicidad': 46.31904661655426, 'Tristeza': 53.6809504032135}",0.0
42,también vendría bien una gobernadora,"['también', 'vendría', 'bien', 'una', 'gobernadora']","{'Felicidad': 49.75541532039642, 'Tristeza': 50.244587659835815}",0.0
43,,[],"{'Felicidad': 55.54832220077515, 'Tristeza': 44.45167779922485}",0.0
44,,[],"{'Felicidad': 53.770214319229126, 'Tristeza': 46.229782700538635}",0.0
45,mezcalapa está con usted senadora,"['mezcalapa', 'está', 'con', 'usted', 'senadora']","{'Felicidad': 58.539801836013794, 'Tristeza': 41.46019518375397}",0.0
46,es de puebla,"['es', 'de', 'puebla']","{'Felicidad': 43.71630549430847, 'Tristeza': 56.28369450569153}",0.0
