,texto,tokens,sentimiento
474,les comparto un fragmento de mi participación en la presentación del libro desigualdades por qué nos beneficia un país más igualitario del dr,"['les', 'comparto', 'un', 'fragmento', 'de', 'mi', 'participación', 'en', 'la', 'presentación', 'del', 'libro', 'desigualdades', 'por', 'qué', 'nos', 'beneficia', 'un', 'país', 'más', 'igualitario', 'del', 'dr']",0.0
475,,[],0.0
476,combatir las desigualdades en todas sus variantes nos permitirá reducir sus brechas y con ello generar las condiciones y políticas adecuadas para integrar a regiones históricamente relegadas como el sursureste,"['combatir', 'las', 'desigualdades', 'en', 'todas', 'sus', 'variantes', 'nos', 'permitirá', 'reducir', 'sus', 'brechas', 'y', 'con', 'ello', 'generar', 'las', 'condiciones', 'y', 'políticas', 'adecuadas', 'para', 'integrar', 'a', 'regiones', 'históricamente', 'relegadas', 'como', 'el', 'sur', 'sureste']",0.0
477,estuve presente en el primer foro regional políticas públicas ante la deforestación y la pérdida de biodiversidad en el sur del país donde se expusieron medidas sobre el cambio climático y la importancia de generar conciencia sobre esta problemática,"['estuve', 'presente', 'en', 'el', 'primer', 'foro', 'regional', 'políticas', 'públicas', 'ante', 'la', 'deforestación', 'y', 'la', 'pérdida', 'de', 'biodiversidad', 'en', 'el', 'sur', 'del', 'país', 'donde', 'se', 'expusieron', 'medidas', 'sobre', 'el', 'cambio', 'climático', 'y', 'la', 'importancia', 'de', 'generar', 'conciencia', 'sobre', 'esta', 'problemática']",0.0
478,les invito a escuchar la entrevista que me realizarán en diario,"['les', 'invito', 'a', 'escuchar', 'la', 'entrevista', 'que', 'me', 'realizarán', 'en', 'diario']",0.0
479,"nos encontramos en el primer foro regional la academia y el senado en acción contra el cambio climático 

aquí pueden seguirlo","['nos', 'encontramos', 'en', 'el', 'primer', 'foro', 'regional', 'la', 'academia', 'y', 'el', 'senado', 'en', 'acción', 'contra', 'el', 'cambio', 'climático', 'aquí', 'pueden', 'seguirlo']",0.0
480,la semana pasada entregamos la medalla belisario domínguez 2020 al personal de salud les comparto un fragmento de mi participación en el pleno del,"['la', 'semana', 'pasada', 'entregamos', 'la', 'medalla', 'belisario', 'domínguez', '2020', 'al', 'personal', 'de', 'salud', 'les', 'comparto', 'un', 'fragmento', 'de', 'mi', 'participación', 'en', 'el', 'pleno', 'del']",0.0
481,con más puntos de conexión a internet  se busca garantizar el derecho al acceso a la información en todo el estado de chiapas,"['con', 'más', 'puntos', 'de', 'conexión', 'a', 'internet', 'se', 'busca', 'garantizar', 'el', 'derecho', 'al', 'acceso', 'a', 'la', 'información', 'en', 'todo', 'el', 'estado', 'de', 'chiapas']",0.0
482,pero de 1810 se promulga el decreto de miguel hidalgo sobre la abolición de la esclavitud,"['pero', 'de', '1810', 'se', 'promulga', 'el', 'decreto', 'de', 'miguel', 'hidalgo', 'sobre', 'la', 'abolición', 'de', 'la', 'esclavitud']",0.0
483,durante mi participación en el pleno del senado para la entrega de la medalla,"['durante', 'mi', 'participación', 'en', 'el', 'pleno', 'del', 'senado', 'para', 'la', 'entrega', 'de', 'la', 'medalla']",0.0
484,durante sesión solemne en el senado de la república hicimos la entrega de la medalla,"['durante', 'sesión', 'solemne', 'en', 'el', 'senado', 'de', 'la', 'república', 'hicimos', 'la', 'entrega', 'de', 'la', 'medalla']",0.0
485,celebramos el día mundial de la protección de la naturaleza con el fin de recordar lo importante que es preservar nuestros entornos naturales que nos brindan los recursos necesarios para coexistir con todas las formas de vida en el mundo,"['celebramos', 'el', 'día', 'mundial', 'de', 'la', 'protección', 'de', 'la', 'naturaleza', 'con', 'el', 'fin', 'de', 'recordar', 'lo', 'importante', 'que', 'es', 'preservar', 'nuestros', 'entornos', 'naturales', 'que', 'nos', 'brindan', 'los', 'recursos', 'necesarios', 'para', 'coexistir', 'con', 'todas', 'las', 'formas', 'de', 'vida', 'en', 'el', 'mundo']",0.0
486,hoy entregaremos la medalla belisario domínguez en el,"['hoy', 'entregaremos', 'la', 'medalla', 'belisario', 'domínguez', 'en', 'el']",0.0
