CASILLA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PT-MORENA,"VOTOS
 NULOS",CANDIDATOS NO REGISTRADOS
1332 BASICA 1,184,8,1,4,6,9,174,1,4,2,0,11,0
1332 CONTIGUA 1,212,11,4,1,6,10,150,7,4,1,2,10,0
1333 BASICA 1,186,6,0,6,5,8,146,6,7,2,7,3,0
1333 CONTIGUA 1,193,6,1,5,4,11,144,7,5,0,6,9,1
1333 CONTIGUA 2,176,7,0,4,3,10,147,3,4,1,0,7,0
1334 BASICA 1,158,7,0,2,5,5,179,3,11,4,1,6,0
1334 CONTIGUA 1,178,5,2,3,5,4,165,4,5,1,2,6,0
1334 CONTIGUA 2,137,5,1,5,5,4,178,4,2,3,0,12,0
1335 BASICA 1,150,6,4,2,8,7,137,9,4,5,3,4,0
1335 CONTIGUA 1,144,14,3,0,4,2,150,2,2,1,4,8,0
1336 BASICA 1,139,8,1,4,7,5,137,8,6,1,0,5,0
1336 CONTIGUA 1,161,5,2,4,6,7,140,6,4,3,1,5,0
1336 CONTIGUA 2,143,8,1,1,3,6,153,1,4,2,0,5,0
1336 CONTIGUA 3,168,5,1,0,12,9,132,4,3,3,0,8,0
1337 BASICA 1,151,3,3,3,4,12,137,12,6,1,1,10,0
1337 CONTIGUA 1,161,7,3,1,4,9,169,4,1,1,0,5,0
1337 CONTIGUA 2,153,1,3,0,4,6,146,9,5,1,3,3,1
1338 BASICA 1,130,4,1,2,2,9,128,5,6,2,3,6,0
1338 CONTIGUA 1,110,8,3,1,9,7,127,7,9,1,0,6,0
1338 CONTIGUA 2,102,3,3,1,7,11,143,12,4,3,4,4,1
1339 BASICA 1,134,18,1,1,3,5,154,11,6,1,1,9,0
1339 CONTIGUA 1,151,13,1,1,6,7,131,5,5,1,2,9,0
1340 BASICA 1,148,9,2,2,4,6,148,5,3,5,2,10,0
1340 CONTIGUA 1,123,5,1,2,9,11,157,3,1,1,0,4,0
1340 CONTIGUA 2,139,10,3,2,5,8,157,6,4,3,0,5,0
1341 BASICA 1,175,4,4,3,11,7,145,5,9,3,1,2,0
1341 CONTIGUA 1,189,3,2,3,3,9,160,6,5,1,0,5,0
1342 BASICA 1,184,7,4,5,2,11,140,3,1,2,0,2,0
1342 CONTIGUA 1,178,5,1,2,4,12,149,4,5,2,0,8,0
1343 BASICA 1,120,6,3,0,1,6,104,2,1,2,0,4,0
1343 CONTIGUA 1,117,1,0,1,3,3,106,1,3,1,1,0,0
1344 BASICA 1,171,4,1,3,3,8,135,3,5,0,2,6,0
1344 CONTIGUA 1,188,5,2,1,5,3,124,5,10,0,1,1,4
1344 CONTIGUA 2,165,2,2,1,6,8,147,3,7,0,0,12,2
1345 BASICA 1,174,7,3,3,7,12,137,2,14,2,5,9,2
1345 CONTIGUA 1,173,7,2,2,15,7,153,4,8,0,1,7,4
1345 CONTIGUA 2,155,10,0,2,6,3,150,4,5,1,1,3,5
1346 BASICA 1,196,5,2,0,3,9,108,5,6,4,0,3,0
1346 CONTIGUA 1,189,6,0,1,20,3,132,2,5,2,0,5,0
1347 BASICA 1,187,8,0,2,2,9,128,5,6,5,4,5,0
1347 CONTIGUA 1,191,7,3,6,4,7,133,2,3,2,4,6,1
1347 CONTIGUA 2,166,7,2,3,1,7,149,5,8,3,2,3,0
1347 CONTIGUA 3,161,8,5,1,3,8,145,5,7,2,2,7,1
1347 CONTIGUA 4,182,6,3,0,4,10,130,6,6,2,0,8,0
1347 CONTIGUA 5,166,8,1,3,6,9,137,5,8,2,2,6,1
1348 BASICA 1,166,6,3,3,4,3,141,8,10,7,0,4,0
1348 CONTIGUA 1,160,10,2,4,4,12,139,8,1,3,1,5,0
1348 CONTIGUA 2,136,4,4,3,4,7,129,4,6,3,2,6,1
1349 BASICA 1,179,11,2,5,4,1,111,4,12,0,1,4,0
1349 CONTIGUA 1,155,8,1,2,9,7,111,3,7,4,1,12,0
1349 CONTIGUA 2,163,10,3,2,4,3,118,3,1,5,2,9,2
1350 BASICA 1,167,11,2,6,6,9,161,0,10,3,1,6,0
1350 CONTIGUA 1,187,18,0,3,7,13,155,4,6,1,1,1,0
1350 CONTIGUA 2,207,13,0,4,6,16,151,3,15,2,0,1,0
1350 CONTIGUA 3,177,6,2,4,9,10,180,4,12,3,5,4,0
1350 CONTIGUA 4,181,9,0,3,6,12,154,4,4,1,2,5,0
1351 BASICA 1,190,11,1,1,2,7,100,4,7,2,0,4,0
1351 CONTIGUA 1,177,12,1,3,5,4,88,2,7,0,2,4,0
1351 CONTIGUA 2,192,7,3,1,8,6,105,0,8,3,0,3,0
1351 ESPECIAL 1,32,1,0,1,1,2,13,0,1,0,0,0,0
1351 EXTRAORDINARIA 1,127,6,1,1,5,4,83,1,1,2,0,3,0
1351 EXTRAORDINARIA 1 C1,132,1,0,2,3,5,72,2,5,1,0,4,0
1352 BASICA 1,158,6,1,1,8,7,181,3,6,0,4,7,1
1352 CONTIGUA 1,179,11,2,1,12,9,186,8,6,2,2,9,0
1353 BASICA 1,148,8,1,3,7,10,121,1,3,1,2,8,2
1353 CONTIGUA 1,122,6,2,4,7,8,133,3,3,3,3,6,1
1354 BASICA 1,152,10,2,3,8,10,155,3,1,8,2,5,0
1354 CONTIGUA 1,186,5,2,3,8,0,155,4,7,1,1,3,0
1354 CONTIGUA 2,144,6,3,5,6,6,136,3,7,3,1,3,0
1355 BASICA 1,161,5,0,2,7,11,113,2,2,2,4,7,0
1355 CONTIGUA 1,137,3,1,2,10,6,129,3,3,0,1,7,2
1356 BASICA 1,186,5,1,0,9,6,153,10,1,0,7,8,0
1356 CONTIGUA 1,196,4,1,2,4,5,164,6,3,4,3,3,0
1358 BASICA 1,157,6,2,1,4,6,150,5,7,0,4,9,1
1358 CONTIGUA 1,199,9,1,3,6,6,136,5,7,2,5,6,0
1358 CONTIGUA 2,157,5,0,1,0,7,157,1,10,1,2,7,7
1358 CONTIGUA 3,189,7,2,4,17,7,138,2,15,0,7,9,3
1359 BASICA 1,209,10,4,5,1,5,98,1,12,1,1,5,0
1359 CONTIGUA 1,199,5,2,2,3,5,128,1,19,1,3,5,0
1359 CONTIGUA 2,208,2,3,5,5,5,123,5,22,1,2,8,1
1359 CONTIGUA 3,200,8,1,2,9,4,114,6,18,0,1,2,0
1359 CONTIGUA 4,204,7,1,3,5,5,124,3,24,0,3,5,0
1359 CONTIGUA 5,198,7,2,1,7,6,107,2,15,1,1,2,0
1359 CONTIGUA 6,196,7,1,3,3,5,127,5,18,3,0,7,0
1359 CONTIGUA 7,200,4,1,0,7,6,141,3,19,3,2,5,0
1359 CONTIGUA 8,200,5,3,4,6,5,130,1,17,1,0,3,3
1359 CONTIGUA 9,225,6,2,1,3,7,110,2,11,2,1,4,0
1360 BASICA 1,229,10,3,6,6,7,122,5,19,6,1,7,0
1360 CONTIGUA 1,258,8,0,3,10,12,144,2,29,3,7,7,1
1360 CONTIGUA 2,203,6,0,3,10,6,143,7,11,5,3,6,3
1360 CONTIGUA 3,235,3,1,0,6,6,126,7,17,2,4,8,1
1360 CONTIGUA 4,229,9,0,6,1,9,113,1,21,2,3,12,0
1361 BASICA 1,152,4,4,2,8,12,104,4,13,3,5,1,0
1361 CONTIGUA 1,152,3,2,1,2,4,133,4,12,0,2,4,0
1362 BASICA 1,195,8,4,4,8,9,128,3,12,1,2,7,0
1362 CONTIGUA 1,188,9,1,2,10,11,130,0,11,2,2,6,
1362 CONTIGUA 2,211,7,2,5,9,18,112,5,11,3,2,3,0
1362 CONTIGUA 3,210,9,1,3,6,25,139,0,5,3,4,3,0
1363 BASICA 1,145,6,2,2,13,3,130,1,5,0,0,2,1
1363 CONTIGUA 1,144,12,2,2,2,7,117,2,15,0,4,4,0
1364 BASICA 1,139,9,1,1,2,2,112,2,24,0,0,5,0
1364 CONTIGUA 1,147,3,7,2,5,2,117,3,31,3,1,1,0
1365 BASICA 1,128,2,0,3,7,2,95,4,27,2,0,3,0
1365 CONTIGUA 1,135,11,0,1,7,5,92,4,19,1,2,5,0
1365 CONTIGUA 2,113,8,0,1,5,5,106,3,30,0,0,5,1
1366 BASICA 1,145,4,1,7,0,6,118,3,19,1,0,7,0
1366 CONTIGUA 1,145,5,4,2,3,2,106,2,20,0,1,10,0
1367 BASICA 1,179,8,0,6,5,4,142,3,10,1,3,3,0
1367 CONTIGUA 1,188,9,0,3,2,4,148,3,21,2,0,4,0
1368 BASICA 1,182,8,1,9,5,11,124,8,8,3,0,3,0
1368 CONTIGUA 1,169,6,1,10,7,9,162,4,14,4,1,5,0
1369 BASICA 1,150,3,3,7,1,5,99,4,3,2,3,3,0
1369 CONTIGUA 1,125,7,0,4,5,10,117,2,4,1,0,3,0
1370 BASICA 1,148,8,3,4,2,4,97,1,15,2,4,4,1
1370 CONTIGUA 1,142,3,5,5,1,1,99,2,10,2,0,5,0
1371 BASICA 1,151,6,2,2,7,9,142,3,27,4,0,5,0
1371 CONTIGUA 1,142,5,0,2,7,10,160,0,32,0,1,6,1
1372 BASICA 1,157,9,2,1,3,7,131,3,10,1,0,4,0
1372 CONTIGUA 1,161,12,5,5,2,10,115,3,9,1,0,11,0
1373 BASICA 1,160,10,1,4,4,7,116,3,4,3,0,3,0
1374 BASICA 1,131,7,1,5,11,7,135,4,7,1,3,5,0
1375 BASICA 1,179,7,0,1,3,7,151,7,9,1,4,10,0
1376 BASICA 1,396,13,0,1,2,5,56,0,3,0,0,1,0
1376 CONTIGUA 1,378,9,1,0,3,4,71,1,4,0,1,2,0
1376 CONTIGUA 2,395,14,0,1,3,1,59,0,1,0,0,2,0
1377 BASICA 1,166,9,4,1,4,8,106,5,3,2,3,4,1
1377 CONTIGUA 1,162,4,3,0,0,4,4,108,3,7,1,3,4
1377 CONTIGUA 2,154,7,1,4,1,6,103,5,4,2,1,3,0
1378 BASICA 1,196,12,2,3,2,13,117,5,3,7,0,5,0
1378 CONTIGUA 1,201,10,2,13,5,1,133,4,3,1,1,3,0
1378 CONTIGUA 2,187,8,3,2,8,5,134,2,3,5,6,5,0
1379 BASICA 1,165,2,0,1,6,4,163,2,32,1,3,5,0
1379 CONTIGUA 1,155,0,0,4,2,2,141,2,23,1,0,2,0
1380 BASICA 1,189,4,0,1,4,7,122,3,39,1,1,0,0
1380 CONTIGUA 1,171,7,1,0,3,7,155,0,48,0,0,7,0
1380 CONTIGUA 2,193,3,1,3,4,9,120,1,37,0,2,7,0
1380 CONTIGUA 3,177,3,2,4,5,2,144,2,34,1,1,10,0
1380 CONTIGUA 4,176,4,2,3,9,10,133,4,43,1,0,13,0
1381 BASICA 1,184,6,1,3,4,3,97,0,15,1,2,2,0
1381 CONTIGUA 1,197,4,2,2,7,1,88,0,9,1,3,3,0
1382 BASICA 1,207,97,0,2,1,9,2,105,2,10,0,8,0
1382 CONTIGUA 1,113,7,0,9,5,5,92,3,4,0,0,0,0
1383 BASICA 1,117,2,1,2,5,5,104,2,5,1,1,2,0
1383 CONTIGUA 1,118,4,1,1,3,4,125,4,12,1,3,6,0
1384 BASICA 1,116,5,1,2,5,6,89,2,10,0,3,0,1
1384 CONTIGUA 1,112,4,1,2,5,6,100,4,4,0,2,6,0
1385 BASICA 1,201,9,0,0,9,12,113,1,11,0,3,6,1
1385 CONTIGUA 1,178,8,3,3,3,9,138,3,10,0,4,6,1
1386 BASICA 1,162,9,1,2,6,3,116,3,4,2,0,5,1
1386 CONTIGUA 1,134,7,0,4,6,4,124,3,5,1,4,6,1
1387 BASICA 1,343,12,2,4,4,1,77,0,3,1,0,2,1
1387 CONTIGUA 1,334,14,2,2,5,3,52,2,6,0,1,7,0
