CASILLA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PT-MORENA,"VOTOS
 NULOS",CANDIDATOS NO REGISTRADOS
1444 BASICA 1,161,7,3,4,7,5,127,1,6,0,0,9,1
1444 CONTIGUA 1,163,6,3,3,4,10,122,3,4,1,2,2,0
1445 BASICA 1,125,6,0,1,4,4,91,3,1,4,5,4,1
1445 CONTIGUA 1,122,6,0,1,3,10,99,2,1,1,0,4,1
1446 BASICA 1,122,4,5,3,8,4,94,3,2,0,0,2,0
1446 CONTIGUA 1,140,12,7,4,2,1,79,2,1,0,2,0,1
1447 BASICA 1,145,6,1,2,2,4,125,4,4,2,5,7,0
1447 CONTIGUA 1,139,4,1,3,4,6,110,1,1,1,0,6,0
1448 BASICA 1,153,10,8,6,3,9,115,0,3,3,1,4,1
1449 BASICA 1,218,14,5,1,5,5,152,2,2,1,4,1,0
1449 CONTIGUA 1,252,6,2,2,5,6,139,1,1,2,4,6,0
1450 BASICA 1,187,2,2,0,3,1,163,5,1,0,4,5,0
1450 CONTIGUA 1,183,1,1,2,7,4,164,6,2,3,4,8,0
1451 BASICA 1,131,0,4,1,10,9,157,2,2,1,2,3,1
1451 CONTIGUA 1,143,1,2,0,5,9,133,1,1,1,3,1,0
1451 CONTIGUA 2,137,2,1,0,7,8,159,0,2,1,3,4,0
1452 BASICA 1,189,5,0,7,7,7,159,0,2,0,3,10,0
1452 CONTIGUA 1,198,5,3,16,19,1,166,1,5,1,4,4,0
1453 BASICA 1,143,0,5,1,2,3,100,2,3,1,2,5,0
1453 CONTIGUA 1,151,4,2,5,4,5,117,2,1,1,1,8,0
1453 CONTIGUA 2,144,3,2,2,7,6,119,3,0,1,2,1,1
1454 BASICA 1,102,7,1,1,4,1,94,0,3,5,2,5,1
1454 CONTIGUA 1,102,7,2,2,6,5,95,2,5,2,3,5,1
1455 BASICA 1,127,4,3,0,7,4,70,4,1,1,0,7,0
1455 CONTIGUA 1,120,2,1,0,2,3,81,4,0,0,1,4,0
1456 BASICA 1,122,9,3,4,5,5,94,6,6,1,0,4,0
1456 CONTIGUA 1,127,12,4,0,8,1,96,2,4,0,3,7,0
1457 BASICA 1,103,5,0,0,4,6,103,12,3,1,0,1,0
1457 CONTIGUA 1,112,1,0,0,2,1,99,2,1,0,2,1,0
1458 BASICA 1,153,2,1,3,2,4,93,3,4,0,2,4,0
1458 CONTIGUA 1,142,5,1,2,2,2,95,1,1,0,4,2,0
1459 BASICA 1,144,6,1,4,4,2,92,6,2,0,3,2,0
1459 CONTIGUA 1,133,3,2,2,2,8,105,4,4,1,0,4,0
1460 BASICA 1,134,6,1,2,7,8,137,3,2,0,0,9,1
1460 CONTIGUA 1,121,7,4,5,5,6,138,3,2,1,4,4,0
1461 BASICA 1,140,3,2,6,10,4,101,6,4,1,0,5,1
1461 CONTIGUA 1,159,9,2,4,5,4,110,4,2,0,4,6,1
1462 BASICA 1,148,7,1,3,7,3,121,2,2,3,0,5,0
1462 CONTIGUA 1,151,4,0,1,3,3,136,2,3,1,1,6,0
1463 BASICA 1,145,9,1,3,2,5,154,3,5,0,4,2,0
1463 CONTIGUA 1,190,7,0,2,9,2,144,1,4,1,3,1,0
1464 BASICA 1,159,6,1,4,6,5,125,1,2,3,6,3,0
1464 CONTIGUA 1,143,2,2,2,3,1,131,3,2,2,4,6,0
1465 BASICA 1,144,5,1,2,4,4,87,0,1,1,2,3,0
1465 CONTIGUA 1,152,6,0,3,4,3,86,0,3,0,1,5,1
1466 BASICA 1,149,7,0,1,4,5,144,2,2,1,0,6,0
1466 CONTIGUA 1,143,7,1,3,4,2,129,6,0,1,0,7,0
1467 BASICA 1,118,1,1,3,8,6,128,4,1,1,0,7,0
1468 BASICA 1,172,8,1,2,6,7,118,0,2,1,1,8,1
1469 BASICA 1,111,5,5,4,1,16,110,0,4,3,1,1,0
1469 ESPECIAL 1,49,2,0,0,2,5,59,3,2,1,0,4,0
1470 BASICA 1,124,3,1,2,4,5,90,3,2,0,3,2,0
1471 BASICA 1,169,9,0,1,3,6,161,1,4,0,4,2,0
1471 CONTIGUA 1,167,9,4,3,5,2,139,4,3,2,2,4,0
1472 BASICA 1,110,1,0,2,5,4,85,3,1,1,0,4,0
1472 CONTIGUA 1,102,1,2,3,1,3,90,1,2,0,3,4,0
1473 BASICA 1,216,11,2,1,8,9,152,2,1,3,1,9,0
1473 CONTIGUA 1,188,6,2,0,8,4,165,4,1,5,0,3,0
1474 BASICA 1,100,4,1,2,10,7,90,2,0,1,1,5,0
1474 CONTIGUA 1,117,3,2,1,6,5,90,3,2,1,0,3,0
1475 BASICA 1,104,5,0,0,1,3,86,3,2,1,0,4,0
1475 CONTIGUA 1,103,4,0,3,5,3,95,1,3,2,0,6,0
1476 BASICA 1,82,2,0,1,2,1,51,6,0,2,0,8,0
1477 BASICA 1,143,2,2,2,4,2,92,0,2,1,2,11,0
1477 CONTIGUA 1,131,3,1,1,4,7,106,3,0,2,2,8,1
1477 CONTIGUA 2,138,6,1,3,13,7,98,0,2,0,4,5,0
1478 BASICA 1,174,4,1,0,7,6,197,1,2,0,1,7,5
1479 BASICA 1,150,2,2,0,4,5,127,1,1,1,1,5,3
1479 CONTIGUA 1,159,3,1,3,8,4,108,0,1,1,0,3,0
1480 BASICA 1,102,2,1,0,5,1,65,4,1,0,1,2,0
1480 CONTIGUA 1,117,4,1,0,2,5,76,1,3,0,2,3,0
1481 BASICA 1,109,3,4,2,4,5,88,1,4,1,0,4,0
1481 CONTIGUA 1,102,8,0,3,2,6,75,1,3,2,0,3,0
1482 BASICA 1,210,3,0,2,9,4,117,5,4,2,1,5,0
1483 BASICA 1,105,1,0,2,5,2,78,0,3,1,0,4,0
1483 CONTIGUA 1,79,2,2,1,9,5,82,0,4,0,3,5,0
1484 BASICA 1,163,8,0,1,4,2,96,1,2,2,4,5,0
1485 BASICA 1,98,5,3,2,2,4,80,2,2,1,1,5,0
1486 BASICA 1,188,3,1,3,5,3,136,2,6,0,2,6,0
1487 BASICA 1,137,1,1,2,1,8,137,4,0,1,1,2,0
1487 CONTIGUA 1,161,4,0,2,1,4,105,1,2,0,2,6,0
1488 BASICA 1,180,5,2,3,7,9,168,5,3,1,3,6,0
1488 CONTIGUA 1,193,10,2,5,4,5,165,3,3,1,1,5,1
1489 BASICA 1,173,6,2,5,9,6,147,3,2,2,7,4,0
1490 BASICA 1,64,4,1,1,4,3,64,2,2,0,0,2,0
1491 BASICA 1,89,7,0,0,4,3,75,1,2,0,0,2,0
1492 BASICA 1,81,0,1,2,5,2,150,1,0,0,2,3,0
1493 BASICA 1,129,5,2,2,5,3,119,3,1,2,3,5,0
1494 BASICA 1,140,4,2,4,4,1,115,3,3,3,7,2,0
1495 BASICA 1,108,9,2,2,5,3,131,4,2,0,2,7,0
1496 BASICA 1,137,8,4,2,3,6,150,3,9,0,0,7,0
