,postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
178,89358,MX,"Las Torres, Independencia, Jardines de Champayán 1, Gladiolas, Miradores de la Presa, Tierra Alta, Luis Donaldo Colosio, Valle Escondido",Tamaulipas,28,Tampico,38,Tampico,10.0,22.3126625,-97.890675,1
179,89359,MX,Niños Héroes,Tamaulipas,28,Tampico,38,Tampico,10.0,22.3331,-97.8843,1
180,89360,MX,Lomas del Chairel,Tamaulipas,28,Tampico,38,Tampico,10.0,22.3331,-97.8843,1
181,89364,MX,"Hacienda del Rul, Jesús Elías Piña IV, V y VI, El Ojital, Loma Alta, El Charro",Tamaulipas,28,Tampico,38,Tampico,10.0,22.300400000000003,-97.8945,1
182,89364,MX,"Hacienda del Rul, Jesús Elías Piña IV, V y VI, El Ojital, Loma Alta, El Charro",Tamaulipas,28,Tampico,38,Tampico,10.0,22.300400000000003,-97.8945,1
183,89364,MX,"Hacienda del Rul, Jesús Elías Piña IV, V y VI, El Ojital, Loma Alta, El Charro",Tamaulipas,28,Tampico,38,Tampico,10.0,22.300400000000003,-97.8945,1
184,89364,MX,"Hacienda del Rul, Jesús Elías Piña IV, V y VI, El Ojital, Loma Alta, El Charro",Tamaulipas,28,Tampico,38,Tampico,10.0,22.300400000000003,-97.8945,1
185,89364,MX,"Hacienda del Rul, Jesús Elías Piña IV, V y VI, El Ojital, Loma Alta, El Charro",Tamaulipas,28,Tampico,38,Tampico,10.0,22.300400000000003,-97.8945,1
186,89365,MX,"Jesús Elías Piña I, II y III",Tamaulipas,28,Tampico,38,Tampico,10.0,22.3331,-97.8843,1
187,89366,MX,"Luis Echeverría Álvarez, Diamante",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
188,89366,MX,"Luis Echeverría Álvarez, Diamante",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
