"x1lliihq","x1lliihq 3","x1lliihq 4","x1lliihq 5","x1i10hfl href","x193iq5w","html-span","xpdipgo src","x1i10hfl","_aacl","_a9ze","_aaqe","x1i10hfl href 5","xpdipgo src 2","x1i10hfl 5","_aacl 2","x1i10hfl href 7","_a9ze 2","x193iq5w 2","x193iq5w 3","x1i10hfl href 8","xpdipgo src 3","x1i10hfl 6","_aacl 3","x1i10hfl href 11","_a9ze 3","x193iq5w 4","x193iq5w 5","x193iq5w 6","x1lliihq 6","x1i10hfl href 12","xpdipgo src 4","x1i10hfl 8","_aacl 4","x1i10hfl href 14","_a9ze 4","x193iq5w 7","x1lliihq 8","x1lliihq 9","x1i10hfl href 15","xpdipgo src 5","x1i10hfl 9","_aacl 5","x1i10hfl href 17","_a9ze 5","x193iq5w 8","x1lliihq 10","x1lliihq 11","x1i10hfl href 18","xpdipgo src 6","x1i10hfl 10","_aacl 6","x1i10hfl href 20","_a9ze 6","x193iq5w 9","x1lliihq 12","x1lliihq 13","x1i10hfl href 21","xpdipgo src 7","x1i10hfl 11","_aacl 7","x1i10hfl href 23","_a9ze 7","x1lliihq 14","x1lliihq 15","x193iq5w 14"
"","","","","https://www.instagram.com/p/CweTy1GBYyt/liked_by/","Me gusta","173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","Opciones del comentario","Me gusta","Opciones del comentario","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","En los últimos meses, he recorrido Chiapas con la firme creencia de que necesitamos un México donde las mujeres tengamos cabida en cada uno de los espacios donde nos desenvolvemos y en cada lugar que visito, mujeres y hombres coincidimos en que  🙌🏻✅ Por su capacidad de liderazgo y su visión con innovación y tecnología. ✅ Porque su estrategia de seguridad ha logrado que las mujeres tengamos calles donde caminemos libres y seguras.✅ Porque hoy las mujeres hemos sido escuchadas.✅ Porque los delitos en contra de las mujeres son perseguidos, no más mujeres violentadas en nuestro país, hoy las mujeres somos protegidas por las autoridades.✅ Porque con su experiencia en medio ambiente, le dio vida a la CDMX dotándola de nuevos espacios limpios, verdes y seguros.✅ Porque ha logrado la visibilidad de las mujeres logrando que hoy nuestros sueños de ser participativas en la vida pública, se hagan realidad.✅ Porque su pasión por la academia le ha dado el impulso para que nadie se quede trunco en sus estudios.✅ Porque en su equipo de trabajo existe la confianza en nosotras para desempeñar cargos donde la toma de decisiones se realicen con paridad.✅ Porque con su visión de movilidad y tecnología ha conectado de manera sustentable y práctica a la gran urbe de México. ✅ Porque el derecho a la salud ya no es un privilegio al que pocos tienen acceso, ahora las mujeres contamos con cuidados médicos y las decisiones sobre nuestro cuerpo, sólo nos pertenece a nosotras. Hoy cerramos esta primera etapa en la que liberamos de ataduras muchas costumbres donde no se nos tomaba en cuenta, y me mantengo firme en que la doctora  traerá grandes bondades al desarrollo de este país que tanto amamos y que como mexicanas y mexicanos luchamos por mejorar cada rincón, aportando un granito de arena desde el despertar de las conciencias. Por todo la anterior y más  👩🏻👧🏽👱🏻‍♀️👩🏻‍🦰👩🏻‍🦳👵🏽👩🏽‍🦱","4 sem","","https://www.instagram.com/montsedeleon/","https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/268423508_858502481486184_8100601170467051234_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=m-JNDJOlMSMAX_caMfA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAulx3P8ed-37bI1fDR21GerNEFJQHr4T_kN-iDFHwKsA&oe=6517B3D6&_nc_sid=f5838a","montsedeleon","🤩🤩🤩","https://www.instagram.com/p/CweTy1GBYyt/c/17941793552695453/","4 sem","1 Me gusta","Responder","https://www.instagram.com/gc_abogado/","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/350598854_3157507644549306_1322965118245170690_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=lt7ksawUBCkAX8m2aj7&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDxPw5woPObOcNQCO-6lYy54aUtwzUWdPoPEuH-nfEnFQ&oe=6517ACA0&_nc_sid=f5838a","gc_abogado","para que continúe la Transformación en nuestro País 🇲🇽","https://www.instagram.com/p/CweTy1GBYyt/c/18201797263261891/","4 sem","Responder","Responder","Ver traducción","Me gusta","https://www.instagram.com/ercktapa/","https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/332832546_584960713551915_5706386317029275369_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=XpHNnj3lZHUAX-WjtaW&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCYVK3OObkMkp69nZt9Cr9ElAd5RpVDAkfP6Q3nFYyMMQ&oe=6518C029&_nc_sid=f5838a","ercktapa","❤️❤️👏👏","https://www.instagram.com/p/CweTy1GBYyt/c/17928921812653660/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/indiramoguel/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/298171329_594447092274071_3213169999245799347_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=111&_nc_ohc=RbAHxX1RjcUAX84VwD0&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDElpSsauPOGdGg-ojPEGtyfGgBcHlppXzp5k1qqqAzPg&oe=651840EB&_nc_sid=f5838a","indiramoguel","👏👏👏👏","https://www.instagram.com/p/CweTy1GBYyt/c/18024497032618371/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/naomipeniche/","https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/345868102_1266952287361105_1213616043748969870_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=rg5vS0_KbtsAX-GpqiQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBBF4APbYuSyww2GizsPeVhzmcWDxIIT2hXTXN5OkRiIQ&oe=6517D421&_nc_sid=f5838a","naomipeniche","🙌","https://www.instagram.com/p/CweTy1GBYyt/c/18020704729655307/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/santiagoxchance/","https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/379940502_358516806520800_3019047365304356173_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=cASYaMIE_8cAX89qWsB&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDCbhP1FvBUpQzeOYTZFYcUPEZ8PQdSMoGQKmxHVYXQ2g&oe=65182FCC&_nc_sid=f5838a","santiagoxchance","🙌🙌❤️","https://www.instagram.com/p/CweTy1GBYyt/c/17996989403113778/","4 sem","Opciones del comentario","Me gusta","Ver traducción"
"","","","","https://www.instagram.com/p/CweTy1GBYyt/","","","","","","","27 de agosto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CweCMUjh1C4/liked_by/","Me gusta","262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","Opciones del comentario","Me gusta","Opciones del comentario","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","La oportunidad de seguir transformando a México ha llegado, esta vez con la visión de una mujer que con su pasión por México renovará las conciencias y cambiará la forma de hacer política en nuestro país, siempre con equidad, pero sobre todo amor al pueblo. ¡El futuro está con  !","4 sem","","https://www.instagram.com/montsedeleon/","https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/268423508_858502481486184_8100601170467051234_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=m-JNDJOlMSMAX_caMfA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAulx3P8ed-37bI1fDR21GerNEFJQHr4T_kN-iDFHwKsA&oe=6517B3D6&_nc_sid=f5838a","montsedeleon","¡Claudia presidenta!","https://www.instagram.com/p/CweCMUjh1C4/c/17977743110524810/","4 sem","Responder","Responder","https://www.instagram.com/fcozorrilla/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/340972086_533151925645504_3726444510877282174_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=a4dUdaCEwn8AX9zvItp&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAk2YJo4E_IYdiECz_zdTcKDef7OJU2bJDRBDSHh-hWKA&oe=6518BF59&_nc_sid=f5838a","fcozorrilla","🙌👏","https://www.instagram.com/p/CweCMUjh1C4/c/17983331621184027/","4 sem","Responder","Responder","Ver traducción","Me gusta","https://www.instagram.com/caro_calvoch/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/358194060_957138705567779_6641352891341926553_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=111&_nc_ohc=6b0E6lFF4dgAX-I0Ki4&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCnXUeumCRZGbnphMgWu0tl8CUTUs6JSS_dG5Cqr-qh6g&oe=65188B3F&_nc_sid=f5838a","caro_calvoch","👏👏 👏👏","https://www.instagram.com/p/CweCMUjh1C4/c/17944308284686619/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/diegommorenoo/","https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/197492532_944608109660091_1889414171348980869_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Bu_N6db5d70AX-EUh5U&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfD5baKQtSe00tLYlLpstdgqVuXCSO-jZoBeqd4o53qHDA&oe=6519381B&_nc_sid=f5838a","diegommorenoo","🙌🙌🙌🙌🙌","https://www.instagram.com/p/CweCMUjh1C4/c/18048291436484298/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/tony_ruiz24/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/339148852_604070694661745_4317232981110652431_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=105&_nc_ohc=WLsKymXOKxYAX_aGjst&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBnfUMglQ9ZYeV-Ol8GhPYduhO2E7UA1lthRCLmjPlggA&oe=651807C8&_nc_sid=f5838a","tony_ruiz24","👏👏👏👏👏👏","https://www.instagram.com/p/CweCMUjh1C4/c/18031036735568619/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/virydelavega/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/268407673_884640728912092_4632863363878622722_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=zdmr0U_Ans4AX-3J2Iq&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDLYKAekT0vcgzSVhtc-_Y0l7eKQBw1ayGGad7y3KyaDQ&oe=65177C75&_nc_sid=f5838a","virydelavega","Es tiempo de mujeres..👏👏","https://www.instagram.com/p/CweCMUjh1C4/c/18377175694053594/","4 sem","Opciones del comentario","Me gusta","Ver traducción"
"","","","","https://www.instagram.com/p/CweCMUjh1C4/","","","","","","","27 de agosto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/Cwd7ue4uH1O/liked_by/","Me gusta","114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","Opciones del comentario","Me gusta","Opciones del comentario","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","Gracias Jiquipilas, cerramos con fuerza y alegría las asambleas informativas de la Dra.  ¡Nos vemos muy pronto! 🙌🏻.","4 sem","","https://www.instagram.com/tomcruz_alvarez/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/366154520_1286627068885462_433482899113191626_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=110&_nc_ohc=2aVsnHkhJgsAX9WGIsP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDoOJt5n9Seu8QLWaphsw1BCXsjd_3hLLGW_ZkEms9Smw&oe=6518DCD0&_nc_sid=f5838a","tomcruz_alvarez","❤️👏","https://www.instagram.com/p/Cwd7ue4uH1O/c/18187977241302361/","4 sem","Responder","Responder","https://www.instagram.com/aleerinkoon/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/365056159_111160945381924_6100201561552367794_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=PoElYvMiGzsAX8ZThY0&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfD6uh-jzTQ_Txl-ZjyY4r0hXA-a2ZK5SKnsZImYIE3HEw&oe=65181CFB&_nc_sid=f5838a","aleerinkoon","👏👏👏","https://www.instagram.com/p/Cwd7ue4uH1O/c/17920001882780310/","4 sem","Responder","Responder","","Me gusta","https://www.instagram.com/fcozorrilla/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/340972086_533151925645504_3726444510877282174_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=a4dUdaCEwn8AX9zvItp&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAk2YJo4E_IYdiECz_zdTcKDef7OJU2bJDRBDSHh-hWKA&oe=6518BF59&_nc_sid=f5838a","fcozorrilla","🙌👏","https://www.instagram.com/p/Cwd7ue4uH1O/c/18380497027028495/","4 sem","","Opciones del comentario","Me gusta","https://www.instagram.com/montsedeleon/","https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/268423508_858502481486184_8100601170467051234_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=m-JNDJOlMSMAX_caMfA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAulx3P8ed-37bI1fDR21GerNEFJQHr4T_kN-iDFHwKsA&oe=6517B3D6&_nc_sid=f5838a","montsedeleon","😍😍😍😍","https://www.instagram.com/p/Cwd7ue4uH1O/c/17974704782325446/","4 sem","","Opciones del comentario","Me gusta","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/Cwd7ue4uH1O/","","","","","","","27 de agosto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CwdGF4Uuuqt/liked_by/","Me gusta","206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","Opciones del comentario","Me gusta","","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","¡En La Garza, la buena vibra y las ganas de que siga nuestra querida Dra.  son muchas!¡Gracias por acompañarnos! 😊","4 sem","","https://www.instagram.com/soymirreybro/","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/318458882_116224574501714_6473161351218957422_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=1&_nc_ohc=suf3aWgSC1wAX_52m1E&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCBT_pid8ojqXKCrJiiGlJrlFJZxcA7cV1trDUwErygiw&oe=6517CCD2&_nc_sid=f5838a","soymirreybro","👏👏👏👏","https://www.instagram.com/p/CwdGF4Uuuqt/c/18017194681697287/","4 sem","Responder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CwdGF4Uuuqt/","","","","","","","27 de agosto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CwbpoDGOZGe/liked_by/","Me gusta","203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","Opciones del comentario","Me gusta","Opciones del comentario","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","Fue un honor acompañar a la Dra.  en su último acto como aspirante a coordinar los comités de defensa de la Cuarta Transformación. Es una mujer a quien admiro profundamente por su capacidad, liderazgo y sobre todo, lealtad a México. Me siento afortunada de apoyar su proyecto y la esperanza que representa. Estamos ante la oportunidad de cambiar la historia y la dra. Sheinbaum está preparada para llevar esa enorme responsabilidad en sus hombros. No está sola, soy parte de las cientos de miles de personas que creemos en ella porque sabemos de su pasión, preparación y profundo amor por nuestro país; siempre luchando por reducir la brecha de desigualdad y construir un México más justo para quienes aquí vivimos. Llegó la hora: es tiempo de mujeres, es tiempo de México.","4 sem","","https://www.instagram.com/fanydeleon/","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/377318749_2004664643266137_2631627180692928552_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=BTqv1Pzkkh0AX9o2Tmc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBT9Tp5DIm54rNZUtGexvlnjBE4pwkgaLqSfXk595KMdg&oe=6517AF1E&_nc_sid=f5838a","fanydeleon","👏👏","https://www.instagram.com/p/CwbpoDGOZGe/c/18051450601464727/","4 sem","Responder","Responder","https://www.instagram.com/ercktapa/","https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/332832546_584960713551915_5706386317029275369_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=XpHNnj3lZHUAX-WjtaW&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCYVK3OObkMkp69nZt9Cr9ElAd5RpVDAkfP6Q3nFYyMMQ&oe=6518C029&_nc_sid=f5838a","ercktapa","Somos cientos de miles que creemos en ustedes.","https://www.instagram.com/p/CwbpoDGOZGe/c/17893399115806117/","4 sem","Responder","Responder","Ver traducción","Me gusta","https://www.instagram.com/tomcruz_alvarez/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/366154520_1286627068885462_433482899113191626_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=110&_nc_ohc=2aVsnHkhJgsAX9WGIsP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDoOJt5n9Seu8QLWaphsw1BCXsjd_3hLLGW_ZkEms9Smw&oe=6518DCD0&_nc_sid=f5838a","tomcruz_alvarez","❤️","https://www.instagram.com/p/CwbpoDGOZGe/c/18023135302579321/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/manuelromero39/","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/339490267_174768722119533_3083086625769709684_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=FJHZ9qH8bNoAX_q73Ct&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAaUEMmDtomHVoGE3yl7uV3U4B9h_22LmKsvY2-oLuCXw&oe=65182EAA&_nc_sid=f5838a","manuelromero39","💚","https://www.instagram.com/p/CwbpoDGOZGe/c/18023197705634348/","4 sem","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/miguel9espinosa2/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/358185319_6057877237657468_6378084516458554607_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=w2hP4sJwWvEAX-E3JRJ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBA1V4r8PR2HeYExlc2FtylWLLhiF8uI40n4aHaGW4jrQ&oe=6517D832&_nc_sid=f5838a","miguel9espinosa2","De aquí soy... ! Mike Espinosa.","https://www.instagram.com/p/CwbpoDGOZGe/c/17855054646020815/","4 sem","","Opciones del comentario","Me gusta","https://www.instagram.com/fantaxpsy/","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/363289131_1401063097130774_395655388960114871_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=YCcLgAbSUC0AX-x0MR_&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDe1HxTD4qa2j8Nk9x0D7zYWxCwIEyzSnYSxTlGAHJZxg&oe=6517998E&_nc_sid=f5838a","fantaxpsy","Bonita la espalda de  🤣","https://www.instagram.com/p/CwbpoDGOZGe/c/18053285803457265/","4 sem","Opciones del comentario","Me gusta","Ver traducción"
"","","","","https://www.instagram.com/p/CwbpoDGOZGe/","","","","","","","26 de agosto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CwbEfVRuvY7/liked_by/","Me gusta","127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","","","","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","La colonia Solidaridad le hizo justicia a su nombre para sumarse al proyecto de la Dra.  ¡En Villaflores unidas hacemos más! 🤝🏻","4 sem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CwbEfVRuvY7/","","","","","","","26 de agosto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CwYrz9rMFIP/liked_by/","Me gusta","155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
