,comentarios,repost,likes,views_reactions,views_reactions_log,red_social
77,6.0,8.0,53.0,1000.0,6.907755278982137,X
78,3.0,1.0,29.0,575.0,6.354370040797351,X
79,1.0,1.0,31.0,741.0,6.608000625296087,X
80,1.0,32.0,41.0,533.0,6.278521424165844,X
81,1.0,10.0,54.0,928.0,6.833031732786201,X
82,2.0,7.0,37.0,747.0,6.616065185132817,X
83,5.0,6.0,34.0,475.0,6.163314804034641,X
84,27.0,15.0,71.0,2149.0,7.67275789664251,X
85,7.0,12.0,58.0,640.0,6.461468176353717,X
86,1.0,3.0,37.0,498.0,6.210600077024653,X
87,4.0,13.0,67.0,,,X
88,0.0,2.0,27.0,372.0,5.918893854273146,X
89,14.0,19.0,76.0,2678.0,7.8928255262511176,X
90,0.0,1.0,30.0,379.0,5.937536205082426,X
91,1.0,2.0,40.0,620.0,6.429719478039138,X
92,1.0,4.0,41.0,693.0,6.541029999189903,X
93,1.0,3.0,13.0,633.0,6.450470422144176,X
94,21.0,16.0,75.0,3000.0,8.006367567650246,X
95,7.0,16.0,75.0,1000.0,6.907755278982137,X
96,3.0,9.0,56.0,1000.0,6.907755278982137,X
97,1.0,1.0,31.0,463.0,6.137727054086234,X
98,4.0,15.0,75.0,1000.0,6.907755278982137,X
99,40.0,45.0,180.0,7000.0,8.85366542803745,X
100,14.0,7.0,54.0,2000.0,7.600902459542082,X
101,3.0,6.0,44.0,1069.0,6.974478911025045,X
102,4.0,4.0,37.0,997.0,6.904750769961838,X
103,21.0,17.0,106.0,5119.0,8.540714386457584,X
104,21.0,6.0,57.0,2000.0,7.600902459542082,X
105,31.0,19.0,89.0,3000.0,8.006367567650246,X
106,5.0,9.0,65.0,2057.0,7.6290038896529575,X
107,59.0,23.0,107.0,24100.0,10.089967119478747,X
108,4.0,8.0,34.0,1000.0,6.907755278982137,X
109,6.0,7.0,39.0,1636.0,7.400009517162692,X
110,23.0,21.0,68.0,5187.0,8.553910774351401,X
