Palabras Clave,x,y,topics,Freq,colocacion
"""compañera"" , ""oportunidad"" , ""proyecto"" , ""batalla"" , ""domingo"" , ""liderazgo"" , ""valentía"" , ""felicidad"" , ""semana"" , ""tiempo""",0.10671735321134093,0.05727434173891355,8,9.066768755295893,bicicleta gustan
"""verificación"" , ""afinación"" , ""agua"" , ""informe"" , ""compañera"" , ""recorrido"" , ""ejemplo"" , ""cosa"" , ""peso"" , ""hijo""",0.1383570011534677,-0.017590028665083447,5,10.361880670837586,causado fallecimientos
"""médico"" , ""corrupción"" , ""amistad"" , ""amor"" , ""salud"" , ""valentía"" , ""abrazo"" , ""vuelta"" , ""peso"" , ""sociedad""",-0.11980467598645003,-0.0037052576818114766,10,6.676170786204224,detección temprana
"""violencia"" , ""cambio"" , ""esperanza"" , ""honor"" , ""voz"" , ""hora"" , ""corrupción"" , ""ojo"" , ""diálogo"" , ""familia""",0.016647575745004622,-0.09725372365992357,1,12.56410386945025,establecer comités
"""fuerza"" , ""motor"" , ""desafío"" , ""encaro"" , ""dificultad"" , ""unión"" , ""determinación"" , ""líder"" , ""contrario"" , ""labor""",-0.04714737644038218,0.06290910746412995,6,9.380223005317912,genuino interés
"""tranquilidad"" , ""familia"" , ""corrupción"" , ""duda"" , ""centro"" , ""problema"" , ""voz"" , ""jalisciens"" , ""tapatío"" , ""orgullo""",-0.017186399964043593,-0.12101596303987625,3,11.533901308649167,hombre honesto
"""inspiración"" , ""liderazgo"" , ""claudia"" , ""dra"" , ""coordinador"" , ""libro"" , ""honor"" , ""proyecto"" , ""líder"" , ""corrupción""",-0.10685808896177193,0.13986990121538953,2,12.333666931349594,institución académica
"""paz"" , ""privilegio"" , ""chiva"" , ""causa"" , ""principio"" , ""septiembre"" , ""sismo"" , ""seguridad"" , ""tranquilidad"" , ""caso""",0.07851309881261305,-0.07803557802511078,9,7.87766736703222,mañana participé
"""país"" , ""futuro"" , ""amiga"" , ""proyecto"" , ""ciudad"" , ""miedo"" , ""convicción"" , ""coordinador"" , ""trabajo"" , ""cumpleaños""",0.07835484219827478,0.1301226600472751,4,10.919342243287437,querido debido
"""principio"" , ""corrupción"" , ""acto"" , ""oportunidad"" , ""centro"" , ""informe"" , ""administración"" , ""amiga"" , ""enhorabuena"" , ""mandato""",-0.12759332976805374,-0.07257545939390221,7,9.286275062575717,rebaño sagrado
